Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"CHOLAFIN","1,562.00","1,710.65","1,550.75","1,705.85","143.50","9.18","13.69","224.49","1,710.65","985.25","64.98","17.86"
"TATAELXSI","1,143.00","1,244.50","1,140.05","1,206.05","63.30","5.54","38.24","460.83","1,244.50","641.18","56.21","21.34"
"MFSL","473.65","509.00","472.00","500.85","22.20","4.64","18.87","93.93","683.95","417.30","-23.06","15.01"
"NIITTECH","993.15","1,088.55","990.60","1,038.65","45.50","4.58","54.62","577.05","1,088.55","419.25","143.67","9.37"
"PVR","1,330.00","1,378.00","1,310.30","1,374.00","56.60","4.30","4.89","66.57","1,655.00","1,142.05","-11.86","11.50"
"BHARATFIN","1,119.00","1,166.00","1,115.00","1,163.00","46.20","4.14","18.14","208.27","1,166.00","651.00","53.59","7.84"
"AUROPHARMA","611.80","645.00","611.80","643.70","25.10","4.06","31.39","199.63","809.45","503.05","1.47","14.09"
"INDUSINDBK","1,814.40","1,885.40","1,808.80","1,880.60","67.75","3.74","16.20","302.57","1,885.40","1,375.20","31.73","8.61"
"ICICIPRULI","375.55","389.95","374.15","388.00","13.90","3.72","16.65","63.84","509.40","363.20","-2.82","1.64"
"BEL","132.45","138.90","132.45","137.20","4.90","3.70","87.25","119.22","193.40","130.50","-15.26","-7.52"
"CADILAHC","387.00","401.95","386.10","398.50","13.35","3.47","20.20","80.22","560.00","362.00","-11.30","4.94"
"IDBI","67.20","69.90","66.45","69.50","2.30","3.42","212.26","145.06","91.50","50.20","-3.87","-8.43"
"TORNTPOWER","232.40","242.00","231.80","240.65","7.90","3.39","23.75","56.33","307.35","171.50","7.22","1.52"
"DALMIABHA","2,911.00","3,034.50","2,911.00","3,000.05","97.65","3.36","2.03","60.81","3,350.00","2,051.00","42.88","4.32"
"M&M","803.90","833.80","800.05","823.05","23.55","2.95","27.51","225.57","833.80","612.00","-35.28","10.42"
"GRANULES","107.50","111.25","106.55","110.35","3.15","2.94","24.15","26.47","157.25","101.25","-23.77","3.08"
"INDIANB","302.65","311.40","296.70","311.40","8.75","2.89","18.68","57.44","427.40","253.05","21.05","7.10"
"VOLTAS","635.00","664.70","632.30","653.25","17.35","2.73","28.56","186.88","675.30","403.40","55.93","6.51"
"UJJIVAN","389.80","405.30","385.55","401.75","10.40","2.66","15.64","62.48","422.60","285.00","-0.22","15.69"
"M&MFIN","508.00","518.35","503.50","518.00","13.40","2.66","16.32","83.24","522.55","289.95","52.82","15.88"
"BPCL","376.00","385.20","373.60","381.25","9.85","2.65","86.84","329.31","551.55","369.85","-20.72","-11.47"
"SRTRANSFIN","1,573.00","1,612.00","1,562.15","1,612.00","39.75","2.53","3.78","59.77","1,619.90","917.70","49.96","15.39"
"ASHOKLEY","155.95","159.95","155.65","159.40","3.85","2.48","221.19","349.00","159.95","81.40","94.51","8.07"
"SREINFRA","80.00","87.50","80.00","87.05","2.10","2.47","19.68","16.98","138.00","69.50","-0.17","8.14"
"UNIONBANK","91.00","94.50","89.50","93.65","2.00","2.18","118.30","109.63","205.10","86.00","-39.48","-2.30"
"STAR","637.95","653.00","634.10","647.10","13.15","2.07","4.69","30.32","1,134.00","627.10","-40.62","-7.05"
"ALBK","48.00","49.80","47.35","49.50","1.00","2.06","41.32","20.21","92.40","43.30","-32.33","0.00"
"MINDTREE","978.95","1,027.70","966.30","999.80","19.95","2.04","89.87","905.85","1,027.70","435.05","125.89","26.41"
"CIPLA","576.00","601.75","576.00","601.00","11.95","2.03","30.17","178.93","663.40","480.20","4.69","9.06"
"SUNPHARMA","505.00","515.50","505.00","515.30","10.00","1.98","24.24","124.14","667.70","432.70","-21.44","2.14"
