







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         342.65,         349.80,         325.00,         339.20,         339.20,        6164,       52144.87,     7522500
24-Sep-2018,         365.00,         366.95,         339.35,         346.70,         346.70,        3785,       33149.27,     8527500
21-Sep-2018,         375.60,         381.00,         318.30,         363.40,         363.40,        4042,       37036.22,     8790000
19-Sep-2018,         381.10,         382.80,         372.80,         374.45,         374.45,        2263,       21369.52,     9765000
18-Sep-2018,         382.55,         388.50,         377.50,         379.30,         379.30,        3827,       36685.24,     9652500
17-Sep-2018,         377.65,         385.85,         377.65,         382.50,         382.50,        2219,       21157.90,     9695000
14-Sep-2018,         379.20,         387.80,         378.20,         382.70,         382.70,        3486,       33346.30,     9630000
12-Sep-2018,         366.55,         379.00,         366.55,         376.80,         376.80,        4363,       40627.02,     9000000
11-Sep-2018,         376.60,         379.00,         365.35,         366.25,         366.25,        2562,       23855.85,     9322500
10-Sep-2018,         376.65,         384.95,         373.00,         374.30,         374.30,        3482,       32945.12,     9357500
07-Sep-2018,         383.40,         386.95,         377.70,         380.05,         380.05,        3027,       28930.19,     9410000
06-Sep-2018,         381.10,         389.00,         376.45,         386.40,         386.40,        3237,       30927.18,     8730000
05-Sep-2018,         373.40,         381.80,         370.50,         380.55,         380.55,        3251,       30507.02,     8632500
04-Sep-2018,         387.75,         388.45,         374.10,         375.45,         375.45,        4687,       44578.23,     8837500
03-Sep-2018,         386.80,         395.60,         381.35,         387.00,         387.00,        4177,       40750.25,     8737500
31-Aug-2018,         386.00,         395.90,         384.00,         386.40,         386.40,        4599,       44711.30,     8840000
30-Aug-2018,         385.45,         390.55,         382.80,         386.45,         386.45,        3675,       35449.13,     8135000
29-Aug-2018,         387.70,         395.50,         387.30,         388.80,         388.80,        2471,       24145.33,     4722500
28-Aug-2018,         382.00,         391.75,         378.95,         390.10,         390.10,        2197,       21189.03,     3560000
