







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         360.05,         360.05,         337.55,         345.75,         345.75,        7504,       51811.94,     5840000
24-Sep-2018,         367.00,         367.00,         357.65,         360.35,         360.35,        2847,       20611.66,     7782000
21-Sep-2018,         380.15,         385.00,         345.80,         364.00,         364.00,        5194,       38267.37,     9048000
19-Sep-2018,         384.60,         388.50,         377.05,         379.85,         379.85,        2633,       20158.88,     9658000
18-Sep-2018,         387.55,         394.00,         381.60,         383.60,         383.60,        2667,       20727.89,     9858000
17-Sep-2018,         391.60,         396.30,         386.20,         389.25,         389.25,        2539,       19907.14,     9854000
14-Sep-2018,         392.10,         395.10,         389.25,         393.15,         393.15,        2173,       17067.43,     9892000
12-Sep-2018,         394.15,         394.15,         380.85,         388.70,         388.70,        2784,       21472.29,     9994000
11-Sep-2018,         403.30,         403.30,         385.10,         387.05,         387.05,        3974,       31334.06,     9932000
10-Sep-2018,         393.90,         407.20,         386.80,         403.75,         403.75,        7189,       57416.44,     9844000
07-Sep-2018,         388.30,         399.95,         385.25,         396.55,         396.55,        3722,       29346.67,    10386000
06-Sep-2018,         391.00,         391.55,         385.00,         388.55,         388.55,        2748,       21348.81,    10376000
05-Sep-2018,         384.15,         388.50,         375.85,         386.75,         386.75,        3901,       29860.49,    10374000
04-Sep-2018,         405.40,         405.40,         380.50,         384.25,         384.25,        5061,       39574.54,    10720000
03-Sep-2018,         405.15,         412.00,         401.00,         402.60,         402.60,        3848,       31340.21,    10000000
31-Aug-2018,         405.00,         410.55,         396.70,         403.40,         403.40,        4040,       32641.51,     9526000
30-Aug-2018,         401.50,         407.00,         401.00,         404.85,         404.85,        3667,       29571.99,     8654000
29-Aug-2018,         401.00,         407.30,         400.80,         402.70,         402.70,        1709,       13809.84,     5828000
28-Aug-2018,         409.15,         410.70,         400.00,         401.45,         401.45,        1469,       11872.70,     4416000
