







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         126.95,         132.15,         123.10,         130.80,         130.80,        2621,       13436.91,     7176000
24-Sep-2018,         134.95,         135.35,         126.60,         129.15,         129.15,        1607,        8346.11,    11924000
21-Sep-2018,         139.55,         141.10,         123.75,         132.75,         132.75,        2324,       12393.44,    13780000
19-Sep-2018,         142.00,         142.00,         137.65,         138.35,         138.35,         789,        4405.90,    14656000
18-Sep-2018,         145.00,         145.85,         139.25,         140.60,         140.60,         990,        5653.82,    14788000
17-Sep-2018,         144.85,         146.75,         144.00,         144.85,         144.85,         571,        3320.45,    14972000
14-Sep-2018,         146.90,         149.65,         146.35,         148.50,         148.50,         666,        3949.78,    15016000
12-Sep-2018,         144.25,         149.10,         142.00,         145.65,         145.65,        1430,        8346.06,    15036000
11-Sep-2018,         150.00,         152.15,         144.00,         144.85,         144.85,        1436,        8499.95,    14912000
10-Sep-2018,         156.75,         156.80,         149.05,         149.75,         149.75,        1114,        6793.36,    15284000
07-Sep-2018,         152.50,         158.85,         151.80,         157.45,         157.45,        1360,        8469.42,    15272000
06-Sep-2018,         151.35,         154.65,         149.10,         153.70,         153.70,        1309,        7974.86,    15304000
05-Sep-2018,         152.10,         155.20,         148.00,         150.95,         150.95,        1625,        9807.60,    15284000
04-Sep-2018,         161.00,         161.60,         153.00,         154.30,         154.30,        1172,        7396.58,    15348000
03-Sep-2018,         161.50,         164.15,         158.30,         160.50,         160.50,        1653,       10709.25,    15648000
31-Aug-2018,         160.75,         161.20,         157.65,         159.85,         159.85,         706,        4497.81,    15768000
30-Aug-2018,         158.65,         161.90,         155.15,         159.30,         159.30,        2315,       14675.39,    15528000
29-Aug-2018,         153.65,         161.00,         153.05,         158.75,         158.75,        2306,       14665.79,    12608000
28-Aug-2018,         146.45,         158.25,         145.10,         155.15,         155.15,        3275,       20048.23,     9348000
