







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         151.80,         155.10,         151.50,         153.85,         153.85,        5011,       23014.45,    17544000
24-Sep-2018,         158.00,         160.60,         154.05,         155.15,         155.15,        5555,       26210.74,    21924000
21-Sep-2018,         157.00,         159.85,         154.55,         158.10,         158.10,        7385,       34965.45,    24978000
19-Sep-2018,         153.65,         156.05,         152.00,         154.25,         154.25,        3404,       15790.83,    27054000
18-Sep-2018,         158.15,         158.45,         152.55,         153.25,         153.25,        2968,       13816.69,    28101000
17-Sep-2018,         153.80,         159.40,         153.65,         157.25,         157.25,        5312,       25062.06,    28362000
14-Sep-2018,         151.25,         156.40,         151.25,         156.00,         156.00,        4986,       23104.87,    29298000
12-Sep-2018,         149.90,         150.20,         145.85,         149.95,         149.95,        5466,       24268.86,    31236000
11-Sep-2018,         151.60,         153.45,         150.55,         151.05,         151.05,        2995,       13631.53,    32349000
10-Sep-2018,         153.50,         153.55,         151.05,         151.65,         151.65,        2631,       12002.02,    32769000
07-Sep-2018,         154.55,         155.20,         153.35,         154.30,         154.30,        3148,       14572.16,    32007000
06-Sep-2018,         154.40,         155.65,         152.55,         154.45,         154.45,        3289,       15207.07,    30990000
05-Sep-2018,         153.10,         154.10,         150.35,         153.65,         153.65,        3710,       16931.13,    30522000
04-Sep-2018,         155.45,         155.45,         152.65,         153.00,         153.00,        2750,       12701.37,    29367000
03-Sep-2018,         156.85,         157.80,         155.65,         156.10,         156.10,        2264,       10657.48,    28980000
31-Aug-2018,         155.50,         157.45,         154.10,         156.65,         156.65,        3488,       16320.05,    28521000
30-Aug-2018,         157.05,         157.05,         154.80,         155.60,         155.60,        5080,       23709.74,    28074000
29-Aug-2018,         157.00,         158.10,         156.30,         157.50,         157.50,        3392,       16009.32,    21078000
28-Aug-2018,         157.10,         158.40,         156.00,         156.55,         156.55,        3185,       15032.64,    15048000
