







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         100.50,         102.85,          97.25,         101.80,         101.80,        3771,       16851.39,    10737000
24-Sep-2018,         108.65,         108.65,          99.50,         100.90,         100.90,        2984,       13946.25,    14184000
21-Sep-2018,         113.60,         113.95,         104.25,         107.65,         107.65,        2568,       12675.13,    17032500
19-Sep-2018,         113.35,         114.90,         111.60,         112.90,         112.90,         871,        4441.43,    17550000
18-Sep-2018,         117.00,         117.55,         113.10,         113.45,         113.45,         997,        5137.48,    17451000
17-Sep-2018,         116.20,         117.25,         114.90,         116.20,         116.20,         771,        4025.59,    17379000
14-Sep-2018,         116.30,         117.75,         115.60,         117.40,         117.40,         647,        3401.90,    17073000
12-Sep-2018,         113.10,         115.80,         112.00,         115.45,         115.45,        1177,        6046.75,    17199000
11-Sep-2018,         115.95,         116.80,         113.05,         113.70,         113.70,         868,        4492.36,    17766000
10-Sep-2018,         118.05,         118.95,         115.10,         115.60,         115.60,        1072,        5634.29,    17761500
07-Sep-2018,         117.90,         119.25,         116.95,         118.50,         118.50,         569,        3023.13,    17788500
06-Sep-2018,         117.75,         118.00,         116.10,         117.80,         117.80,         720,        3801.53,    17811000
05-Sep-2018,         115.45,         117.50,         114.45,         116.85,         116.85,        1080,        5635.08,    17869500
04-Sep-2018,         120.20,         121.35,         115.70,         116.05,         116.05,        1318,        7002.85,    17914500
03-Sep-2018,         121.05,         123.55,         119.80,         120.85,         120.85,        1503,        8235.39,    17725500
31-Aug-2018,         119.50,         120.50,         118.15,         120.20,         120.20,         779,        4187.53,    17923500
30-Aug-2018,         121.10,         121.30,         119.15,         119.60,         119.60,        2314,       12487.21,    17779500
29-Aug-2018,         121.00,         122.75,         120.85,         121.50,         121.50,        1370,        7512.12,    13437000
28-Aug-2018,         122.00,         122.35,         119.65,         121.05,         121.05,        1182,        6432.83,     9409500
