







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,          65.65,          67.40,          64.85,          66.15,          66.15,        3016,       15927.64,    37720000
24-Sep-2018,          66.10,          66.85,          64.00,          65.10,          65.10,        3205,       16761.77,    43032000
21-Sep-2018,          69.85,          69.90,          62.00,          65.90,          65.90,        4247,       22621.16,    52376000
19-Sep-2018,          68.25,          70.35,          68.25,          68.85,          68.85,        1568,        8703.98,    55776000
18-Sep-2018,          70.10,          70.65,          67.80,          68.25,          68.25,        1770,        9815.60,    56856000
17-Sep-2018,          70.25,          70.95,          69.00,          70.30,          70.30,        1422,        7994.21,    56512000
14-Sep-2018,          71.00,          71.40,          70.10,          70.55,          70.55,        1719,        9732.22,    56480000
12-Sep-2018,          70.30,          70.65,          68.20,          70.15,          70.15,        1806,       10046.21,    55616000
11-Sep-2018,          73.00,          73.80,          69.30,          70.10,          70.10,        1909,       10834.15,    56136000
10-Sep-2018,          71.50,          72.75,          70.60,          71.75,          71.75,        2369,       13570.76,    56296000
07-Sep-2018,          71.10,          73.50,          70.45,          72.35,          72.35,        5002,       28903.00,    55576000
06-Sep-2018,          77.50,          77.50,          69.85,          71.70,          71.70,        7644,       44262.55,    54544000
05-Sep-2018,          73.20,          77.30,          72.95,          76.90,          76.90,        3406,       20484.29,    53288000
04-Sep-2018,          75.45,          75.85,          72.85,          73.55,          73.55,        2403,       14238.94,    50064000
03-Sep-2018,          76.00,          77.20,          75.15,          75.50,          75.50,        1922,       11690.84,    50520000
31-Aug-2018,          77.20,          77.60,          75.20,          75.45,          75.45,        1952,       11894.76,    50888000
30-Aug-2018,          78.20,          79.00,          76.00,          76.70,          76.70,        5395,       33392.76,    50208000
29-Aug-2018,          76.85,          78.30,          76.45,          77.25,          77.25,        4055,       25121.70,    39048000
28-Aug-2018,          75.15,          76.10,          73.15,          75.55,          75.55,        2449,       14695.15,    25424000
