







Date, Open, High, Low, Close, Settle Price, NO_CONTRACTS, Turnover(in lacs), OI
25-Sep-2018,         275.00,         281.70,         256.70,         278.40,         278.40,        4084,       17609.66,     3657600
24-Sep-2018,         287.05,         298.15,         274.55,         276.75,         276.75,        2916,       13060.16,     4710400
21-Sep-2018,         315.90,         324.30,         284.00,         295.05,         295.05,        4000,       19419.59,     5272000
19-Sep-2018,         318.50,         321.00,         313.60,         315.90,         315.90,        1463,        7424.74,     5971200
18-Sep-2018,         330.65,         334.80,         316.05,         317.65,         317.65,        2073,       10778.58,     6140800
17-Sep-2018,         330.75,         337.65,         328.80,         332.15,         332.15,        1348,        7208.34,     6080000
14-Sep-2018,         332.25,         335.95,         330.35,         332.70,         332.70,        1295,        6910.70,     6160000
12-Sep-2018,         323.00,         329.75,         317.10,         327.55,         327.55,        1870,        9701.74,     6326400
11-Sep-2018,         328.60,         334.00,         322.50,         323.65,         323.65,        1743,        9169.71,     6504000
10-Sep-2018,         345.75,         345.75,         328.50,         330.00,         330.00,        1671,        8971.80,     6502400
07-Sep-2018,         343.35,         347.45,         340.70,         346.35,         346.35,        1077,        5928.70,     6172800
06-Sep-2018,         345.45,         347.40,         340.00,         343.15,         343.15,        1150,        6320.36,     6160000
05-Sep-2018,         343.30,         348.35,         338.35,         344.70,         344.70,        1492,        8201.54,     6116800
04-Sep-2018,         355.00,         356.00,         342.00,         345.00,         345.00,        1958,       11002.02,     6105600
03-Sep-2018,         353.45,         359.60,         350.05,         353.85,         353.85,        1649,        9387.20,     6233600
31-Aug-2018,         355.40,         358.85,         350.60,         352.25,         352.25,        2277,       12893.40,     6361600
30-Aug-2018,         358.25,         360.65,         353.55,         355.45,         355.45,        2992,       17044.89,     6184000
29-Aug-2018,         360.00,         366.35,         357.15,         358.45,         358.45,        1580,        9156.49,     3795200
28-Aug-2018,         363.50,         367.90,         355.45,         361.95,         361.95,        1873,       10837.66,     2734400
