Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"         105.40","         107.75","         101.75","         106.80","         106.80","        3586","       13156.46","    11917500"
24-Sep-2018,"         111.90","         111.90","         104.55","         105.45","         105.45","        3365","       12614.50","    15015000"
21-Sep-2018,"         114.95","         116.50","         102.90","         111.60","         111.60","        4482","       17578.70","    17038000"
19-Sep-2018,"         114.50","         116.50","         112.40","         113.85","         113.85","        2515","       10062.42","    18728500"
18-Sep-2018,"         120.20","         120.85","         113.65","         114.20","         114.20","        2926","       11922.74","    18907000"
17-Sep-2018,"         122.50","         123.35","         119.70","         119.95","         119.95","        2804","       11896.57","    18385500"
14-Sep-2018,"         118.95","         124.20","         118.55","         123.70","         123.70","        3995","       17058.80","    17451000"
12-Sep-2018,"         115.65","         118.05","         111.45","         117.35","         117.35","        2669","       10720.57","    18557000"
11-Sep-2018,"         119.65","         120.40","         114.60","         115.15","         115.15","        1993","        8192.61","    18900000"
10-Sep-2018,"         118.95","         122.60","         118.20","         119.00","         119.00","        2767","       11631.14","    18802000"
07-Sep-2018,"         117.10","         121.75","         116.00","         121.05","         121.05","        3239","       13509.90","    19327000"
06-Sep-2018,"         119.10","         120.50","         115.55","         117.50","         117.50","        3024","       12505.59","    19407500"
05-Sep-2018,"         115.25","         117.45","         113.15","         116.95","         116.95","        2786","       11257.59","    19659500"
04-Sep-2018,"         123.35","         123.35","         115.50","         116.05","         116.05","        4099","       16977.25","    19988500"
03-Sep-2018,"         126.15","         127.85","         122.70","         123.70","         123.70","        2617","       11525.79","    20076000"
31-Aug-2018,"         126.90","         128.25","         123.55","         126.50","         126.50","        3418","       15049.89","    20072500"
30-Aug-2018,"         120.45","         127.45","         120.45","         125.95","         125.95","        6431","       28144.29","    19981500"
29-Aug-2018,"         118.70","         124.40","         118.70","         121.55","         121.55","        2967","       12698.48","    15197000"
28-Aug-2018,"         121.00","         121.90","         118.35","         119.50","         119.50","        1988","        8333.63","    11557000"
