Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"         278.75","         279.35","         269.30","         270.45","         270.45","        3390","       15800.64","     5059200"
24-Sep-2018,"         278.65","         284.80","         274.00","         278.85","         278.85","        2692","       12818.30","     5394100"
21-Sep-2018,"         271.80","         283.45","         271.40","         280.85","         280.85","        3251","       15406.08","     6019700"
19-Sep-2018,"         269.75","         273.90","         264.90","         272.35","         272.35","        1116","        5120.83","     6449800"
18-Sep-2018,"         267.20","         269.15","         266.00","         267.90","         267.90","        1310","        5960.80","     6592600"
17-Sep-2018,"         274.10","         275.10","         267.45","         268.20","         268.20","        1148","        5283.40","     6546700"
14-Sep-2018,"         273.40","         277.10","         271.55","         275.95","         275.95","         824","        3835.90","     6539900"
12-Sep-2018,"         271.90","         273.30","         264.90","         272.10","         272.10","        1225","        5611.67","     6594300"
11-Sep-2018,"         277.35","         277.60","         270.70","         271.90","         271.90","        1037","        4798.19","     6602800"
10-Sep-2018,"         274.95","         280.50","         273.40","         277.45","         277.45","         958","        4503.67","     6616400"
07-Sep-2018,"         271.70","         279.90","         269.10","         278.30","         278.30","        1717","        8050.07","     6784700"
06-Sep-2018,"         266.90","         279.40","         266.90","         272.00","         272.00","        3422","       15856.72","     7053300"
05-Sep-2018,"         285.10","         285.10","         271.00","         273.30","         273.30","        2074","        9779.27","     6862900"
04-Sep-2018,"         290.25","         290.25","         284.15","         285.75","         285.75","        1789","        8727.97","     6410700"
03-Sep-2018,"         277.40","         294.25","         277.40","         291.30","         291.30","        1253","        6216.72","     6643600"
31-Aug-2018,"         286.55","         296.20","         286.20","         288.30","         288.30","        1761","        8738.81","     6728600"
30-Aug-2018,"         285.65","         286.25","         281.80","         285.25","         285.25","        2865","       13856.43","     6483800"
29-Aug-2018,"         284.95","         287.15","         283.80","         285.00","         285.00","        2147","       10419.45","     4576400"
28-Aug-2018,"         290.95","         291.20","         284.90","         288.50","         288.50","        1028","        5027.33","     2305200"
