Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"       64521.05","       67349.00","       63140.10","       66207.20","       66207.20","        1963","       12780.41","       21350"
24-Sep-2018,"       66687.95","       66687.95","       64400.00","       64559.90","       64559.90","        1139","        7432.45","       28060"
21-Sep-2018,"       68197.40","       68788.20","       61881.65","       66714.10","       66714.10","        1243","        8264.56","       33630"
19-Sep-2018,"       69200.00","       69200.00","       67622.30","       67964.40","       67964.40","         676","        4619.30","       36430"
18-Sep-2018,"       69900.00","       70254.20","       68743.65","       68871.30","       68871.30","         548","        3799.57","       36650"
17-Sep-2018,"       70262.50","       70268.45","       69801.00","       69936.35","       69936.35","         325","        2275.84","       36130"
14-Sep-2018,"       69899.95","       71099.00","       69850.20","       70631.20","       70631.20","         749","        5282.42","       36380"
12-Sep-2018,"       70000.00","       70049.00","       68442.25","       69534.45","       69534.45","        1226","        8491.97","       36840"
11-Sep-2018,"       70951.05","       71466.70","       69754.60","       69904.00","       69904.00","         655","        4622.13","       35650"
10-Sep-2018,"       71723.50","       71772.00","       70615.05","       70698.20","       70698.20","         554","        3933.38","       35620"
07-Sep-2018,"       71373.05","       72300.00","       70903.75","       71686.20","       71686.20","         657","        4714.31","       36090"
06-Sep-2018,"       71000.00","       71354.55","       70510.00","       71287.90","       71287.90","         730","        5181.73","       36630"
05-Sep-2018,"       71219.00","       71339.95","       70295.55","       70867.65","       70867.65","        1078","        7630.36","       37120"
04-Sep-2018,"       73725.35","       73967.95","       71116.60","       71238.55","       71238.55","        1667","       12023.34","       36650"
03-Sep-2018,"       74609.10","       74703.45","       73362.55","       73496.70","       73496.70","         835","        6187.75","       34300"
31-Aug-2018,"       73933.15","       74500.00","       73200.00","       74362.40","       74362.40","        1097","        8115.82","       33730"
30-Aug-2018,"       73851.60","       74449.00","       73505.00","       73640.75","       73640.75","        2432","       17979.45","       34300"
29-Aug-2018,"       73800.05","       74069.75","       73700.50","       73852.45","       73852.45","         903","        6670.20","       22370"
28-Aug-2018,"       74624.00","       74624.00","       73791.00","       73871.35","       73871.35","         901","        6680.11","       17120"
