Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"          73.30","          73.30","          67.70","          70.20","          70.20","        3842","        4057.17","     6034500"
24-Sep-2018,"          72.00","          76.70","          68.70","          73.10","          73.10","        5573","        6070.50","     6948000"
21-Sep-2018,"          78.50","          79.30","          66.35","          71.65","          71.65","        4998","        5510.61","     8842500"
19-Sep-2018,"          82.10","          82.10","          77.30","          78.05","          78.05","        3998","        4744.97","     9813000"
18-Sep-2018,"          83.95","          84.75","          79.20","          80.95","          80.95","        2984","        3663.24","     9732000"
17-Sep-2018,"          80.95","          85.00","          80.00","          83.50","          83.50","        4768","        5954.19","     9750000"
14-Sep-2018,"          83.00","          84.30","          80.85","          81.70","          81.70","        4285","        5302.73","    10219500"
12-Sep-2018,"          84.35","          85.00","          79.35","          81.50","          81.50","        4586","        5619.18","     9910500"
11-Sep-2018,"          83.80","          88.00","          83.00","          84.00","          84.00","        4432","        5677.32","     9328500"
10-Sep-2018,"          85.40","          85.75","          82.75","          83.10","          83.10","        2650","        3338.25","     9648000"
07-Sep-2018,"          86.40","          87.10","          85.50","          86.05","          86.05","        1980","        2560.87","     9108000"
06-Sep-2018,"          88.15","          89.00","          85.70","          86.55","          86.55","        2893","        3775.89","     8784000"
05-Sep-2018,"          88.45","          90.20","          85.45","          87.35","          87.35","        4137","        5438.49","     8599500"
04-Sep-2018,"          92.75","          94.80","          87.30","          88.55","          88.55","        6476","        8836.71","     8448000"
03-Sep-2018,"          84.85","          95.35","          84.00","          91.35","          91.35","       12020","       16456.06","     9117000"
31-Aug-2018,"          85.75","          87.15","          84.15","          84.90","          84.90","        2304","        2955.51","     8643000"
30-Aug-2018,"          87.15","          88.05","          85.40","          86.15","          86.15","        4467","        5805.39","     8328000"
29-Aug-2018,"          85.00","          88.35","          83.40","          86.80","          86.80","        3986","        5148.11","     5553000"
28-Aug-2018,"          90.75","          91.05","          85.55","          85.90","          85.90","        2151","        2831.31","     4132500"
