Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"          68.85","          69.80","          63.70","          67.10","          67.10","       17965","       66106.62","    87851500"
24-Sep-2018,"          73.65","          74.35","          68.75","          69.35","          69.35","       16156","       62940.64","    99143000"
21-Sep-2018,"          79.90","          80.60","          67.65","          73.10","          73.10","       17025","       70186.10","   118954000"
19-Sep-2018,"          79.95","          81.00","          78.85","          79.55","          79.55","        7596","       33466.09","   127363500"
18-Sep-2018,"          81.95","          82.95","          78.65","          79.40","          79.40","       12440","       55060.73","   128172000"
17-Sep-2018,"          82.50","          84.45","          81.25","          83.35","          83.35","        8266","       37701.76","   126076500"
14-Sep-2018,"          82.80","          83.75","          82.25","          83.30","          83.30","        6027","       27498.56","   126813500"
12-Sep-2018,"          82.25","          82.70","          79.35","          81.70","          81.70","       10351","       46123.04","   127462500"
11-Sep-2018,"          83.05","          84.90","          81.60","          82.00","          82.00","        9067","       41646.39","   124883000"
10-Sep-2018,"          84.10","          85.50","          82.25","          83.10","          83.10","        7594","       35027.52","   128364500"
07-Sep-2018,"          83.50","          85.20","          82.95","          84.90","          84.90","        7125","       33017.11","   129552500"
06-Sep-2018,"          84.50","          85.05","          83.20","          83.85","          83.85","        7204","       33298.45","   127374500"
05-Sep-2018,"          83.70","          84.30","          81.65","          83.60","          83.60","        7251","       33087.52","   126060000"
04-Sep-2018,"          85.80","          87.35","          83.10","          83.50","          83.50","        7722","       36134.54","   126049000"
03-Sep-2018,"          89.00","          89.95","          86.50","          86.85","          86.85","       10525","       51304.65","   127864000"
31-Aug-2018,"          85.10","          89.25","          84.10","          88.90","          88.90","       15802","       75581.78","   128755000"
30-Aug-2018,"          84.70","          86.50","          84.10","          85.75","          85.75","       10431","       48971.58","   120472000"
29-Aug-2018,"          84.20","          85.40","          83.50","          84.75","          84.75","        8996","       41859.72","    90442000"
28-Aug-2018,"          85.90","          86.35","          83.00","          83.50","          83.50","        6672","       30907.53","    64894500"
