Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"         432.55","         455.00","         420.00","         452.40","         452.40","        1147","        4508.70","      368100"
24-Sep-2018,"         463.95","         463.95","         426.65","         432.15","         432.15","         994","        3912.14","      565200"
21-Sep-2018,"         512.75","         512.75","         450.10","         465.65","         465.65","        1295","        5627.58","      677700"
19-Sep-2018,"         518.00","         518.00","         503.35","         511.50","         511.50","         675","        3096.99","      717300"
18-Sep-2018,"         533.05","         535.50","         508.25","         511.95","         511.95","         442","        2061.85","      814500"
17-Sep-2018,"         529.30","         540.35","         525.15","         532.40","         532.40","         213","        1024.31","      863100"
14-Sep-2018,"         517.00","         537.70","         514.65","         532.95","         532.95","         661","        3135.40","      877500"
12-Sep-2018,"         542.10","         546.15","         501.00","         513.45","         513.45","        1481","        6914.02","      917100"
11-Sep-2018,"         539.85","         544.70","         533.75","         539.15","         539.15","         336","        1631.57","      812700"
10-Sep-2018,"         541.65","         546.95","         532.55","         537.30","         537.30","         315","        1524.43","      823500"
07-Sep-2018,"         543.85","         546.75","         536.35","         543.25","         543.25","         625","        3056.05","      842400"
06-Sep-2018,"         537.25","         545.00","         535.00","         543.45","         543.45","         291","        1416.71","      829800"
05-Sep-2018,"         531.95","         539.00","         525.95","         537.25","         537.25","         279","        1336.54","      828900"
04-Sep-2018,"         534.00","         537.95","         524.95","         531.80","         531.80","         407","        1943.69","      854100"
03-Sep-2018,"         545.50","         551.70","         530.50","         533.30","         533.30","         817","        3943.43","      867600"
31-Aug-2018,"         550.70","         557.30","         540.35","         546.35","         546.35","         248","        1224.34","      778500"
30-Aug-2018,"         556.20","         559.00","         547.00","         551.55","         551.55","         778","        3871.68","      758700"
29-Aug-2018,"         544.25","         558.35","         544.25","         555.95","         555.95","         495","        2477.19","      563400"
28-Aug-2018,"         556.00","         570.00","         547.45","         551.00","         551.00","         482","        2416.35","      371700"
