Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"         230.10","         233.50","         227.20","         231.55","         231.55","       16309","       65781.22","    32469500"
24-Sep-2018,"         232.95","         238.35","         228.85","         230.55","         230.55","       27698","      113250.36","    37744000"
21-Sep-2018,"         231.90","         236.25","         220.55","         230.20","         230.20","       32412","      130808.22","    44751000"
19-Sep-2018,"         231.50","         233.20","         227.00","         231.15","         231.15","       13701","       55411.32","    43447250"
18-Sep-2018,"         235.70","         235.95","         228.70","         231.10","         231.10","       12581","       51069.08","    42799750"
17-Sep-2018,"         235.50","         238.85","         233.00","         235.70","         235.70","       14437","       59555.30","    43568000"
14-Sep-2018,"         229.70","         237.50","         227.05","         236.65","         236.65","       21160","       86251.69","    43921500"
12-Sep-2018,"         220.90","         227.00","         219.40","         224.85","         224.85","       11593","       45287.43","    46261250"
11-Sep-2018,"         225.50","         228.20","         218.10","         219.90","         219.90","       13696","       53616.00","    46147500"
10-Sep-2018,"         235.60","         236.55","         223.30","         224.25","         224.25","       17420","       69675.66","    48273750"
07-Sep-2018,"         229.80","         235.10","         227.55","         232.90","         232.90","       14226","       57535.62","    46772250"
06-Sep-2018,"         231.40","         231.85","         226.25","         230.65","         230.65","       11570","       46487.04","    45561250"
05-Sep-2018,"         224.00","         230.90","         221.35","         230.15","         230.15","       12175","       48220.47","    44761500"
04-Sep-2018,"         229.15","         230.25","         222.50","         225.35","         225.35","       10014","       39474.90","    43547000"
03-Sep-2018,"         229.75","         232.00","         227.85","         229.55","         229.55","       10405","       41923.19","    45031000"
31-Aug-2018,"         229.45","         232.15","         224.80","         228.85","         228.85","       13670","       54669.89","    45563000"
30-Aug-2018,"         231.15","         232.75","         227.55","         231.35","         231.35","       15247","       61632.34","    46957750"
29-Aug-2018,"         233.00","         240.00","         229.30","         230.00","         230.00","       14404","       59174.00","    37544500"
28-Aug-2018,"         229.10","         233.60","         227.00","         232.20","         232.20","       10182","       41104.49","    27315750"
