Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," ADANIENT"," EQ"," 212.40"," 221.50"," 211.70","         213.60"," 214.90"," 7969827"," 17330.66"
28-Nov-2019," ADANIENT"," EQ"," 212.80"," 216.20"," 210.50","         211.95"," 213.10"," 4234343"," 9056.87"
27-Nov-2019," ADANIENT"," EQ"," 209.90"," 215.20"," 208.50","         212.00"," 213.55"," 4051404"," 8617.03"
26-Nov-2019," ADANIENT"," EQ"," 214.75"," 217.70"," 207.15","         210.00"," 210.60"," 5247790"," 11112.16"
25-Nov-2019," ADANIENT"," EQ"," 201.90"," 216.25"," 201.60","         215.50"," 215.20"," 6805228"," 14372.42"
22-Nov-2019," ADANIENT"," EQ"," 204.75"," 206.30"," 200.10","         202.00"," 203.45"," 2545651"," 5173.67"
21-Nov-2019," ADANIENT"," EQ"," 206.90"," 209.00"," 201.95","         204.45"," 205.50"," 4409698"," 9091.61"
20-Nov-2019," ADANIENT"," EQ"," 198.50"," 207.45"," 198.10","         204.40"," 205.70"," 3488019"," 7103.58"
19-Nov-2019," ADANIENT"," EQ"," 202.00"," 202.60"," 196.25","         198.45"," 199.70"," 2954848"," 5903.02"
18-Nov-2019," ADANIENT"," EQ"," 203.80"," 205.60"," 200.10","         200.15"," 201.15"," 2041767"," 4149.19"
15-Nov-2019," ADANIENT"," EQ"," 202.00"," 205.00"," 200.80","         203.10"," 203.60"," 3314555"," 6742.76"
14-Nov-2019," ADANIENT"," EQ"," 196.25"," 203.15"," 194.05","         201.60"," 202.30"," 4141184"," 8304.55"
13-Nov-2019," ADANIENT"," EQ"," 209.00"," 210.75"," 194.30","         197.50"," 198.20"," 9836594"," 19635.02"
11-Nov-2019," ADANIENT"," EQ"," 206.95"," 212.25"," 206.05","         210.80"," 210.85"," 2907157"," 6100.68"
08-Nov-2019," ADANIENT"," EQ"," 208.70"," 212.00"," 206.20","         207.25"," 208.05"," 4057743"," 8506.82"
07-Nov-2019," ADANIENT"," EQ"," 207.90"," 210.40"," 205.50","         209.25"," 209.15"," 3959490"," 8249.65"
06-Nov-2019," ADANIENT"," EQ"," 199.00"," 209.70"," 198.60","         207.20"," 207.55"," 6220311"," 12810.02"
05-Nov-2019," ADANIENT"," EQ"," 200.00"," 201.50"," 197.70","         200.00"," 200.55"," 2326138"," 4644.98"
04-Nov-2019," ADANIENT"," EQ"," 200.95"," 203.90"," 198.25","         199.50"," 200.90"," 3965499"," 7972.81"
01-Nov-2019," ADANIENT"," EQ"," 199.00"," 202.40"," 196.20","         199.85"," 200.45"," 3522957"," 7024.69"
31-Oct-2019," ADANIENT"," EQ"," 196.70"," 201.30"," 196.00","         197.45"," 199.65"," 6584768"," 13089.67"
30-Oct-2019," ADANIENT"," EQ"," 194.35"," 197.45"," 192.30","         194.90"," 195.75"," 4791525"," 9343.71"
29-Oct-2019," ADANIENT"," EQ"," 182.80"," 197.00"," 182.35","         192.95"," 195.55"," 9534790"," 18266.83"
27-Oct-2019," ADANIENT"," EQ"," 182.90"," 184.25"," 182.00","         182.80"," 183.40"," 1003414"," 1837.74"
25-Oct-2019," ADANIENT"," EQ"," 179.50"," 183.70"," 177.20","         180.65"," 181.30"," 7857185"," 14229.63"
24-Oct-2019," ADANIENT"," EQ"," 175.00"," 180.00"," 174.30","         179.50"," 179.00"," 4753708"," 8426.85"
23-Oct-2019," ADANIENT"," EQ"," 178.75"," 178.75"," 172.40","         175.80"," 176.45"," 4743985"," 8331.80"
22-Oct-2019," ADANIENT"," EQ"," 174.50"," 180.00"," 173.40","         178.40"," 178.65"," 7909839"," 14066.54"
18-Oct-2019," ADANIENT"," EQ"," 174.90"," 175.80"," 165.10","         174.20"," 175.10"," 14162661"," 24295.32"
17-Oct-2019," ADANIENT"," EQ"," 159.80"," 165.00"," 157.65","         163.00"," 162.55"," 6523046"," 10511.38"
16-Oct-2019," ADANIENT"," EQ"," 155.00"," 160.90"," 155.00","         159.85"," 160.15"," 9587304"," 15174.15"
15-Oct-2019," ADANIENT"," EQ"," 147.70"," 155.85"," 146.60","         154.90"," 155.00"," 11048872"," 16840.46"
14-Oct-2019," ADANIENT"," EQ"," 137.90"," 152.40"," 137.00","         146.95"," 147.10"," 10795909"," 15771.45"
11-Oct-2019," ADANIENT"," EQ"," 137.45"," 138.80"," 134.60","         136.40"," 136.95"," 2780875"," 3798.80"
10-Oct-2019," ADANIENT"," EQ"," 138.00"," 139.10"," 135.30","         136.75"," 137.40"," 2413888"," 3308.10"
09-Oct-2019," ADANIENT"," EQ"," 134.95"," 139.65"," 134.10","         138.40"," 139.00"," 2682715"," 3670.62"
07-Oct-2019," ADANIENT"," EQ"," 138.45"," 140.00"," 135.25","         135.50"," 135.80"," 2701943"," 3707.49"
04-Oct-2019," ADANIENT"," EQ"," 143.95"," 144.50"," 137.55","         137.90"," 140.00"," 2382805"," 3383.49"
03-Oct-2019," ADANIENT"," EQ"," 143.00"," 145.00"," 141.40","         142.85"," 143.55"," 2070232"," 2964.54"
01-Oct-2019," ADANIENT"," EQ"," 146.10"," 147.70"," 140.50","         143.45"," 143.65"," 3732047"," 5388.11"
30-Sep-2019," ADANIENT"," EQ"," 149.10"," 149.75"," 143.75","         145.50"," 145.85"," 3528313"," 5148.11"
27-Sep-2019," ADANIENT"," EQ"," 152.70"," 152.70"," 147.20","         148.90"," 149.45"," 4016921"," 6009.74"
26-Sep-2019," ADANIENT"," EQ"," 148.45"," 155.40"," 146.65","         151.90"," 152.70"," 7013490"," 10674.72"
25-Sep-2019," ADANIENT"," EQ"," 149.70"," 151.00"," 145.50","         147.10"," 147.55"," 4572108"," 6787.10"
24-Sep-2019," ADANIENT"," EQ"," 151.25"," 153.00"," 145.40","         147.20"," 148.05"," 4576924"," 6819.34"
23-Sep-2019," ADANIENT"," EQ"," 154.00"," 154.00"," 147.55","         149.50"," 152.40"," 4136992"," 6243.20"
20-Sep-2019," ADANIENT"," EQ"," 143.00"," 152.10"," 141.30","         148.00"," 149.10"," 7545363"," 11175.88"
19-Sep-2019," ADANIENT"," EQ"," 143.95"," 144.90"," 140.50","         142.00"," 142.55"," 2662885"," 3793.37"
18-Sep-2019," ADANIENT"," EQ"," 144.00"," 146.00"," 142.10","         145.00"," 144.15"," 3465608"," 4995.50"
17-Sep-2019," ADANIENT"," EQ"," 145.50"," 147.90"," 142.40","         143.45"," 143.75"," 4167662"," 6050.60"
16-Sep-2019," ADANIENT"," EQ"," 144.00"," 147.20"," 143.15","         145.45"," 145.95"," 3713796"," 5406.26"
13-Sep-2019," ADANIENT"," EQ"," 143.00"," 146.90"," 140.55","         145.30"," 145.75"," 3561056"," 5124.90"
12-Sep-2019," ADANIENT"," EQ"," 144.85"," 146.30"," 142.05","         142.45"," 143.05"," 3500479"," 5031.95"
