Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," BATAINDIA"," EQ"," 1638.00"," 1645.15"," 1622.05","        1628.40"," 1629.05"," 310263"," 5065.17"
28-Nov-2019," BATAINDIA"," EQ"," 1616.25"," 1638.00"," 1612.85","        1636.00"," 1634.10"," 473768"," 7711.76"
27-Nov-2019," BATAINDIA"," EQ"," 1624.00"," 1633.65"," 1600.00","        1618.00"," 1620.90"," 687636"," 11112.89"
26-Nov-2019," BATAINDIA"," EQ"," 1647.00"," 1650.05"," 1620.15","        1623.85"," 1623.85"," 465585"," 7617.78"
25-Nov-2019," BATAINDIA"," EQ"," 1645.00"," 1651.95"," 1626.80","        1645.75"," 1641.20"," 519307"," 8495.77"
22-Nov-2019," BATAINDIA"," EQ"," 1636.00"," 1649.90"," 1617.00","        1645.00"," 1642.70"," 668209"," 10898.50"
21-Nov-2019," BATAINDIA"," EQ"," 1685.00"," 1691.45"," 1632.45","        1638.00"," 1638.55"," 753920"," 12467.89"
20-Nov-2019," BATAINDIA"," EQ"," 1687.10"," 1701.20"," 1677.20","        1684.00"," 1683.95"," 399565"," 6741.36"
19-Nov-2019," BATAINDIA"," EQ"," 1701.00"," 1708.00"," 1680.65","        1685.60"," 1686.00"," 426584"," 7214.74"
18-Nov-2019," BATAINDIA"," EQ"," 1732.00"," 1738.90"," 1698.60","        1706.10"," 1701.75"," 493578"," 8477.52"
15-Nov-2019," BATAINDIA"," EQ"," 1713.00"," 1743.85"," 1708.00","        1734.00"," 1731.40"," 612436"," 10593.79"
14-Nov-2019," BATAINDIA"," EQ"," 1691.00"," 1775.25"," 1686.40","        1712.00"," 1711.15"," 2767571"," 47708.33"
13-Nov-2019," BATAINDIA"," EQ"," 1705.10"," 1706.00"," 1676.65","        1681.00"," 1684.75"," 942272"," 15897.67"
11-Nov-2019," BATAINDIA"," EQ"," 1693.10"," 1723.95"," 1683.50","        1706.05"," 1703.75"," 413019"," 7054.20"
08-Nov-2019," BATAINDIA"," EQ"," 1724.00"," 1741.00"," 1688.65","        1698.15"," 1697.75"," 456488"," 7856.09"
