Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," CANBK"," EQ"," 231.75"," 234.25"," 226.15","         226.75"," 227.15"," 7775704"," 17924.16"
28-Nov-2019," CANBK"," EQ"," 228.55"," 232.90"," 227.40","         231.75"," 232.15"," 11256998"," 25988.85"
27-Nov-2019," CANBK"," EQ"," 223.00"," 228.00"," 222.70","         227.70"," 227.15"," 5962956"," 13407.61"
26-Nov-2019," CANBK"," EQ"," 227.00"," 229.55"," 218.00","         223.00"," 222.70"," 8944967"," 20140.29"
25-Nov-2019," CANBK"," EQ"," 220.80"," 227.45"," 220.80","         226.25"," 226.50"," 7954576"," 17851.72"
22-Nov-2019," CANBK"," EQ"," 221.80"," 226.00"," 220.30","         220.80"," 221.20"," 8416415"," 18767.05"
21-Nov-2019," CANBK"," EQ"," 225.00"," 226.55"," 220.85","         221.95"," 221.85"," 8721292"," 19479.60"
20-Nov-2019," CANBK"," EQ"," 224.00"," 228.15"," 220.20","         221.95"," 222.50"," 16373708"," 36668.90"
19-Nov-2019," CANBK"," EQ"," 210.90"," 223.00"," 209.40","         222.75"," 221.15"," 16903143"," 36714.43"
18-Nov-2019," CANBK"," EQ"," 206.80"," 211.45"," 205.30","         211.00"," 210.80"," 9063595"," 18942.64"
15-Nov-2019," CANBK"," EQ"," 203.50"," 214.40"," 202.55","         206.00"," 205.20"," 21438479"," 44741.34"
14-Nov-2019," CANBK"," EQ"," 197.90"," 201.45"," 193.70","         200.60"," 200.10"," 6630768"," 13184.30"
13-Nov-2019," CANBK"," EQ"," 203.40"," 204.65"," 196.05","         197.70"," 196.95"," 5466935"," 10976.13"
11-Nov-2019," CANBK"," EQ"," 200.85"," 204.10"," 199.00","         203.85"," 203.40"," 6452868"," 13018.84"
08-Nov-2019," CANBK"," EQ"," 208.50"," 209.25"," 200.40","         200.70"," 201.35"," 7691214"," 15806.44"
07-Nov-2019," CANBK"," EQ"," 213.95"," 215.00"," 208.35","         209.20"," 209.60"," 8214699"," 17385.21"
06-Nov-2019," CANBK"," EQ"," 206.80"," 214.50"," 202.25","         210.90"," 210.90"," 18828663"," 39309.58"
05-Nov-2019," CANBK"," EQ"," 208.00"," 213.65"," 205.25","         206.50"," 206.80"," 10318146"," 21654.92"
04-Nov-2019," CANBK"," EQ"," 208.00"," 211.60"," 206.65","         207.50"," 207.85"," 6348189"," 13261.28"
01-Nov-2019," CANBK"," EQ"," 203.70"," 209.90"," 202.60","         206.45"," 207.10"," 8367769"," 17341.93"
31-Oct-2019," CANBK"," EQ"," 201.10"," 209.10"," 200.50","         202.80"," 203.55"," 11153307"," 22806.30"
30-Oct-2019," CANBK"," EQ"," 196.00"," 202.10"," 194.15","         198.90"," 200.05"," 7626092"," 15172.76"
29-Oct-2019," CANBK"," EQ"," 192.00"," 198.40"," 191.50","         194.75"," 195.25"," 5772432"," 11273.58"
27-Oct-2019," CANBK"," EQ"," 194.00"," 194.00"," 191.85","         191.90"," 192.50"," 521706"," 1005.75"
25-Oct-2019," CANBK"," EQ"," 188.50"," 193.90"," 185.65","         192.30"," 192.70"," 7565309"," 14365.56"
24-Oct-2019," CANBK"," EQ"," 192.85"," 192.85"," 184.20","         187.80"," 187.60"," 7641031"," 14462.40"
23-Oct-2019," CANBK"," EQ"," 190.00"," 193.75"," 187.30","         191.55"," 191.55"," 5857194"," 11206.72"
22-Oct-2019," CANBK"," EQ"," 188.50"," 195.20"," 187.70","         189.25"," 189.70"," 6362785"," 12192.88"
18-Oct-2019," CANBK"," EQ"," 186.00"," 190.00"," 185.00","         188.50"," 188.85"," 6751345"," 12708.98"
17-Oct-2019," CANBK"," EQ"," 179.90"," 187.25"," 178.80","         186.10"," 186.50"," 7640363"," 13987.90"
