Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," DABUR"," EQ"," 466.75"," 466.90"," 457.30","         458.40"," 459.10"," 3751777"," 17255.94"
28-Nov-2019," DABUR"," EQ"," 467.00"," 471.75"," 464.30","         466.00"," 466.25"," 893025"," 4170.08"
27-Nov-2019," DABUR"," EQ"," 465.10"," 470.45"," 462.85","         468.60"," 469.30"," 1173971"," 5483.10"
26-Nov-2019," DABUR"," EQ"," 470.30"," 476.95"," 459.00","         466.35"," 462.75"," 6724984"," 31211.80"
25-Nov-2019," DABUR"," EQ"," 463.70"," 470.70"," 463.65","         470.50"," 469.60"," 1229982"," 5748.27"
22-Nov-2019," DABUR"," EQ"," 464.10"," 464.90"," 457.05","         463.80"," 463.80"," 1117561"," 5158.63"
21-Nov-2019," DABUR"," EQ"," 470.00"," 473.90"," 462.40","         463.75"," 464.25"," 2168444"," 10146.98"
20-Nov-2019," DABUR"," EQ"," 458.00"," 470.90"," 455.50","         470.00"," 468.80"," 2389925"," 11105.80"
19-Nov-2019," DABUR"," EQ"," 455.90"," 456.65"," 448.60","         456.50"," 453.70"," 1811882"," 8192.61"
18-Nov-2019," DABUR"," EQ"," 461.70"," 462.85"," 452.20","         455.10"," 455.10"," 1318573"," 6001.40"
15-Nov-2019," DABUR"," EQ"," 464.50"," 466.60"," 460.05","         461.00"," 461.70"," 594085"," 2750.61"
14-Nov-2019," DABUR"," EQ"," 465.50"," 468.75"," 455.00","         461.60"," 462.55"," 1593020"," 7378.48"
13-Nov-2019," DABUR"," EQ"," 479.00"," 480.65"," 462.45","         465.00"," 463.90"," 1734670"," 8174.23"
11-Nov-2019," DABUR"," EQ"," 474.40"," 480.60"," 472.10","         477.15"," 477.45"," 1100336"," 5256.71"
08-Nov-2019," DABUR"," EQ"," 477.70"," 484.30"," 471.60","         474.90"," 473.65"," 1561299"," 7465.76"
07-Nov-2019," DABUR"," EQ"," 478.55"," 480.80"," 472.00","         479.70"," 477.70"," 1456741"," 6943.00"
06-Nov-2019," DABUR"," EQ"," 484.50"," 487.70"," 473.50","         477.85"," 476.55"," 3883468"," 18679.93"
05-Nov-2019," DABUR"," EQ"," 459.05"," 483.40"," 455.20","         482.90"," 481.35"," 8858287"," 41997.48"
04-Nov-2019," DABUR"," EQ"," 464.20"," 467.95"," 458.00","         458.20"," 460.40"," 1679706"," 7785.49"
01-Nov-2019," DABUR"," EQ"," 462.50"," 471.95"," 461.00","         463.90"," 463.85"," 1818491"," 8487.43"
31-Oct-2019," DABUR"," EQ"," 462.00"," 465.00"," 458.15","         462.00"," 461.95"," 1885493"," 8688.65"
30-Oct-2019," DABUR"," EQ"," 465.85"," 467.80"," 456.95","         462.00"," 460.35"," 1796647"," 8287.46"
29-Oct-2019," DABUR"," EQ"," 469.30"," 469.90"," 458.70","         465.05"," 465.85"," 1134661"," 5269.11"
27-Oct-2019," DABUR"," EQ"," 468.65"," 470.80"," 467.00","         468.95"," 469.30"," 153353"," 719.94"
25-Oct-2019," DABUR"," EQ"," 472.15"," 472.80"," 463.00","         465.60"," 465.55"," 649773"," 3036.88"
24-Oct-2019," DABUR"," EQ"," 472.05"," 479.00"," 464.30","         468.85"," 469.80"," 1429210"," 6728.99"
23-Oct-2019," DABUR"," EQ"," 474.00"," 478.10"," 468.35","         471.50"," 471.75"," 1432436"," 6767.24"
22-Oct-2019," DABUR"," EQ"," 466.00"," 480.00"," 465.70","         471.00"," 472.60"," 1981127"," 9388.60"
18-Oct-2019," DABUR"," EQ"," 462.50"," 467.70"," 461.00","         465.50"," 466.50"," 918558"," 4269.96"
17-Oct-2019," DABUR"," EQ"," 455.95"," 463.60"," 454.40","         463.05"," 462.40"," 1122519"," 5161.04"
16-Oct-2019," DABUR"," EQ"," 452.00"," 458.00"," 450.00","         455.85"," 456.10"," 927864"," 4211.53"
15-Oct-2019," DABUR"," EQ"," 458.60"," 459.05"," 447.40","         450.00"," 450.00"," 2746832"," 12419.00"
14-Oct-2019," DABUR"," EQ"," 446.85"," 456.85"," 444.00","         455.10"," 455.00"," 2030424"," 9198.29"
11-Oct-2019," DABUR"," EQ"," 441.40"," 447.00"," 440.00","         445.00"," 445.60"," 846266"," 3757.54"
10-Oct-2019," DABUR"," EQ"," 443.40"," 443.45"," 436.45","         439.30"," 439.40"," 571364"," 2512.52"
09-Oct-2019," DABUR"," EQ"," 432.80"," 445.75"," 431.25","         441.65"," 443.80"," 1488325"," 6543.55"
07-Oct-2019," DABUR"," EQ"," 425.15"," 433.95"," 421.50","         431.45"," 432.55"," 1546043"," 6654.56"
04-Oct-2019," DABUR"," EQ"," 434.75"," 436.05"," 424.25","         425.10"," 425.70"," 2334293"," 10030.11"
03-Oct-2019," DABUR"," EQ"," 436.10"," 438.95"," 431.65","         433.50"," 433.65"," 1637904"," 7125.28"
01-Oct-2019," DABUR"," EQ"," 446.00"," 451.50"," 438.00","         438.90"," 439.65"," 1043636"," 4648.97"
30-Sep-2019," DABUR"," EQ"," 446.00"," 449.25"," 442.05","         445.45"," 447.25"," 1130716"," 5043.52"
27-Sep-2019," DABUR"," EQ"," 446.20"," 448.90"," 442.00","         447.00"," 447.10"," 1470958"," 6553.75"
26-Sep-2019," DABUR"," EQ"," 445.55"," 449.80"," 443.00","         446.65"," 447.20"," 1913386"," 8539.85"
25-Sep-2019," DABUR"," EQ"," 452.00"," 453.30"," 441.95","         442.50"," 445.55"," 1691954"," 7568.82"
24-Sep-2019," DABUR"," EQ"," 441.00"," 453.55"," 436.00","         452.00"," 451.90"," 3051265"," 13578.45"
23-Sep-2019," DABUR"," EQ"," 443.00"," 451.75"," 432.70","         440.00"," 440.80"," 3523419"," 15504.83"
20-Sep-2019," DABUR"," EQ"," 458.50"," 469.20"," 441.10","         446.15"," 445.70"," 5241569"," 23709.51"
19-Sep-2019," DABUR"," EQ"," 462.85"," 462.85"," 456.40","         458.50"," 458.55"," 1914739"," 8789.31"
18-Sep-2019," DABUR"," EQ"," 453.95"," 462.00"," 451.95","         461.95"," 460.00"," 2286519"," 10438.26"
17-Sep-2019," DABUR"," EQ"," 455.00"," 456.85"," 450.25","         453.00"," 451.70"," 1991114"," 9021.26"
16-Sep-2019," DABUR"," EQ"," 449.90"," 457.30"," 449.00","         455.00"," 454.75"," 2261361"," 10291.20"
13-Sep-2019," DABUR"," EQ"," 451.70"," 454.65"," 446.55","         451.70"," 452.20"," 2368150"," 10678.32"
12-Sep-2019," DABUR"," EQ"," 449.10"," 451.70"," 446.55","         450.40"," 450.20"," 1327793"," 5974.79"
11-Sep-2019," DABUR"," EQ"," 445.00"," 450.00"," 441.70","         448.60"," 449.10"," 3044215"," 13604.74"
09-Sep-2019," DABUR"," EQ"," 441.00"," 447.20"," 438.00","         444.15"," 444.25"," 1327946"," 5885.76"
06-Sep-2019," DABUR"," EQ"," 440.45"," 442.65"," 437.15","         441.05"," 441.30"," 500428"," 2201.81"
05-Sep-2019," DABUR"," EQ"," 444.45"," 445.65"," 437.10","         439.00"," 438.95"," 887639"," 3919.79"
04-Sep-2019," DABUR"," EQ"," 443.55"," 446.80"," 433.95","         442.30"," 442.20"," 2053458"," 9027.91"
03-Sep-2019," DABUR"," EQ"," 447.95"," 452.30"," 439.40","         442.15"," 443.05"," 2282758"," 10195.59"
30-Aug-2019," DABUR"," EQ"," 444.70"," 450.35"," 444.00","         448.10"," 448.80"," 3191823"," 14250.81"
