Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," EICHERMOT"," EQ"," 23052.00"," 23079.95"," 22650.00","       22885.00"," 22881.40"," 111578"," 25513.29"
28-Nov-2019," EICHERMOT"," EQ"," 23165.50"," 23165.50"," 22905.00","       23051.00"," 23091.60"," 94321"," 21739.63"
27-Nov-2019," EICHERMOT"," EQ"," 22990.80"," 23400.00"," 22872.40","       23005.60"," 23021.65"," 134019"," 30877.03"
26-Nov-2019," EICHERMOT"," EQ"," 23349.80"," 23450.00"," 22727.00","       22990.80"," 22805.70"," 199734"," 45982.08"
25-Nov-2019," EICHERMOT"," EQ"," 22760.00"," 23416.00"," 22760.00","       23322.00"," 23261.30"," 197138"," 45704.67"
22-Nov-2019," EICHERMOT"," EQ"," 21766.30"," 22965.00"," 21600.00","       22850.00"," 22753.20"," 251227"," 56003.51"
21-Nov-2019," EICHERMOT"," EQ"," 21550.00"," 21998.00"," 21450.00","       21940.00"," 21954.60"," 130374"," 28423.80"
20-Nov-2019," EICHERMOT"," EQ"," 21747.00"," 21747.00"," 21395.00","       21485.00"," 21489.80"," 73575"," 15821.20"
19-Nov-2019," EICHERMOT"," EQ"," 21600.00"," 21799.95"," 21424.20","       21780.05"," 21747.35"," 90606"," 19571.23"
18-Nov-2019," EICHERMOT"," EQ"," 21429.00"," 21580.00"," 21250.00","       21485.00"," 21477.40"," 69466"," 14891.71"
15-Nov-2019," EICHERMOT"," EQ"," 21850.00"," 21900.00"," 21241.30","       21275.00"," 21324.05"," 119533"," 25751.84"
14-Nov-2019," EICHERMOT"," EQ"," 21500.00"," 21725.00"," 21355.00","       21560.00"," 21558.15"," 98083"," 21132.07"
13-Nov-2019," EICHERMOT"," EQ"," 21370.00"," 21824.00"," 21200.00","       21386.00"," 21352.20"," 158907"," 34229.33"
11-Nov-2019," EICHERMOT"," EQ"," 21640.00"," 21817.65"," 21310.05","       21340.55"," 21376.90"," 94416"," 20273.95"
08-Nov-2019," EICHERMOT"," EQ"," 21250.00"," 22055.70"," 21200.00","       21640.00"," 21689.65"," 187411"," 40688.61"
07-Nov-2019," EICHERMOT"," EQ"," 21670.00"," 21700.00"," 21171.15","       21420.00"," 21423.95"," 105586"," 22574.80"
06-Nov-2019," EICHERMOT"," EQ"," 21370.00"," 21750.00"," 21034.15","       21500.30"," 21605.55"," 144445"," 30979.97"
05-Nov-2019," EICHERMOT"," EQ"," 21750.00"," 21947.30"," 21230.50","       21310.00"," 21287.15"," 149412"," 32074.98"
04-Nov-2019," EICHERMOT"," EQ"," 22240.00"," 22280.00"," 21560.00","       21740.05"," 21740.70"," 157014"," 34374.44"
01-Nov-2019," EICHERMOT"," EQ"," 22587.00"," 22888.00"," 21900.05","       22000.00"," 21976.15"," 187025"," 41899.95"
31-Oct-2019," EICHERMOT"," EQ"," 22545.00"," 22680.20"," 22301.00","       22630.00"," 22538.10"," 137654"," 31018.77"
30-Oct-2019," EICHERMOT"," EQ"," 22250.00"," 22599.00"," 21600.00","       22529.95"," 22511.50"," 202269"," 44855.76"
29-Oct-2019," EICHERMOT"," EQ"," 21323.65"," 22150.00"," 21323.65","       22110.00"," 22049.40"," 191047"," 41705.31"
27-Oct-2019," EICHERMOT"," EQ"," 21500.00"," 21688.60"," 21100.15","       21275.20"," 21323.65"," 24888"," 5335.65"
25-Oct-2019," EICHERMOT"," EQ"," 21150.00"," 21415.00"," 20950.05","       21365.00"," 21321.75"," 150522"," 31957.06"
24-Oct-2019," EICHERMOT"," EQ"," 20640.00"," 21188.55"," 20521.15","       21114.95"," 21032.35"," 224848"," 47134.29"
23-Oct-2019," EICHERMOT"," EQ"," 19976.00"," 20740.90"," 19779.00","       20480.00"," 20521.20"," 185473"," 37960.39"
22-Oct-2019," EICHERMOT"," EQ"," 20276.00"," 20513.25"," 19855.00","       19963.45"," 19978.85"," 161392"," 32547.35"
18-Oct-2019," EICHERMOT"," EQ"," 20600.00"," 20680.00"," 20065.10","       20226.15"," 20275.90"," 295066"," 60019.14"
17-Oct-2019," EICHERMOT"," EQ"," 19500.00"," 20789.00"," 19455.00","       20750.00"," 20491.85"," 398637"," 80163.87"
16-Oct-2019," EICHERMOT"," EQ"," 19188.00"," 19300.00"," 18902.60","       19201.00"," 19220.60"," 108475"," 20705.31"
15-Oct-2019," EICHERMOT"," EQ"," 18310.00"," 19300.00"," 18285.00","       19187.90"," 19199.10"," 230411"," 43794.86"
14-Oct-2019," EICHERMOT"," EQ"," 18100.00"," 18450.00"," 18080.00","       18300.00"," 18327.95"," 77467"," 14180.01"
11-Oct-2019," EICHERMOT"," EQ"," 18091.00"," 18349.00"," 17900.00","       18200.00"," 18201.15"," 94699"," 17211.37"
10-Oct-2019," EICHERMOT"," EQ"," 18195.00"," 18195.00"," 17851.75","       18082.00"," 18052.50"," 82354"," 14843.32"
09-Oct-2019," EICHERMOT"," EQ"," 17950.05"," 18300.00"," 17833.10","       18211.90"," 18239.35"," 111285"," 20100.89"
07-Oct-2019," EICHERMOT"," EQ"," 17934.95"," 18153.30"," 17654.65","       17987.95"," 18000.60"," 79460"," 14216.55"
04-Oct-2019," EICHERMOT"," EQ"," 18450.00"," 18508.95"," 17857.45","       17934.95"," 17999.00"," 143155"," 26138.53"
03-Oct-2019," EICHERMOT"," EQ"," 17825.00"," 18340.00"," 17723.10","       18299.90"," 18284.65"," 122882"," 22315.36"
01-Oct-2019," EICHERMOT"," EQ"," 17960.00"," 18280.00"," 17594.00","       17825.00"," 17826.85"," 200842"," 35996.61"
30-Sep-2019," EICHERMOT"," EQ"," 17800.00"," 18000.00"," 17366.45","       17715.05"," 17765.20"," 149957"," 26512.91"
27-Sep-2019," EICHERMOT"," EQ"," 17701.00"," 18184.30"," 17550.00","       17779.00"," 17792.40"," 148012"," 26425.58"
26-Sep-2019," EICHERMOT"," EQ"," 17710.10"," 18125.00"," 17530.55","       17901.00"," 17911.55"," 187046"," 33438.82"
25-Sep-2019," EICHERMOT"," EQ"," 18350.00"," 18524.00"," 17405.00","       17596.70"," 17600.10"," 208549"," 37123.35"
24-Sep-2019," EICHERMOT"," EQ"," 19490.00"," 19565.00"," 17955.00","       18500.00"," 18434.25"," 286010"," 52998.37"
23-Sep-2019," EICHERMOT"," EQ"," 18400.00"," 19500.00"," 18400.00","       19450.00"," 19239.35"," 330720"," 62439.85"
