Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," HCLTECH"," EQ"," 1136.00"," 1136.85"," 1125.10","        1127.50"," 1127.65"," 1193851"," 13487.69"
28-Nov-2019," HCLTECH"," EQ"," 1139.00"," 1143.40"," 1125.50","        1134.00"," 1132.65"," 1206558"," 13683.17"
27-Nov-2019," HCLTECH"," EQ"," 1109.00"," 1134.40"," 1109.00","        1123.70"," 1128.25"," 1677156"," 18859.64"
26-Nov-2019," HCLTECH"," EQ"," 1126.50"," 1134.50"," 1098.45","        1109.75"," 1108.05"," 3229962"," 36015.09"
25-Nov-2019," HCLTECH"," EQ"," 1117.00"," 1126.10"," 1106.05","        1125.00"," 1124.75"," 846601"," 9441.77"
22-Nov-2019," HCLTECH"," EQ"," 1130.45"," 1134.95"," 1108.95","        1117.50"," 1114.75"," 1298964"," 14482.97"
21-Nov-2019," HCLTECH"," EQ"," 1138.60"," 1148.50"," 1131.55","        1135.50"," 1136.60"," 1938092"," 22081.11"
20-Nov-2019," HCLTECH"," EQ"," 1135.00"," 1137.70"," 1125.50","        1132.20"," 1132.80"," 1112518"," 12592.50"
19-Nov-2019," HCLTECH"," EQ"," 1139.00"," 1143.50"," 1128.65","        1133.90"," 1134.65"," 1182510"," 13420.64"
18-Nov-2019," HCLTECH"," EQ"," 1148.00"," 1149.70"," 1138.80","        1140.50"," 1141.10"," 1242157"," 14213.02"
15-Nov-2019," HCLTECH"," EQ"," 1150.95"," 1159.80"," 1140.00","        1143.15"," 1142.30"," 1530856"," 17599.63"
14-Nov-2019," HCLTECH"," EQ"," 1141.50"," 1157.40"," 1135.10","        1149.00"," 1147.80"," 1270462"," 14575.22"
13-Nov-2019," HCLTECH"," EQ"," 1150.00"," 1156.10"," 1134.70","        1142.90"," 1138.60"," 1689175"," 19367.72"
11-Nov-2019," HCLTECH"," EQ"," 1150.00"," 1153.70"," 1130.20","        1145.95"," 1145.95"," 953320"," 10860.56"
