Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," SRTRANSFIN"," EQ"," 1140.95"," 1149.00"," 1115.50","        1127.20"," 1127.20"," 495859"," 5633.78"
28-Nov-2019," SRTRANSFIN"," EQ"," 1137.90"," 1159.00"," 1128.80","        1147.00"," 1144.65"," 1348965"," 15449.41"
27-Nov-2019," SRTRANSFIN"," EQ"," 1118.00"," 1148.15"," 1118.00","        1137.40"," 1136.50"," 964597"," 10957.98"
26-Nov-2019," SRTRANSFIN"," EQ"," 1153.80"," 1154.00"," 1105.15","        1116.80"," 1115.40"," 1563768"," 17598.74"
25-Nov-2019," SRTRANSFIN"," EQ"," 1144.95"," 1155.00"," 1134.45","        1145.15"," 1146.30"," 959996"," 11002.43"
22-Nov-2019," SRTRANSFIN"," EQ"," 1128.90"," 1146.85"," 1120.50","        1143.00"," 1141.20"," 464664"," 5259.97"
21-Nov-2019," SRTRANSFIN"," EQ"," 1133.50"," 1144.50"," 1120.05","        1129.00"," 1128.85"," 685740"," 7749.49"
20-Nov-2019," SRTRANSFIN"," EQ"," 1130.00"," 1138.45"," 1121.00","        1125.10"," 1126.50"," 395206"," 4460.25"
19-Nov-2019," SRTRANSFIN"," EQ"," 1125.60"," 1130.00"," 1117.90","        1124.50"," 1126.10"," 586375"," 6599.30"
18-Nov-2019," SRTRANSFIN"," EQ"," 1130.00"," 1136.90"," 1122.95","        1125.30"," 1126.35"," 610704"," 6892.44"
15-Nov-2019," SRTRANSFIN"," EQ"," 1136.00"," 1147.70"," 1123.25","        1130.00"," 1128.25"," 472909"," 5357.47"
14-Nov-2019," SRTRANSFIN"," EQ"," 1137.55"," 1141.65"," 1111.75","        1139.70"," 1137.25"," 874225"," 9895.98"
13-Nov-2019," SRTRANSFIN"," EQ"," 1119.95"," 1151.95"," 1119.95","        1131.90"," 1131.55"," 1101927"," 12569.89"
11-Nov-2019," SRTRANSFIN"," EQ"," 1114.70"," 1146.50"," 1112.20","        1123.00"," 1119.95"," 818559"," 9256.07"
08-Nov-2019," SRTRANSFIN"," EQ"," 1152.45"," 1162.50"," 1111.00","        1116.90"," 1116.35"," 878154"," 9991.60"
07-Nov-2019," SRTRANSFIN"," EQ"," 1152.50"," 1181.55"," 1138.00","        1150.00"," 1152.45"," 1663203"," 19336.76"
06-Nov-2019," SRTRANSFIN"," EQ"," 1137.15"," 1152.65"," 1130.00","        1142.50"," 1139.45"," 984275"," 11234.74"
05-Nov-2019," SRTRANSFIN"," EQ"," 1139.00"," 1152.20"," 1128.00","        1136.85"," 1139.20"," 528009"," 6012.51"
04-Nov-2019," SRTRANSFIN"," EQ"," 1145.00"," 1153.20"," 1133.00","        1134.75"," 1139.15"," 595573"," 6797.79"
01-Nov-2019," SRTRANSFIN"," EQ"," 1145.75"," 1164.90"," 1137.55","        1144.60"," 1144.10"," 761173"," 8744.15"
