Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," TATAMTRDVR"," EQ"," 72.75"," 74.25"," 71.00","          71.40"," 71.35"," 4030491"," 2929.56"
28-Nov-2019," TATAMTRDVR"," EQ"," 73.60"," 74.00"," 72.05","          73.30"," 73.30"," 4213575"," 3079.57"
27-Nov-2019," TATAMTRDVR"," EQ"," 74.45"," 76.50"," 74.00","          74.15"," 74.20"," 5034574"," 3780.35"
26-Nov-2019," TATAMTRDVR"," EQ"," 76.50"," 76.60"," 73.65","          74.00"," 74.00"," 3655159"," 2744.25"
25-Nov-2019," TATAMTRDVR"," EQ"," 74.10"," 76.40"," 73.20","          76.30"," 76.05"," 4598792"," 3453.06"
22-Nov-2019," TATAMTRDVR"," EQ"," 75.75"," 75.90"," 73.65","          74.35"," 74.45"," 3076068"," 2289.65"
21-Nov-2019," TATAMTRDVR"," EQ"," 77.25"," 78.25"," 74.55","          75.30"," 75.35"," 4103928"," 3139.15"
20-Nov-2019," TATAMTRDVR"," EQ"," 77.45"," 78.70"," 76.30","          76.75"," 76.90"," 4691198"," 3622.08"
19-Nov-2019," TATAMTRDVR"," EQ"," 79.00"," 79.20"," 76.95","          77.45"," 77.45"," 2574357"," 1999.75"
18-Nov-2019," TATAMTRDVR"," EQ"," 78.70"," 79.80"," 78.25","          78.55"," 78.55"," 5135338"," 4050.16"
15-Nov-2019," TATAMTRDVR"," EQ"," 78.50"," 80.75"," 77.65","          78.30"," 78.25"," 7830361"," 6186.28"
14-Nov-2019," TATAMTRDVR"," EQ"," 78.30"," 78.30"," 75.75","          76.70"," 76.65"," 3497833"," 2680.69"
13-Nov-2019," TATAMTRDVR"," EQ"," 79.65"," 81.70"," 78.00","          78.25"," 78.45"," 4343044"," 3461.69"
11-Nov-2019," TATAMTRDVR"," EQ"," 77.60"," 80.35"," 77.30","          79.50"," 79.65"," 3911003"," 3079.91"
08-Nov-2019," TATAMTRDVR"," EQ"," 78.90"," 82.00"," 77.10","          77.60"," 77.60"," 6145716"," 4881.30"
07-Nov-2019," TATAMTRDVR"," EQ"," 80.20"," 80.50"," 77.15","          79.10"," 79.00"," 5408742"," 4272.86"
06-Nov-2019," TATAMTRDVR"," EQ"," 80.35"," 81.70"," 79.20","          80.15"," 80.35"," 4973920"," 3991.56"
05-Nov-2019," TATAMTRDVR"," EQ"," 80.30"," 81.50"," 79.05","          80.10"," 80.05"," 5181567"," 4171.07"
04-Nov-2019," TATAMTRDVR"," EQ"," 79.00"," 83.00"," 79.00","          80.30"," 80.25"," 5876282"," 4764.65"
01-Nov-2019," TATAMTRDVR"," EQ"," 81.45"," 83.10"," 79.80","          81.30"," 81.25"," 11459357"," 9356.33"
31-Oct-2019," TATAMTRDVR"," EQ"," 79.00"," 82.60"," 78.45","          82.00"," 81.75"," 11133947"," 9061.40"
30-Oct-2019," TATAMTRDVR"," EQ"," 80.00"," 81.25"," 76.95","          79.95"," 80.00"," 14785450"," 11723.71"
