Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
29-Nov-2019," VEDL"," EQ"," 146.10"," 148.40"," 144.00","         144.30"," 144.60"," 8531814"," 12440.01"
28-Nov-2019," VEDL"," EQ"," 146.70"," 148.20"," 145.10","         147.35"," 147.40"," 8002957"," 11729.78"
27-Nov-2019," VEDL"," EQ"," 145.00"," 148.80"," 144.65","         146.40"," 146.95"," 8923473"," 13130.94"
26-Nov-2019," VEDL"," EQ"," 147.00"," 147.50"," 143.60","         144.80"," 145.10"," 14715876"," 21388.31"
25-Nov-2019," VEDL"," EQ"," 142.25"," 146.85"," 142.10","         145.60"," 146.15"," 13356348"," 19426.57"
22-Nov-2019," VEDL"," EQ"," 139.50"," 142.85"," 138.70","         142.10"," 142.25"," 10173301"," 14339.46"
21-Nov-2019," VEDL"," EQ"," 142.00"," 142.35"," 138.80","         139.00"," 139.05"," 11986660"," 16827.65"
20-Nov-2019," VEDL"," EQ"," 141.35"," 143.80"," 140.40","         141.05"," 141.45"," 14546763"," 20679.25"
19-Nov-2019," VEDL"," EQ"," 143.75"," 143.90"," 140.40","         142.30"," 141.70"," 11847416"," 16777.23"
18-Nov-2019," VEDL"," EQ"," 143.00"," 144.90"," 142.40","         143.75"," 143.40"," 12285871"," 17649.78"
15-Nov-2019," VEDL"," EQ"," 145.80"," 146.15"," 141.70","         142.10"," 142.10"," 17581870"," 25211.32"
14-Nov-2019," VEDL"," EQ"," 150.00"," 150.50"," 142.75","         144.50"," 144.00"," 26065437"," 37943.11"
13-Nov-2019," VEDL"," EQ"," 152.40"," 154.45"," 147.65","         147.70"," 148.40"," 12134093"," 18355.14"
11-Nov-2019," VEDL"," EQ"," 155.35"," 156.25"," 152.20","         152.50"," 152.70"," 10071390"," 15476.22"
08-Nov-2019," VEDL"," EQ"," 160.20"," 161.80"," 155.00","         155.70"," 155.50"," 14502611"," 23091.35"
07-Nov-2019," VEDL"," EQ"," 158.95"," 163.00"," 155.35","         160.85"," 160.95"," 15683045"," 24978.48"
06-Nov-2019," VEDL"," EQ"," 157.00"," 161.15"," 156.70","         157.45"," 157.95"," 12911295"," 20498.37"
05-Nov-2019," VEDL"," EQ"," 159.60"," 160.90"," 156.20","         157.50"," 157.50"," 13732684"," 21752.06"
04-Nov-2019," VEDL"," EQ"," 156.55"," 161.20"," 156.00","         157.20"," 157.60"," 26458173"," 42009.37"
01-Nov-2019," VEDL"," EQ"," 148.45"," 155.00"," 146.70","         154.00"," 153.05"," 21310225"," 32051.59"
31-Oct-2019," VEDL"," EQ"," 151.00"," 151.20"," 147.05","         148.50"," 148.35"," 14829460"," 22187.48"
30-Oct-2019," VEDL"," EQ"," 151.45"," 151.60"," 149.35","         150.80"," 150.10"," 14348160"," 21623.18"
29-Oct-2019," VEDL"," EQ"," 145.55"," 152.50"," 145.55","         149.00"," 149.50"," 18348776"," 27555.70"
27-Oct-2019," VEDL"," EQ"," 144.10"," 145.15"," 143.35","         145.10"," 144.65"," 1765530"," 2549.14"
25-Oct-2019," VEDL"," EQ"," 145.95"," 146.90"," 141.60","         142.45"," 142.20"," 11787504"," 16991.64"
24-Oct-2019," VEDL"," EQ"," 147.00"," 148.60"," 145.00","         146.10"," 145.70"," 11714667"," 17197.97"
23-Oct-2019," VEDL"," EQ"," 149.00"," 150.00"," 145.50","         145.90"," 146.25"," 9045790"," 13313.77"
22-Oct-2019," VEDL"," EQ"," 150.60"," 151.95"," 147.20","         149.10"," 149.15"," 8487404"," 12740.53"
18-Oct-2019," VEDL"," EQ"," 148.40"," 152.20"," 147.80","         149.75"," 150.25"," 10985219"," 16521.21"
17-Oct-2019," VEDL"," EQ"," 148.05"," 149.70"," 144.75","         148.45"," 148.30"," 18475493"," 27102.73"
16-Oct-2019," VEDL"," EQ"," 153.75"," 153.80"," 149.15","         149.70"," 149.90"," 12056082"," 18120.54"
15-Oct-2019," VEDL"," EQ"," 147.15"," 155.90"," 144.50","         153.75"," 153.50"," 17789048"," 26817.06"
14-Oct-2019," VEDL"," EQ"," 148.75"," 152.80"," 147.00","         147.20"," 147.80"," 12919085"," 19432.57"
11-Oct-2019," VEDL"," EQ"," 142.55"," 148.20"," 141.15","         146.70"," 147.05"," 20089933"," 29252.55"
10-Oct-2019," VEDL"," EQ"," 143.90"," 145.50"," 140.50","         141.00"," 141.15"," 8466309"," 12112.29"
09-Oct-2019," VEDL"," EQ"," 142.00"," 146.50"," 141.15","         146.20"," 145.70"," 6695090"," 9664.40"
07-Oct-2019," VEDL"," EQ"," 144.00"," 145.70"," 141.50","         142.30"," 142.65"," 7480593"," 10751.99"
04-Oct-2019," VEDL"," EQ"," 145.75"," 147.05"," 142.50","         142.90"," 143.30"," 7816113"," 11342.98"
