Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," ADANIENT"," EQ"," 168.50"," 174.80"," 163.50","         165.05"," 165.00"," 9405499"," 15898.99"
29-Nov-2018," ADANIENT"," EQ"," 159.35"," 175.55"," 158.70","         168.60"," 169.90"," 13648898"," 22923.17"
28-Nov-2018," ADANIENT"," EQ"," 159.15"," 159.60"," 156.30","         158.00"," 158.00"," 3156482"," 4989.40"
27-Nov-2018," ADANIENT"," EQ"," 157.35"," 161.00"," 154.25","         158.25"," 159.15"," 3925863"," 6207.01"
26-Nov-2018," ADANIENT"," EQ"," 158.50"," 159.90"," 155.65","         158.00"," 157.35"," 2428238"," 3824.97"
22-Nov-2018," ADANIENT"," EQ"," 161.90"," 161.95"," 157.55","         158.00"," 158.50"," 2405010"," 3838.67"
21-Nov-2018," ADANIENT"," EQ"," 161.60"," 162.00"," 158.50","         160.90"," 161.00"," 4209404"," 6755.80"
20-Nov-2018," ADANIENT"," EQ"," 161.65"," 163.65"," 156.95","         160.15"," 160.15"," 4293856"," 6888.12"
19-Nov-2018," ADANIENT"," EQ"," 162.40"," 164.40"," 159.55","         162.00"," 162.10"," 3424402"," 5530.16"
16-Nov-2018," ADANIENT"," EQ"," 163.00"," 163.85"," 157.50","         161.80"," 161.45"," 3885301"," 6225.47"
15-Nov-2018," ADANIENT"," EQ"," 161.75"," 166.25"," 160.00","         163.00"," 162.85"," 5297431"," 8653.41"
14-Nov-2018," ADANIENT"," EQ"," 163.30"," 163.75"," 158.25","         161.55"," 160.85"," 3263131"," 5244.22"
13-Nov-2018," ADANIENT"," EQ"," 160.25"," 163.00"," 158.75","         162.20"," 162.15"," 3641712"," 5873.92"
12-Nov-2018," ADANIENT"," EQ"," 166.00"," 167.90"," 158.15","         161.00"," 160.25"," 4332207"," 7045.74"
09-Nov-2018," ADANIENT"," EQ"," 165.50"," 167.80"," 163.95","         165.75"," 166.30"," 4079435"," 6771.31"
07-Nov-2018," ADANIENT"," EQ"," 165.00"," 169.00"," 164.70","         165.20"," 165.75"," 1138303"," 1892.91"
06-Nov-2018," ADANIENT"," EQ"," 168.25"," 169.00"," 162.00","         164.30"," 164.45"," 5834504"," 9639.85"
05-Nov-2018," ADANIENT"," EQ"," 176.10"," 176.75"," 155.80","         167.00"," 168.50"," 12668556"," 21258.75"
02-Nov-2018," ADANIENT"," EQ"," 176.60"," 179.50"," 173.80","         174.95"," 175.60"," 6839045"," 12070.19"
01-Nov-2018," ADANIENT"," EQ"," 171.05"," 178.10"," 168.85","         175.50"," 175.00"," 8041754"," 13960.19"
31-Oct-2018," ADANIENT"," EQ"," 167.00"," 173.80"," 164.70","         170.00"," 170.00"," 10254679"," 17416.83"
30-Oct-2018," ADANIENT"," EQ"," 172.50"," 174.00"," 168.10","         168.60"," 169.05"," 3885243"," 6640.48"
29-Oct-2018," ADANIENT"," EQ"," 168.65"," 172.60"," 165.05","         171.25"," 171.75"," 5332500"," 9039.53"
26-Oct-2018," ADANIENT"," EQ"," 174.00"," 174.75"," 165.30","         165.75"," 166.75"," 6982991"," 11839.88"
25-Oct-2018," ADANIENT"," EQ"," 166.75"," 174.40"," 161.50","         174.25"," 172.10"," 7460591"," 12453.00"
24-Oct-2018," ADANIENT"," EQ"," 171.00"," 172.25"," 165.10","         167.25"," 167.55"," 5451065"," 9178.63"
23-Oct-2018," ADANIENT"," EQ"," 169.00"," 171.85"," 166.00","         168.05"," 169.55"," 8339433"," 14080.75"
22-Oct-2018," ADANIENT"," EQ"," 171.10"," 176.70"," 164.40","         170.75"," 168.50"," 13950566"," 24053.22"
19-Oct-2018," ADANIENT"," EQ"," 158.50"," 170.70"," 158.50","         168.55"," 168.75"," 11861481"," 19673.06"
17-Oct-2018," ADANIENT"," EQ"," 160.10"," 163.65"," 154.25","         162.00"," 161.75"," 11660585"," 18714.13"
16-Oct-2018," ADANIENT"," EQ"," 152.35"," 160.00"," 151.75","         156.70"," 157.65"," 9671300"," 15112.34"
15-Oct-2018," ADANIENT"," EQ"," 147.00"," 153.75"," 143.80","         151.65"," 152.45"," 9011923"," 13406.40"
12-Oct-2018," ADANIENT"," EQ"," 140.10"," 145.40"," 140.10","         143.05"," 143.85"," 6338784"," 9046.13"
11-Oct-2018," ADANIENT"," EQ"," 138.00"," 143.40"," 135.15","         138.00"," 138.20"," 8421556"," 11769.14"
10-Oct-2018," ADANIENT"," EQ"," 136.50"," 147.85"," 135.00","         144.40"," 143.75"," 9209149"," 12911.01"
09-Oct-2018," ADANIENT"," EQ"," 136.00"," 137.70"," 129.35","         135.50"," 135.90"," 7186017"," 9639.43"
08-Oct-2018," ADANIENT"," EQ"," 129.00"," 134.85"," 121.35","         133.00"," 133.15"," 10658358"," 13727.71"
05-Oct-2018," ADANIENT"," EQ"," 131.55"," 135.75"," 128.25","         129.35"," 130.20"," 6099515"," 8077.39"
04-Oct-2018," ADANIENT"," EQ"," 129.40"," 134.30"," 127.00","         132.20"," 132.95"," 7184987"," 9453.55"
03-Oct-2018," ADANIENT"," EQ"," 137.00"," 141.50"," 130.05","         131.15"," 134.80"," 6829117"," 9375.16"
01-Oct-2018," ADANIENT"," EQ"," 127.00"," 138.60"," 121.55","         137.80"," 137.35"," 9826192"," 12845.08"
28-Sep-2018," ADANIENT"," EQ"," 142.65"," 143.40"," 125.60","         130.15"," 130.60"," 11876058"," 15795.61"
27-Sep-2018," ADANIENT"," EQ"," 136.00"," 143.05"," 132.70","         142.45"," 142.25"," 9769528"," 13540.46"
26-Sep-2018," ADANIENT"," EQ"," 140.40"," 142.50"," 133.70","         135.50"," 136.50"," 6768299"," 9252.72"
25-Sep-2018," ADANIENT"," EQ"," 133.50"," 142.40"," 125.65","         142.00"," 138.35"," 8571550"," 11506.74"
24-Sep-2018," ADANIENT"," EQ"," 138.45"," 139.75"," 131.15","         134.10"," 134.50"," 5960439"," 8043.01"
21-Sep-2018," ADANIENT"," EQ"," 148.00"," 153.50"," 132.65","         137.50"," 138.45"," 12829824"," 18360.05"
19-Sep-2018," ADANIENT"," EQ"," 149.40"," 150.70"," 145.30","         146.30"," 147.35"," 5315295"," 7855.72"
18-Sep-2018," ADANIENT"," EQ"," 151.95"," 154.85"," 146.30","         148.05"," 148.45"," 7447741"," 11232.20"
17-Sep-2018," ADANIENT"," EQ"," 150.20"," 155.65"," 146.80","         151.50"," 152.05"," 10925422"," 16498.06"
14-Sep-2018," ADANIENT"," EQ"," 149.75"," 152.90"," 148.25","         150.15"," 150.60"," 8859644"," 13357.72"
12-Sep-2018," ADANIENT"," EQ"," 148.50"," 150.15"," 142.75","         148.00"," 148.90"," 16166704"," 23670.87"
11-Sep-2018," ADANIENT"," EQ"," 151.00"," 153.70"," 146.30","         148.00"," 148.25"," 15083637"," 22636.25"
10-Sep-2018," ADANIENT"," EQ"," 158.00"," 158.00"," 149.65","         150.45"," 150.75"," 20590646"," 31578.06"
07-Sep-2018," ADANIENT"," EQ"," 165.25"," 169.90"," 155.70","         156.55"," 157.35"," 42704819"," 69280.90"
06-Sep-2018," ADANIENT"," EQ"," 150.00"," 170.65"," 139.35","         163.90"," 163.70"," 74817700"," 119992.88"
05-Sep-2018," ADANIENT"," EQ"," 208.20"," 216.70"," 205.80","         210.30"," 210.95"," 35462765"," 75016.27"
04-Sep-2018," ADANIENT"," EQ"," 211.00"," 216.40"," 202.00","         210.80"," 210.40"," 29213333"," 61574.29"
03-Sep-2018," ADANIENT"," EQ"," 226.00"," 227.40"," 204.15","         210.50"," 210.50"," 20062123"," 43251.20"



