Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," APOLLOHOSP"," EQ"," 1250.20"," 1289.75"," 1250.20","        1261.00"," 1264.80"," 1035249"," 13191.24"
29-Nov-2018," APOLLOHOSP"," EQ"," 1231.15"," 1253.80"," 1225.00","        1250.00"," 1245.85"," 506815"," 6289.54"
28-Nov-2018," APOLLOHOSP"," EQ"," 1226.10"," 1249.75"," 1222.25","        1229.65"," 1231.45"," 520657"," 6434.30"
27-Nov-2018," APOLLOHOSP"," EQ"," 1255.00"," 1264.00"," 1225.45","        1226.10"," 1233.20"," 744253"," 9268.74"
26-Nov-2018," APOLLOHOSP"," EQ"," 1222.00"," 1254.95"," 1215.55","        1247.75"," 1250.15"," 720471"," 8884.44"
22-Nov-2018," APOLLOHOSP"," EQ"," 1207.30"," 1224.00"," 1195.00","        1216.00"," 1214.25"," 601981"," 7276.41"
21-Nov-2018," APOLLOHOSP"," EQ"," 1200.00"," 1223.00"," 1198.00","        1213.00"," 1213.35"," 422957"," 5132.94"
20-Nov-2018," APOLLOHOSP"," EQ"," 1227.20"," 1239.90"," 1188.55","        1191.00"," 1192.80"," 933231"," 11300.72"
19-Nov-2018," APOLLOHOSP"," EQ"," 1235.00"," 1265.00"," 1215.40","        1225.50"," 1225.05"," 1068208"," 13231.96"
16-Nov-2018," APOLLOHOSP"," EQ"," 1250.65"," 1268.00"," 1226.25","        1235.00"," 1233.50"," 837770"," 10420.33"
15-Nov-2018," APOLLOHOSP"," EQ"," 1201.90"," 1287.00"," 1180.10","        1250.65"," 1262.10"," 3884208"," 48223.08"
14-Nov-2018," APOLLOHOSP"," EQ"," 1150.00"," 1177.80"," 1143.00","        1166.90"," 1168.05"," 531312"," 6167.10"
13-Nov-2018," APOLLOHOSP"," EQ"," 1144.00"," 1154.40"," 1112.25","        1147.00"," 1143.60"," 442309"," 5019.85"
12-Nov-2018," APOLLOHOSP"," EQ"," 1148.80"," 1156.85"," 1126.15","        1139.00"," 1136.75"," 330778"," 3763.96"
