Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," ASHOKLEY"," EQ"," 110.25"," 112.65"," 110.25","         112.10"," 112.35"," 24350704"," 27219.24"
29-Nov-2018," ASHOKLEY"," EQ"," 109.15"," 111.05"," 108.55","         111.00"," 110.15"," 18550367"," 20343.24"
28-Nov-2018," ASHOKLEY"," EQ"," 110.45"," 111.50"," 108.00","         108.15"," 108.35"," 19349547"," 21207.66"
27-Nov-2018," ASHOKLEY"," EQ"," 108.50"," 110.70"," 108.35","         110.25"," 110.30"," 17013841"," 18706.91"
26-Nov-2018," ASHOKLEY"," EQ"," 109.90"," 110.60"," 107.00","         108.90"," 108.90"," 22402073"," 24435.73"
22-Nov-2018," ASHOKLEY"," EQ"," 110.30"," 111.35"," 109.00","         109.15"," 109.30"," 22767697"," 25088.92"
21-Nov-2018," ASHOKLEY"," EQ"," 107.60"," 110.90"," 107.20","         110.60"," 110.30"," 28795021"," 31510.19"
20-Nov-2018," ASHOKLEY"," EQ"," 108.90"," 110.25"," 106.85","         107.60"," 107.65"," 30908911"," 33597.08"
19-Nov-2018," ASHOKLEY"," EQ"," 105.95"," 109.50"," 105.50","         108.95"," 108.80"," 29892053"," 32155.30"
16-Nov-2018," ASHOKLEY"," EQ"," 106.55"," 107.50"," 105.05","         105.60"," 105.55"," 23698703"," 25134.59"
15-Nov-2018," ASHOKLEY"," EQ"," 107.50"," 108.05"," 105.50","         106.25"," 106.10"," 40979357"," 43616.35"
14-Nov-2018," ASHOKLEY"," EQ"," 113.40"," 114.00"," 106.00","         106.60"," 106.50"," 97513684"," 105903.94"
13-Nov-2018," ASHOKLEY"," EQ"," 118.25"," 119.35"," 117.10","         118.75"," 119.00"," 15407719"," 18221.20"
12-Nov-2018," ASHOKLEY"," EQ"," 118.60"," 119.35"," 116.05","         118.40"," 118.30"," 16269886"," 19192.59"
09-Nov-2018," ASHOKLEY"," EQ"," 122.40"," 122.40"," 117.80","         118.20"," 118.25"," 21816053"," 26138.67"
07-Nov-2018," ASHOKLEY"," EQ"," 122.75"," 122.85"," 121.50","         121.95"," 121.85"," 3042907"," 3713.47"
06-Nov-2018," ASHOKLEY"," EQ"," 121.35"," 122.15"," 118.70","         120.90"," 120.90"," 16862260"," 20354.81"
05-Nov-2018," ASHOKLEY"," EQ"," 117.65"," 121.85"," 116.20","         120.95"," 120.70"," 23855608"," 28585.53"
02-Nov-2018," ASHOKLEY"," EQ"," 114.40"," 118.45"," 113.80","         117.70"," 117.70"," 24471836"," 28489.19"
01-Nov-2018," ASHOKLEY"," EQ"," 115.50"," 116.85"," 112.35","         113.00"," 113.35"," 29711234"," 33823.56"
31-Oct-2018," ASHOKLEY"," EQ"," 115.00"," 115.90"," 112.20","         114.40"," 114.70"," 19798678"," 22544.61"
30-Oct-2018," ASHOKLEY"," EQ"," 114.50"," 116.75"," 114.20","         115.00"," 115.00"," 13868396"," 16021.71"
29-Oct-2018," ASHOKLEY"," EQ"," 113.50"," 115.70"," 111.60","         115.00"," 115.25"," 16836664"," 19105.26"
26-Oct-2018," ASHOKLEY"," EQ"," 112.90"," 114.65"," 111.10","         113.00"," 113.15"," 14901621"," 16838.59"
25-Oct-2018," ASHOKLEY"," EQ"," 113.60"," 115.40"," 111.45","         113.20"," 112.85"," 16808400"," 19030.22"
24-Oct-2018," ASHOKLEY"," EQ"," 113.00"," 118.00"," 112.05","         116.95"," 116.80"," 21635405"," 24767.04"
23-Oct-2018," ASHOKLEY"," EQ"," 112.40"," 113.35"," 109.80","         112.00"," 111.45"," 10546934"," 11766.17"
22-Oct-2018," ASHOKLEY"," EQ"," 114.25"," 115.20"," 112.05","         113.40"," 112.80"," 14948095"," 16983.80"
19-Oct-2018," ASHOKLEY"," EQ"," 114.20"," 115.35"," 111.80","         113.00"," 112.50"," 18222537"," 20639.20"
17-Oct-2018," ASHOKLEY"," EQ"," 122.00"," 123.10"," 112.55","         114.70"," 114.30"," 23817952"," 27878.65"
16-Oct-2018," ASHOKLEY"," EQ"," 118.25"," 121.90"," 117.60","         120.60"," 120.55"," 28775165"," 34560.96"
15-Oct-2018," ASHOKLEY"," EQ"," 117.35"," 117.90"," 115.50","         117.25"," 117.05"," 13466169"," 15707.38"
12-Oct-2018," ASHOKLEY"," EQ"," 113.70"," 118.50"," 112.55","         116.25"," 115.80"," 22021483"," 25612.10"
11-Oct-2018," ASHOKLEY"," EQ"," 109.70"," 114.20"," 108.25","         112.05"," 111.80"," 22962929"," 25759.81"
10-Oct-2018," ASHOKLEY"," EQ"," 110.90"," 115.40"," 110.55","         114.55"," 114.55"," 20790100"," 23680.83"
09-Oct-2018," ASHOKLEY"," EQ"," 110.00"," 111.65"," 107.30","         110.40"," 110.85"," 22219546"," 24422.74"
08-Oct-2018," ASHOKLEY"," EQ"," 107.75"," 111.90"," 104.10","         109.50"," 109.15"," 28067992"," 30413.20"
05-Oct-2018," ASHOKLEY"," EQ"," 117.10"," 117.95"," 101.65","         107.75"," 107.75"," 31157884"," 35057.76"
04-Oct-2018," ASHOKLEY"," EQ"," 117.40"," 120.00"," 115.20","         117.10"," 118.05"," 18820134"," 22079.24"
03-Oct-2018," ASHOKLEY"," EQ"," 120.80"," 121.40"," 118.60","         119.00"," 119.15"," 17262790"," 20689.43"
01-Oct-2018," ASHOKLEY"," EQ"," 118.70"," 121.05"," 112.25","         121.00"," 120.15"," 33157247"," 38845.76"
28-Sep-2018," ASHOKLEY"," EQ"," 121.25"," 122.00"," 117.55","         119.05"," 119.10"," 20883121"," 25015.65"
27-Sep-2018," ASHOKLEY"," EQ"," 121.40"," 122.90"," 119.80","         120.80"," 120.40"," 13346245"," 16165.72"
26-Sep-2018," ASHOKLEY"," EQ"," 122.25"," 123.30"," 119.50","         120.55"," 120.65"," 11082330"," 13414.52"
25-Sep-2018," ASHOKLEY"," EQ"," 119.95"," 123.45"," 117.90","         122.35"," 121.90"," 24230423"," 29219.28"
