Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," BALKRISIND"," EQ"," 974.85"," 975.00"," 955.00","         960.00"," 960.40"," 900245"," 8661.51"
29-Nov-2018," BALKRISIND"," EQ"," 967.25"," 972.45"," 955.25","         971.55"," 970.70"," 735238"," 7085.11"
28-Nov-2018," BALKRISIND"," EQ"," 995.00"," 1006.80"," 953.60","         961.25"," 957.75"," 1229491"," 12087.51"
27-Nov-2018," BALKRISIND"," EQ"," 962.00"," 991.45"," 956.45","         990.40"," 989.60"," 937486"," 9183.83"
26-Nov-2018," BALKRISIND"," EQ"," 964.95"," 968.25"," 949.05","         963.80"," 964.05"," 458329"," 4397.64"
22-Nov-2018," BALKRISIND"," EQ"," 956.10"," 969.00"," 952.70","         956.50"," 957.40"," 686062"," 6590.26"
21-Nov-2018," BALKRISIND"," EQ"," 964.95"," 969.75"," 944.25","         951.00"," 951.15"," 987905"," 9419.25"
20-Nov-2018," BALKRISIND"," EQ"," 960.25"," 972.60"," 949.00","         951.10"," 953.40"," 883159"," 8503.93"
19-Nov-2018," BALKRISIND"," EQ"," 956.55"," 968.35"," 948.00","         965.35"," 965.35"," 600487"," 5763.41"
16-Nov-2018," BALKRISIND"," EQ"," 969.90"," 972.95"," 937.40","         957.30"," 954.90"," 845693"," 8091.61"
15-Nov-2018," BALKRISIND"," EQ"," 959.00"," 974.50"," 955.55","         966.00"," 965.35"," 593374"," 5743.84"
14-Nov-2018," BALKRISIND"," EQ"," 962.45"," 974.50"," 955.00","         961.25"," 963.05"," 1611012"," 15554.86"
13-Nov-2018," BALKRISIND"," EQ"," 951.00"," 962.00"," 938.00","         956.25"," 958.80"," 939622"," 8926.20"
12-Nov-2018," BALKRISIND"," EQ"," 932.00"," 963.75"," 932.00","         951.00"," 951.25"," 1574245"," 15015.46"
09-Nov-2018," BALKRISIND"," EQ"," 938.10"," 951.85"," 922.70","         932.00"," 932.50"," 2817407"," 26342.31"
07-Nov-2018," BALKRISIND"," EQ"," 950.00"," 955.55"," 932.40","         938.00"," 938.10"," 687010"," 6456.58"
06-Nov-2018," BALKRISIND"," EQ"," 1033.00"," 1039.00"," 940.00","         942.60"," 943.95"," 5292843"," 51184.51"
05-Nov-2018," BALKRISIND"," EQ"," 1111.00"," 1112.50"," 1053.00","        1065.95"," 1068.85"," 674745"," 7238.57"
02-Nov-2018," BALKRISIND"," EQ"," 1144.95"," 1189.65"," 1105.15","        1108.70"," 1112.80"," 1099918"," 12808.63"
01-Nov-2018," BALKRISIND"," EQ"," 1100.90"," 1154.90"," 1095.00","        1134.00"," 1135.20"," 991979"," 11220.44"
31-Oct-2018," BALKRISIND"," EQ"," 1074.95"," 1104.00"," 1069.00","        1092.00"," 1095.20"," 480876"," 5237.54"
30-Oct-2018," BALKRISIND"," EQ"," 1064.00"," 1114.90"," 1060.85","        1068.10"," 1069.25"," 920161"," 10031.32"
29-Oct-2018," BALKRISIND"," EQ"," 1040.65"," 1077.50"," 1032.00","        1064.00"," 1065.55"," 506050"," 5379.99"
26-Oct-2018," BALKRISIND"," EQ"," 1028.35"," 1062.55"," 1006.55","        1038.00"," 1034.20"," 611671"," 6347.49"
25-Oct-2018," BALKRISIND"," EQ"," 1008.50"," 1047.00"," 1002.15","        1023.80"," 1022.00"," 314395"," 3221.24"
24-Oct-2018," BALKRISIND"," EQ"," 1014.70"," 1031.75"," 1007.05","        1015.95"," 1017.85"," 360768"," 3683.47"
23-Oct-2018," BALKRISIND"," EQ"," 1001.30"," 1019.10"," 991.55","        1005.65"," 1003.15"," 408784"," 4110.92"
22-Oct-2018," BALKRISIND"," EQ"," 1048.40"," 1048.40"," 1002.80","        1011.00"," 1011.30"," 358805"," 3656.38"
19-Oct-2018," BALKRISIND"," EQ"," 1031.05"," 1052.90"," 1019.10","        1041.00"," 1039.45"," 271519"," 2812.43"
17-Oct-2018," BALKRISIND"," EQ"," 1056.25"," 1059.00"," 1025.70","        1029.00"," 1031.05"," 547516"," 5675.92"
16-Oct-2018," BALKRISIND"," EQ"," 1065.75"," 1077.70"," 1040.70","        1044.00"," 1046.65"," 515436"," 5436.03"
15-Oct-2018," BALKRISIND"," EQ"," 1054.75"," 1074.80"," 1041.00","        1060.00"," 1059.95"," 568269"," 6009.84"
12-Oct-2018," BALKRISIND"," EQ"," 1019.25"," 1067.80"," 1019.25","        1049.00"," 1054.75"," 708237"," 7443.62"
11-Oct-2018," BALKRISIND"," EQ"," 999.00"," 1037.20"," 977.00","        1011.00"," 1013.20"," 512535"," 5196.50"
10-Oct-2018," BALKRISIND"," EQ"," 984.20"," 1072.00"," 984.20","        1039.50"," 1041.50"," 929436"," 9657.62"
09-Oct-2018," BALKRISIND"," EQ"," 975.00"," 1004.95"," 972.00","         979.95"," 982.10"," 637268"," 6288.66"
08-Oct-2018," BALKRISIND"," EQ"," 995.20"," 1035.10"," 968.10","         970.00"," 981.40"," 1053671"," 10422.89"
05-Oct-2018," BALKRISIND"," EQ"," 1042.05"," 1054.10"," 994.00","         998.75"," 1002.35"," 809561"," 8281.20"
04-Oct-2018," BALKRISIND"," EQ"," 1024.00"," 1076.45"," 1017.00","        1041.90"," 1046.40"," 698017"," 7339.07"
03-Oct-2018," BALKRISIND"," EQ"," 1084.00"," 1084.00"," 1036.00","        1042.00"," 1052.80"," 842713"," 8897.47"
