Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," GODREJCP"," EQ"," 750.00"," 753.00"," 745.00","         751.20"," 750.35"," 1008042"," 7557.52"
29-Nov-2018," GODREJCP"," EQ"," 749.00"," 755.00"," 728.75","         748.85"," 745.05"," 1230179"," 9161.99"
28-Nov-2018," GODREJCP"," EQ"," 750.00"," 764.00"," 741.05","         742.00"," 745.60"," 1171341"," 8798.52"
27-Nov-2018," GODREJCP"," EQ"," 740.00"," 753.00"," 737.25","         744.15"," 748.30"," 778739"," 5806.33"
26-Nov-2018," GODREJCP"," EQ"," 720.00"," 749.00"," 713.05","         747.50"," 746.70"," 1154088"," 8457.12"
22-Nov-2018," GODREJCP"," EQ"," 701.60"," 726.75"," 701.05","         716.00"," 717.30"," 627062"," 4511.47"
21-Nov-2018," GODREJCP"," EQ"," 708.00"," 711.60"," 697.20","         708.70"," 708.70"," 542315"," 3820.12"
20-Nov-2018," GODREJCP"," EQ"," 728.35"," 728.35"," 705.10","         707.00"," 708.20"," 478063"," 3421.56"
19-Nov-2018," GODREJCP"," EQ"," 730.00"," 730.55"," 710.35","         728.00"," 728.35"," 596700"," 4309.40"
16-Nov-2018," GODREJCP"," EQ"," 718.00"," 727.50"," 711.00","         721.75"," 723.40"," 785673"," 5664.98"
15-Nov-2018," GODREJCP"," EQ"," 715.00"," 725.50"," 703.30","         717.00"," 721.50"," 637161"," 4578.40"
14-Nov-2018," GODREJCP"," EQ"," 683.25"," 716.95"," 683.25","         713.00"," 712.75"," 1063227"," 7519.33"
13-Nov-2018," GODREJCP"," EQ"," 693.00"," 693.00"," 670.20","         684.80"," 683.10"," 1611367"," 10945.12"
12-Nov-2018," GODREJCP"," EQ"," 700.00"," 703.80"," 689.40","         693.35"," 692.90"," 530771"," 3697.42"
09-Nov-2018," GODREJCP"," EQ"," 707.80"," 713.00"," 693.00","         694.90"," 694.85"," 1222237"," 8537.42"
07-Nov-2018," GODREJCP"," EQ"," 710.00"," 711.10"," 702.75","         705.00"," 705.40"," 64680"," 456.65"
06-Nov-2018," GODREJCP"," EQ"," 712.00"," 713.90"," 685.15","         696.95"," 699.15"," 1312473"," 9142.62"
05-Nov-2018," GODREJCP"," EQ"," 716.00"," 716.00"," 698.00","         710.95"," 708.45"," 1173900"," 8278.70"
02-Nov-2018," GODREJCP"," EQ"," 709.85"," 748.85"," 695.25","         712.00"," 714.45"," 2303337"," 16549.70"
01-Nov-2018," GODREJCP"," EQ"," 727.65"," 740.00"," 701.00","         703.05"," 705.45"," 1431738"," 10183.94"
31-Oct-2018," GODREJCP"," EQ"," 714.00"," 727.80"," 704.00","         725.00"," 724.85"," 622000"," 4461.34"
30-Oct-2018," GODREJCP"," EQ"," 716.75"," 719.00"," 701.70","         714.15"," 713.85"," 496211"," 3522.91"
29-Oct-2018," GODREJCP"," EQ"," 713.00"," 721.00"," 695.10","         712.05"," 717.35"," 389295"," 2755.68"
26-Oct-2018," GODREJCP"," EQ"," 701.80"," 716.45"," 684.00","         713.90"," 713.85"," 473903"," 3321.01"
25-Oct-2018," GODREJCP"," EQ"," 720.00"," 730.80"," 687.15","         704.20"," 701.75"," 1682499"," 11809.21"
24-Oct-2018," GODREJCP"," EQ"," 738.20"," 746.00"," 722.10","         738.25"," 739.75"," 883615"," 6505.03"
23-Oct-2018," GODREJCP"," EQ"," 746.10"," 748.45"," 730.20","         740.00"," 743.00"," 1153679"," 8551.52"
22-Oct-2018," GODREJCP"," EQ"," 746.85"," 755.00"," 730.05","         752.20"," 748.05"," 1423662"," 10587.38"
19-Oct-2018," GODREJCP"," EQ"," 735.00"," 750.95"," 715.20","         750.50"," 742.85"," 792421"," 5802.65"
17-Oct-2018," GODREJCP"," EQ"," 759.90"," 762.00"," 731.00","         738.00"," 734.30"," 917359"," 6847.51"
16-Oct-2018," GODREJCP"," EQ"," 725.15"," 756.20"," 725.15","         756.20"," 752.05"," 1139203"," 8486.94"
15-Oct-2018," GODREJCP"," EQ"," 727.95"," 736.50"," 709.30","         734.45"," 729.95"," 797665"," 5787.19"
12-Oct-2018," GODREJCP"," EQ"," 733.00"," 739.00"," 706.10","         715.95"," 716.35"," 927076"," 6658.40"
11-Oct-2018," GODREJCP"," EQ"," 693.60"," 736.20"," 688.20","         728.30"," 727.95"," 1085121"," 7721.67"
10-Oct-2018," GODREJCP"," EQ"," 671.00"," 732.60"," 660.65","         720.00"," 718.60"," 1346708"," 9508.94"
09-Oct-2018," GODREJCP"," EQ"," 701.45"," 705.00"," 643.75","         667.85"," 669.10"," 2686369"," 17835.88"
08-Oct-2018," GODREJCP"," EQ"," 713.90"," 715.00"," 681.50","         700.00"," 698.15"," 1342917"," 9346.36"
05-Oct-2018," GODREJCP"," EQ"," 714.00"," 714.00"," 680.00","         704.75"," 701.20"," 2406165"," 16755.65"
04-Oct-2018," GODREJCP"," EQ"," 759.95"," 769.50"," 715.00","         718.00"," 720.60"," 1443003"," 10647.68"
03-Oct-2018," GODREJCP"," EQ"," 802.45"," 802.45"," 760.00","         766.00"," 765.45"," 930245"," 7172.55"
01-Oct-2018," GODREJCP"," EQ"," 774.00"," 803.20"," 772.15","         801.95"," 796.75"," 860202"," 6770.52"
28-Sep-2018," GODREJCP"," EQ"," 785.40"," 789.00"," 760.00","         774.00"," 768.65"," 907055"," 7023.99"
27-Sep-2018," GODREJCP"," EQ"," 775.15"," 793.85"," 761.85","         789.10"," 783.45"," 1726718"," 13434.20"
26-Sep-2018," GODREJCP"," EQ"," 791.25"," 797.60"," 764.00","         775.00"," 772.40"," 775754"," 6023.57"
25-Sep-2018," GODREJCP"," EQ"," 798.00"," 798.05"," 770.00","         791.00"," 782.40"," 867203"," 6795.76"
24-Sep-2018," GODREJCP"," EQ"," 830.00"," 830.05"," 775.60","         791.40"," 789.55"," 860421"," 6815.43"
21-Sep-2018," GODREJCP"," EQ"," 812.80"," 839.65"," 738.75","         820.00"," 819.45"," 1408706"," 11424.17"
19-Sep-2018," GODREJCP"," EQ"," 860.30"," 862.95"," 812.20","         822.00"," 820.80"," 1129212"," 9347.09"
18-Sep-2018," GODREJCP"," EQ"," 853.45"," 877.50"," 850.00","         856.30"," 858.80"," 747719"," 6493.66"
17-Sep-2018," GODREJCP"," EQ"," 856.00"," 861.35"," 840.20","         852.90"," 853.75"," 445803"," 3805.85"
14-Sep-2018," GODREJCP"," EQ"," 877.90"," 882.00"," 856.20","         863.90"," 864.35"," 839172"," 7309.41"
12-Sep-2018," GODREJCP"," EQ"," 832.20"," 870.95"," 832.20","         866.80"," 865.35"," 1107493"," 9489.08"
11-Sep-2018," GODREJCP"," EQ"," 1308.50"," 1308.50"," 1240.05","        1249.00"," 1248.25"," 1464121"," 18422.65"
10-Sep-2018," GODREJCP"," EQ"," 1334.50"," 1354.35"," 1295.00","        1298.00"," 1298.10"," 803716"," 10562.36"
07-Sep-2018," GODREJCP"," EQ"," 1315.00"," 1354.00"," 1292.00","        1352.00"," 1341.20"," 851533"," 11255.43"
06-Sep-2018," GODREJCP"," EQ"," 1347.05"," 1354.90"," 1297.40","        1314.00"," 1312.20"," 1495465"," 19626.87"
