Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," HCLTECH"," EQ"," 1018.00"," 1026.30"," 1004.25","        1015.10"," 1015.00"," 2109694"," 21456.18"
29-Nov-2018," HCLTECH"," EQ"," 1043.30"," 1045.35"," 1008.50","        1017.00"," 1013.45"," 1630256"," 16629.11"
28-Nov-2018," HCLTECH"," EQ"," 1023.20"," 1047.75"," 1012.35","        1039.50"," 1043.10"," 1230287"," 12738.68"
27-Nov-2018," HCLTECH"," EQ"," 998.70"," 1029.00"," 993.00","        1021.70"," 1023.15"," 2051509"," 20776.86"
26-Nov-2018," HCLTECH"," EQ"," 984.50"," 1005.90"," 963.00","         997.05"," 1000.50"," 2379281"," 23333.27"
22-Nov-2018," HCLTECH"," EQ"," 988.00"," 1002.00"," 975.40","         979.05"," 979.05"," 1564940"," 15532.04"
21-Nov-2018," HCLTECH"," EQ"," 1003.05"," 1014.00"," 979.55","         984.35"," 985.15"," 1251532"," 12350.83"
20-Nov-2018," HCLTECH"," EQ"," 1035.00"," 1035.00"," 1003.30","        1011.65"," 1008.95"," 1314282"," 13298.38"
19-Nov-2018," HCLTECH"," EQ"," 1022.20"," 1042.80"," 1014.25","        1040.00"," 1040.10"," 2090035"," 21433.57"
16-Nov-2018," HCLTECH"," EQ"," 997.00"," 1037.80"," 993.75","        1022.00"," 1022.20"," 3349117"," 34037.69"
15-Nov-2018," HCLTECH"," EQ"," 999.90"," 1029.00"," 981.80","         988.65"," 988.75"," 1791153"," 17990.32"
14-Nov-2018," HCLTECH"," EQ"," 1031.00"," 1031.40"," 963.00","         997.00"," 997.10"," 1516816"," 15169.11"
13-Nov-2018," HCLTECH"," EQ"," 1039.85"," 1054.85"," 1029.35","        1031.00"," 1033.20"," 1368737"," 14215.55"
12-Nov-2018," HCLTECH"," EQ"," 1032.45"," 1059.00"," 1032.05","        1039.05"," 1036.80"," 2391227"," 25058.16"
09-Nov-2018," HCLTECH"," EQ"," 1043.00"," 1047.00"," 1013.50","        1028.05"," 1027.90"," 3671783"," 37896.19"
07-Nov-2018," HCLTECH"," EQ"," 1029.00"," 1034.85"," 1026.75","        1033.00"," 1031.55"," 69627"," 718.00"
06-Nov-2018," HCLTECH"," EQ"," 1022.75"," 1042.00"," 1013.60","        1022.20"," 1028.90"," 1460942"," 15015.03"
05-Nov-2018," HCLTECH"," EQ"," 1005.50"," 1024.15"," 1003.80","        1021.50"," 1020.75"," 969464"," 9867.82"
02-Nov-2018," HCLTECH"," EQ"," 1016.00"," 1029.50"," 995.15","        1004.30"," 1004.60"," 2787603"," 28100.76"
01-Nov-2018," HCLTECH"," EQ"," 1055.00"," 1057.45"," 1003.50","        1015.50"," 1008.90"," 1973035"," 20091.29"
31-Oct-2018," HCLTECH"," EQ"," 1005.30"," 1065.70"," 1002.00","        1062.00"," 1055.60"," 3291114"," 34091.63"
30-Oct-2018," HCLTECH"," EQ"," 987.30"," 1016.95"," 976.70","        1006.35"," 1004.85"," 3060534"," 30661.60"
29-Oct-2018," HCLTECH"," EQ"," 965.20"," 991.95"," 953.75","         986.20"," 985.65"," 1393040"," 13564.83"
26-Oct-2018," HCLTECH"," EQ"," 999.95"," 999.95"," 962.00","         967.00"," 966.60"," 1807878"," 17604.22"
25-Oct-2018," HCLTECH"," EQ"," 978.80"," 1011.45"," 968.00","        1003.00"," 1004.85"," 3088129"," 30670.51"
24-Oct-2018," HCLTECH"," EQ"," 975.00"," 990.55"," 945.80","         990.00"," 980.70"," 4221491"," 40975.93"
23-Oct-2018," HCLTECH"," EQ"," 970.00"," 983.60"," 947.60","         951.65"," 951.55"," 1474481"," 14266.39"
22-Oct-2018," HCLTECH"," EQ"," 964.00"," 987.90"," 957.15","         973.80"," 980.05"," 1887054"," 18475.87"
19-Oct-2018," HCLTECH"," EQ"," 1016.00"," 1019.40"," 953.30","         957.00"," 958.50"," 3434796"," 33473.60"
17-Oct-2018," HCLTECH"," EQ"," 1007.00"," 1036.00"," 1007.00","        1022.00"," 1024.25"," 1626985"," 16698.42"
16-Oct-2018," HCLTECH"," EQ"," 1000.00"," 1012.50"," 989.05","        1001.00"," 1003.40"," 1501610"," 15006.99"
15-Oct-2018," HCLTECH"," EQ"," 980.00"," 1006.15"," 980.00","        1001.80"," 1002.95"," 1807454"," 18014.20"
12-Oct-2018," HCLTECH"," EQ"," 1003.30"," 1007.00"," 974.50","         982.25"," 985.15"," 2325874"," 22935.25"
11-Oct-2018," HCLTECH"," EQ"," 1025.50"," 1025.50"," 998.00","        1012.90"," 1009.00"," 3133288"," 31622.93"
10-Oct-2018," HCLTECH"," EQ"," 1059.00"," 1063.05"," 1038.55","        1050.85"," 1051.80"," 2261839"," 23705.94"
09-Oct-2018," HCLTECH"," EQ"," 1066.50"," 1079.05"," 1043.45","        1067.20"," 1068.40"," 1347262"," 14266.33"
08-Oct-2018," HCLTECH"," EQ"," 1070.00"," 1084.55"," 1048.00","        1073.65"," 1072.10"," 1155915"," 12350.16"
05-Oct-2018," HCLTECH"," EQ"," 1072.00"," 1098.00"," 1070.10","        1080.00"," 1084.00"," 1447957"," 15747.58"
04-Oct-2018," HCLTECH"," EQ"," 1084.85"," 1092.85"," 1061.00","        1081.10"," 1077.10"," 1945559"," 20916.15"
03-Oct-2018," HCLTECH"," EQ"," 1099.90"," 1101.70"," 1073.80","        1085.35"," 1091.30"," 2365360"," 25698.16"
01-Oct-2018," HCLTECH"," EQ"," 1085.20"," 1101.00"," 1081.00","        1095.00"," 1098.40"," 1703300"," 18664.71"
28-Sep-2018," HCLTECH"," EQ"," 1092.10"," 1099.75"," 1085.50","        1085.95"," 1087.80"," 2222543"," 24236.57"
27-Sep-2018," HCLTECH"," EQ"," 1093.95"," 1104.45"," 1088.50","        1090.00"," 1092.20"," 2865532"," 31386.30"
26-Sep-2018," HCLTECH"," EQ"," 1120.10"," 1120.85"," 1085.15","        1090.35"," 1090.15"," 1435197"," 15686.64"
25-Sep-2018," HCLTECH"," EQ"," 1102.00"," 1125.05"," 1094.30","        1118.00"," 1116.35"," 2832272"," 31563.25"
24-Sep-2018," HCLTECH"," EQ"," 1085.90"," 1106.00"," 1080.55","        1095.00"," 1096.30"," 2216289"," 24337.01"
21-Sep-2018," HCLTECH"," EQ"," 1091.00"," 1092.00"," 1078.55","        1089.20"," 1084.90"," 3297815"," 35755.44"
19-Sep-2018," HCLTECH"," EQ"," 1083.00"," 1098.45"," 1081.10","        1087.15"," 1087.30"," 2219906"," 24175.04"
18-Sep-2018," HCLTECH"," EQ"," 1080.00"," 1091.00"," 1078.40","        1084.95"," 1083.90"," 1372763"," 14902.43"
17-Sep-2018," HCLTECH"," EQ"," 1070.05"," 1084.40"," 1070.05","        1078.15"," 1078.40"," 1509056"," 16272.51"
14-Sep-2018," HCLTECH"," EQ"," 1084.00"," 1088.45"," 1065.20","        1070.30"," 1070.70"," 3645287"," 39128.87"
12-Sep-2018," HCLTECH"," EQ"," 1092.00"," 1099.00"," 1082.10","        1084.00"," 1086.80"," 2069567"," 22596.85"
11-Sep-2018," HCLTECH"," EQ"," 1090.00"," 1099.00"," 1082.00","        1082.50"," 1085.10"," 4236210"," 46247.68"
10-Sep-2018," HCLTECH"," EQ"," 1077.00"," 1096.90"," 1077.00","        1090.45"," 1088.70"," 4102539"," 44678.60"
07-Sep-2018," HCLTECH"," EQ"," 1086.95"," 1086.95"," 1065.35","        1072.50"," 1073.95"," 2189939"," 23504.27"
06-Sep-2018," HCLTECH"," EQ"," 1075.00"," 1089.80"," 1065.40","        1088.80"," 1088.80"," 2995905"," 32422.30"
05-Sep-2018," HCLTECH"," EQ"," 1075.80"," 1087.00"," 1068.00","        1077.00"," 1078.95"," 2850556"," 30752.11"
04-Sep-2018," HCLTECH"," EQ"," 1051.15"," 1079.00"," 1051.00","        1076.00"," 1076.35"," 2792371"," 29883.07"
03-Sep-2018," HCLTECH"," EQ"," 1053.00"," 1061.00"," 1044.60","        1048.60"," 1049.15"," 2227153"," 23431.61"



