Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," IDFC"," EQ"," 40.80"," 41.15"," 39.70","          41.10"," 40.95"," 2863847"," 1159.57"
29-Nov-2018," IDFC"," EQ"," 41.45"," 41.45"," 40.05","          40.35"," 40.50"," 3633795"," 1473.12"
28-Nov-2018," IDFC"," EQ"," 41.50"," 42.30"," 40.70","          41.15"," 41.35"," 5850107"," 2425.63"
27-Nov-2018," IDFC"," EQ"," 40.35"," 41.40"," 40.35","          41.35"," 41.25"," 3209127"," 1317.63"
26-Nov-2018," IDFC"," EQ"," 40.50"," 41.25"," 39.80","          40.35"," 40.50"," 4306661"," 1746.17"
22-Nov-2018," IDFC"," EQ"," 39.00"," 41.25"," 38.10","          39.90"," 40.05"," 10782750"," 4309.43"
21-Nov-2018," IDFC"," EQ"," 38.65"," 39.00"," 38.00","          38.85"," 38.80"," 1085761"," 418.78"
20-Nov-2018," IDFC"," EQ"," 39.00"," 39.10"," 38.10","          38.20"," 38.20"," 1033185"," 398.72"
19-Nov-2018," IDFC"," EQ"," 39.10"," 39.70"," 38.55","          39.20"," 39.15"," 1553892"," 610.12"
16-Nov-2018," IDFC"," EQ"," 39.00"," 39.50"," 38.50","          39.00"," 39.15"," 1836070"," 718.56"
15-Nov-2018," IDFC"," EQ"," 38.30"," 39.15"," 37.55","          38.80"," 38.90"," 1155662"," 444.16"
14-Nov-2018," IDFC"," EQ"," 38.05"," 38.85"," 37.75","          38.30"," 38.50"," 1611821"," 617.08"
13-Nov-2018," IDFC"," EQ"," 38.30"," 38.30"," 37.35","          37.90"," 37.90"," 1124075"," 424.74"
12-Nov-2018," IDFC"," EQ"," 38.75"," 39.00"," 38.05","          38.15"," 38.30"," 1296211"," 498.24"
09-Nov-2018," IDFC"," EQ"," 37.70"," 39.40"," 37.35","          38.95"," 39.15"," 2212706"," 853.54"
07-Nov-2018," IDFC"," EQ"," 38.25"," 38.25"," 37.45","          37.80"," 37.75"," 482989"," 182.25"
06-Nov-2018," IDFC"," EQ"," 38.30"," 38.50"," 37.25","          37.55"," 37.65"," 1832119"," 693.66"
05-Nov-2018," IDFC"," EQ"," 38.00"," 38.40"," 37.60","          38.20"," 38.20"," 6169932"," 2347.03"
02-Nov-2018," IDFC"," EQ"," 37.00"," 38.55"," 36.95","          38.25"," 38.00"," 3773002"," 1428.11"
01-Nov-2018," IDFC"," EQ"," 36.95"," 37.05"," 36.25","          36.85"," 36.75"," 2923844"," 1070.78"
31-Oct-2018," IDFC"," EQ"," 36.00"," 36.95"," 35.00","          36.75"," 36.80"," 4420988"," 1587.79"
30-Oct-2018," IDFC"," EQ"," 36.00"," 36.80"," 35.80","          36.30"," 36.05"," 3537533"," 1282.22"
29-Oct-2018," IDFC"," EQ"," 35.50"," 36.20"," 34.65","          36.15"," 35.95"," 2983667"," 1059.87"
26-Oct-2018," IDFC"," EQ"," 35.30"," 35.60"," 34.25","          35.30"," 35.35"," 2381818"," 834.91"
25-Oct-2018," IDFC"," EQ"," 35.50"," 36.45"," 35.10","          35.30"," 35.30"," 2527707"," 901.97"
24-Oct-2018," IDFC"," EQ"," 36.25"," 36.75"," 35.75","          36.35"," 36.20"," 3128717"," 1133.68"
23-Oct-2018," IDFC"," EQ"," 36.70"," 37.40"," 35.35","          35.95"," 35.95"," 3576666"," 1293.85"
22-Oct-2018," IDFC"," EQ"," 37.45"," 37.80"," 36.20","          36.85"," 36.95"," 3460668"," 1281.50"
19-Oct-2018," IDFC"," EQ"," 37.10"," 37.85"," 36.60","          37.25"," 37.20"," 2965719"," 1103.55"
17-Oct-2018," IDFC"," EQ"," 40.00"," 40.00"," 37.10","          37.45"," 37.65"," 3085392"," 1184.65"
16-Oct-2018," IDFC"," EQ"," 39.00"," 39.50"," 38.65","          39.50"," 39.30"," 1622465"," 635.26"
15-Oct-2018," IDFC"," EQ"," 39.90"," 39.90"," 38.00","          39.20"," 38.80"," 3147904"," 1215.30"
12-Oct-2018," IDFC"," EQ"," 37.65"," 39.00"," 37.65","          38.90"," 38.75"," 2127108"," 820.50"
11-Oct-2018," IDFC"," EQ"," 39.00"," 39.00"," 36.80","          37.25"," 37.30"," 3828446"," 1442.11"
10-Oct-2018," IDFC"," EQ"," 36.60"," 39.70"," 36.60","          39.50"," 39.20"," 6253178"," 2432.57"
09-Oct-2018," IDFC"," EQ"," 37.30"," 37.70"," 35.55","          36.90"," 36.70"," 5174363"," 1898.97"
08-Oct-2018," IDFC"," EQ"," 38.20"," 38.95"," 36.35","          37.20"," 37.15"," 4759034"," 1793.01"
05-Oct-2018," IDFC"," EQ"," 39.70"," 40.30"," 37.80","          37.85"," 38.45"," 3519610"," 1381.66"
04-Oct-2018," IDFC"," EQ"," 40.00"," 40.60"," 38.90","          39.50"," 39.95"," 5523302"," 2194.62"
03-Oct-2018," IDFC"," EQ"," 40.75"," 42.25"," 40.15","          40.65"," 40.65"," 4684249"," 1925.05"
01-Oct-2018," IDFC"," EQ"," 39.50"," 41.20"," 38.35","          40.60"," 40.75"," 4180343"," 1664.59"
28-Sep-2018," IDFC"," EQ"," 40.50"," 41.40"," 39.10","          39.60"," 39.75"," 6663168"," 2669.02"
27-Sep-2018," IDFC"," EQ"," 42.50"," 42.60"," 39.80","          40.30"," 40.20"," 8895419"," 3628.63"
26-Sep-2018," IDFC"," EQ"," 42.00"," 42.80"," 41.20","          42.30"," 42.40"," 2392382"," 1011.09"
25-Sep-2018," IDFC"," EQ"," 42.90"," 43.60"," 40.65","          41.75"," 41.85"," 6064001"," 2547.79"
24-Sep-2018," IDFC"," EQ"," 44.50"," 44.90"," 42.70","          43.00"," 43.00"," 5078440"," 2204.15"
21-Sep-2018," IDFC"," EQ"," 48.05"," 48.40"," 40.80","          44.50"," 44.50"," 12738808"," 5714.96"
19-Sep-2018," IDFC"," EQ"," 49.30"," 49.40"," 47.60","          47.90"," 48.00"," 3163265"," 1524.62"
18-Sep-2018," IDFC"," EQ"," 50.15"," 50.15"," 48.75","          48.85"," 49.05"," 2618602"," 1291.19"
17-Sep-2018," IDFC"," EQ"," 50.80"," 50.90"," 49.80","          49.95"," 49.95"," 3017175"," 1512.82"
14-Sep-2018," IDFC"," EQ"," 50.45"," 51.35"," 49.90","          51.05"," 50.90"," 5081577"," 2552.74"
12-Sep-2018," IDFC"," EQ"," 49.40"," 50.05"," 48.55","          49.60"," 49.65"," 4069834"," 2012.94"
11-Sep-2018," IDFC"," EQ"," 49.60"," 50.35"," 49.00","          49.10"," 49.20"," 3005719"," 1491.75"
10-Sep-2018," IDFC"," EQ"," 50.55"," 50.85"," 49.55","          49.95"," 49.90"," 2399604"," 1201.02"
07-Sep-2018," IDFC"," EQ"," 49.95"," 50.85"," 49.35","          50.60"," 50.55"," 1850734"," 928.42"
06-Sep-2018," IDFC"," EQ"," 50.05"," 50.30"," 49.00","          49.75"," 49.95"," 2460060"," 1222.48"
05-Sep-2018," IDFC"," EQ"," 49.55"," 50.50"," 48.85","          49.90"," 49.90"," 2496920"," 1239.71"
04-Sep-2018," IDFC"," EQ"," 52.20"," 52.35"," 49.75","          49.95"," 50.00"," 4125682"," 2087.15"
03-Sep-2018," IDFC"," EQ"," 52.65"," 53.30"," 52.00","          52.30"," 52.20"," 1943501"," 1024.83"



