Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," MINDTREE"," EQ"," 855.00"," 884.00"," 848.00","         880.00"," 876.65"," 1519665"," 13179.15"
29-Nov-2018," MINDTREE"," EQ"," 876.00"," 877.95"," 845.20","         852.00"," 850.10"," 2045062"," 17514.74"
28-Nov-2018," MINDTREE"," EQ"," 827.00"," 881.10"," 822.35","         871.00"," 874.75"," 2305804"," 19686.46"
27-Nov-2018," MINDTREE"," EQ"," 842.00"," 848.00"," 820.00","         824.00"," 824.10"," 1220238"," 10099.84"
26-Nov-2018," MINDTREE"," EQ"," 830.00"," 843.00"," 819.00","         840.25"," 837.10"," 933348"," 7757.73"
22-Nov-2018," MINDTREE"," EQ"," 830.40"," 854.70"," 823.00","         830.00"," 828.85"," 1466895"," 12348.30"
21-Nov-2018," MINDTREE"," EQ"," 838.00"," 838.05"," 805.10","         836.00"," 830.40"," 1895611"," 15493.34"
20-Nov-2018," MINDTREE"," EQ"," 848.70"," 854.20"," 835.00","         835.50"," 836.50"," 1043524"," 8777.55"
19-Nov-2018," MINDTREE"," EQ"," 846.00"," 853.00"," 839.15","         844.90"," 848.70"," 610680"," 5175.81"
16-Nov-2018," MINDTREE"," EQ"," 840.00"," 854.50"," 831.00","         837.00"," 837.40"," 960984"," 8067.68"
15-Nov-2018," MINDTREE"," EQ"," 835.05"," 851.45"," 832.60","         839.85"," 840.40"," 635572"," 5350.07"
14-Nov-2018," MINDTREE"," EQ"," 844.95"," 851.60"," 831.90","         840.00"," 846.75"," 800201"," 6727.78"
13-Nov-2018," MINDTREE"," EQ"," 861.50"," 868.00"," 837.00","         845.00"," 843.75"," 651556"," 5535.51"
12-Nov-2018," MINDTREE"," EQ"," 859.00"," 869.80"," 846.10","         862.90"," 863.40"," 993623"," 8534.15"
09-Nov-2018," MINDTREE"," EQ"," 830.00"," 867.00"," 830.00","         853.85"," 854.30"," 1432318"," 12236.00"
07-Nov-2018," MINDTREE"," EQ"," 839.00"," 840.70"," 830.00","         835.00"," 836.60"," 98291"," 822.91"
06-Nov-2018," MINDTREE"," EQ"," 824.95"," 841.40"," 819.50","         831.60"," 834.60"," 1291465"," 10750.28"
05-Nov-2018," MINDTREE"," EQ"," 790.70"," 825.50"," 787.10","         823.50"," 821.85"," 1363257"," 11096.03"
02-Nov-2018," MINDTREE"," EQ"," 838.00"," 844.80"," 800.10","         803.50"," 803.95"," 1562276"," 12896.96"
01-Nov-2018," MINDTREE"," EQ"," 861.00"," 861.00"," 821.15","         830.55"," 827.10"," 1200947"," 10021.90"
31-Oct-2018," MINDTREE"," EQ"," 794.00"," 859.90"," 793.00","         855.00"," 850.85"," 2718167"," 22573.75"
30-Oct-2018," MINDTREE"," EQ"," 778.00"," 792.25"," 768.05","         785.15"," 786.15"," 2220031"," 17369.16"
29-Oct-2018," MINDTREE"," EQ"," 780.00"," 785.45"," 760.10","         777.70"," 777.70"," 1245731"," 9678.47"
26-Oct-2018," MINDTREE"," EQ"," 787.95"," 787.95"," 752.15","         773.05"," 770.95"," 1332529"," 10214.01"
25-Oct-2018," MINDTREE"," EQ"," 782.00"," 797.90"," 766.00","         779.00"," 779.70"," 1910519"," 14910.45"
24-Oct-2018," MINDTREE"," EQ"," 815.00"," 823.80"," 787.15","         802.45"," 805.50"," 2223910"," 17810.30"
23-Oct-2018," MINDTREE"," EQ"," 810.00"," 820.00"," 795.65","         810.95"," 809.40"," 2052512"," 16599.85"
22-Oct-2018," MINDTREE"," EQ"," 819.25"," 827.20"," 780.00","         806.50"," 802.60"," 5198199"," 41302.59"
19-Oct-2018," MINDTREE"," EQ"," 925.00"," 927.80"," 801.10","         819.30"," 813.90"," 8893142"," 74244.41"
17-Oct-2018," MINDTREE"," EQ"," 999.95"," 999.95"," 952.25","         981.30"," 977.95"," 1512677"," 14713.04"
16-Oct-2018," MINDTREE"," EQ"," 986.00"," 1001.85"," 973.60","         980.60"," 984.80"," 919589"," 9107.88"
15-Oct-2018," MINDTREE"," EQ"," 962.95"," 989.80"," 956.00","         982.00"," 980.70"," 907803"," 8865.63"
12-Oct-2018," MINDTREE"," EQ"," 985.00"," 1000.00"," 941.20","         958.00"," 953.25"," 1323286"," 12807.52"
11-Oct-2018," MINDTREE"," EQ"," 935.05"," 1011.70"," 935.05","         978.00"," 980.55"," 1112338"," 10937.39"
10-Oct-2018," MINDTREE"," EQ"," 996.00"," 1029.10"," 985.00","        1007.00"," 1005.05"," 771715"," 7770.69"
