Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," PFC"," EQ"," 92.60"," 94.30"," 86.00","          86.25"," 86.45"," 19234712"," 17087.47"
29-Nov-2018," PFC"," EQ"," 93.00"," 95.75"," 89.60","          92.35"," 91.95"," 27146305"," 25084.83"
28-Nov-2018," PFC"," EQ"," 101.55"," 102.15"," 90.85","          92.00"," 92.35"," 19895046"," 18818.32"
27-Nov-2018," PFC"," EQ"," 101.40"," 103.70"," 100.10","         101.60"," 101.80"," 7822175"," 7972.02"
26-Nov-2018," PFC"," EQ"," 99.35"," 102.95"," 99.35","         101.80"," 101.65"," 9717640"," 9868.65"
22-Nov-2018," PFC"," EQ"," 104.30"," 104.40"," 98.85","          99.40"," 99.35"," 7764812"," 7825.90"
21-Nov-2018," PFC"," EQ"," 102.00"," 105.50"," 101.50","         104.30"," 104.35"," 7946289"," 8253.73"
20-Nov-2018," PFC"," EQ"," 101.60"," 106.10"," 101.50","         102.50"," 102.70"," 11936029"," 12393.14"
19-Nov-2018," PFC"," EQ"," 101.00"," 103.55"," 98.15","         102.75"," 102.35"," 12756615"," 12942.68"
16-Nov-2018," PFC"," EQ"," 108.00"," 108.15"," 97.85","         101.00"," 101.35"," 24623461"," 25577.14"
15-Nov-2018," PFC"," EQ"," 103.75"," 108.55"," 102.60","         107.30"," 107.85"," 11736829"," 12470.63"
14-Nov-2018," PFC"," EQ"," 102.50"," 104.65"," 102.20","         103.65"," 103.95"," 6005262"," 6210.02"
13-Nov-2018," PFC"," EQ"," 100.00"," 103.65"," 98.90","         102.50"," 102.60"," 11399996"," 11508.81"
12-Nov-2018," PFC"," EQ"," 103.45"," 104.25"," 100.25","         100.40"," 100.60"," 7773442"," 7894.74"
09-Nov-2018," PFC"," EQ"," 98.45"," 104.20"," 98.00","         103.30"," 103.65"," 14160471"," 14432.09"
