Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," PIDILITIND"," EQ"," 1182.00"," 1185.10"," 1155.20","        1165.00"," 1163.30"," 1278530"," 14895.43"
29-Nov-2018," PIDILITIND"," EQ"," 1160.10"," 1194.80"," 1128.10","        1180.20"," 1185.10"," 1108481"," 12863.73"
28-Nov-2018," PIDILITIND"," EQ"," 1165.10"," 1186.30"," 1155.00","        1160.05"," 1159.50"," 573934"," 6727.78"
27-Nov-2018," PIDILITIND"," EQ"," 1157.00"," 1180.50"," 1146.95","        1169.50"," 1170.15"," 455108"," 5323.20"
26-Nov-2018," PIDILITIND"," EQ"," 1160.60"," 1168.70"," 1145.10","        1159.00"," 1157.05"," 578315"," 6670.47"
22-Nov-2018," PIDILITIND"," EQ"," 1147.10"," 1164.70"," 1146.25","        1154.90"," 1158.25"," 438299"," 5075.46"
21-Nov-2018," PIDILITIND"," EQ"," 1128.55"," 1159.90"," 1128.55","        1155.30"," 1155.40"," 696374"," 7993.06"
20-Nov-2018," PIDILITIND"," EQ"," 1120.00"," 1133.00"," 1115.00","        1121.25"," 1128.10"," 456389"," 5138.83"
19-Nov-2018," PIDILITIND"," EQ"," 1122.00"," 1132.70"," 1110.60","        1123.20"," 1122.60"," 452680"," 5073.72"
16-Nov-2018," PIDILITIND"," EQ"," 1109.00"," 1122.25"," 1101.05","        1118.00"," 1118.90"," 396935"," 4424.87"
15-Nov-2018," PIDILITIND"," EQ"," 1088.70"," 1114.00"," 1076.95","        1106.55"," 1108.25"," 486110"," 5363.40"
14-Nov-2018," PIDILITIND"," EQ"," 1079.70"," 1107.00"," 1065.05","        1087.35"," 1096.35"," 873906"," 9566.88"
13-Nov-2018," PIDILITIND"," EQ"," 1029.00"," 1068.00"," 1020.00","        1061.75"," 1063.25"," 536410"," 5625.31"
12-Nov-2018," PIDILITIND"," EQ"," 1046.95"," 1049.55"," 1015.00","        1025.10"," 1026.85"," 319349"," 3294.07"
09-Nov-2018," PIDILITIND"," EQ"," 1014.00"," 1046.70"," 1000.05","        1041.35"," 1042.00"," 463676"," 4783.33"
07-Nov-2018," PIDILITIND"," EQ"," 1000.00"," 1015.95"," 997.00","        1011.50"," 1011.65"," 120829"," 1219.14"
06-Nov-2018," PIDILITIND"," EQ"," 1034.95"," 1034.95"," 990.05","         992.35"," 996.45"," 524459"," 5280.61"
05-Nov-2018," PIDILITIND"," EQ"," 989.70"," 1048.70"," 978.10","        1030.00"," 1031.90"," 921453"," 9393.31"
02-Nov-2018," PIDILITIND"," EQ"," 990.00"," 1005.00"," 979.45","         981.90"," 989.30"," 635265"," 6307.42"
01-Nov-2018," PIDILITIND"," EQ"," 963.80"," 989.85"," 955.00","         980.00"," 977.35"," 662807"," 6449.01"
31-Oct-2018," PIDILITIND"," EQ"," 938.00"," 963.90"," 915.60","         960.00"," 958.85"," 936422"," 8785.06"
30-Oct-2018," PIDILITIND"," EQ"," 972.00"," 972.00"," 930.20","         939.70"," 935.60"," 500756"," 4754.13"
29-Oct-2018," PIDILITIND"," EQ"," 938.00"," 965.40"," 923.00","         958.15"," 961.55"," 344391"," 3268.42"
26-Oct-2018," PIDILITIND"," EQ"," 939.00"," 941.00"," 918.05","         936.00"," 936.30"," 257429"," 2394.60"
25-Oct-2018," PIDILITIND"," EQ"," 932.00"," 948.55"," 923.70","         931.00"," 933.60"," 368860"," 3453.71"
24-Oct-2018," PIDILITIND"," EQ"," 931.00"," 946.75"," 908.55","         941.00"," 942.40"," 641773"," 5960.67"
23-Oct-2018," PIDILITIND"," EQ"," 959.00"," 968.60"," 897.00","         918.70"," 923.55"," 831588"," 7709.92"
22-Oct-2018," PIDILITIND"," EQ"," 976.00"," 992.65"," 952.20","         980.00"," 972.10"," 542308"," 5264.07"
19-Oct-2018," PIDILITIND"," EQ"," 968.00"," 986.60"," 934.95","         986.60"," 970.60"," 597298"," 5733.82"
17-Oct-2018," PIDILITIND"," EQ"," 997.60"," 1004.90"," 958.90","         962.15"," 962.15"," 325087"," 3190.34"
16-Oct-2018," PIDILITIND"," EQ"," 988.00"," 1010.00"," 983.05","         989.95"," 991.60"," 598270"," 5960.34"
15-Oct-2018," PIDILITIND"," EQ"," 998.00"," 1001.40"," 976.60","         985.00"," 988.95"," 348793"," 3438.70"
12-Oct-2018," PIDILITIND"," EQ"," 970.00"," 1003.45"," 969.30","         991.00"," 993.30"," 626145"," 6189.84"
11-Oct-2018," PIDILITIND"," EQ"," 936.85"," 967.85"," 898.55","         963.50"," 959.65"," 408674"," 3852.15"
10-Oct-2018," PIDILITIND"," EQ"," 923.00"," 959.50"," 916.05","         957.95"," 952.85"," 340149"," 3213.26"
09-Oct-2018," PIDILITIND"," EQ"," 980.00"," 981.30"," 895.00","         917.40"," 914.25"," 844906"," 7825.07"
08-Oct-2018," PIDILITIND"," EQ"," 970.00"," 985.95"," 947.65","         974.00"," 972.85"," 613818"," 5959.64"
05-Oct-2018," PIDILITIND"," EQ"," 965.50"," 992.00"," 958.90","         966.35"," 966.85"," 549453"," 5358.27"
04-Oct-2018," PIDILITIND"," EQ"," 985.00"," 985.00"," 957.95","         963.35"," 967.75"," 499095"," 4840.08"
03-Oct-2018," PIDILITIND"," EQ"," 1042.10"," 1044.70"," 990.55","         993.35"," 995.85"," 963062"," 9671.41"
01-Oct-2018," PIDILITIND"," EQ"," 1040.20"," 1050.00"," 991.00","        1044.90"," 1041.20"," 556259"," 5670.12"
28-Sep-2018," PIDILITIND"," EQ"," 1056.15"," 1059.75"," 1025.10","        1043.05"," 1045.85"," 460664"," 4814.47"
27-Sep-2018," PIDILITIND"," EQ"," 1076.50"," 1078.00"," 1051.20","        1056.00"," 1056.45"," 395613"," 4214.43"
26-Sep-2018," PIDILITIND"," EQ"," 1102.10"," 1116.00"," 1068.95","        1075.00"," 1076.10"," 466939"," 5071.47"
25-Sep-2018," PIDILITIND"," EQ"," 1093.00"," 1113.00"," 1080.00","        1107.15"," 1100.20"," 471914"," 5170.20"
24-Sep-2018," PIDILITIND"," EQ"," 1130.00"," 1130.00"," 1090.00","        1091.25"," 1092.95"," 541768"," 6011.65"
21-Sep-2018," PIDILITIND"," EQ"," 1120.00"," 1145.25"," 1082.00","        1138.00"," 1136.85"," 837142"," 9440.25"
19-Sep-2018," PIDILITIND"," EQ"," 1127.90"," 1129.50"," 1106.35","        1116.05"," 1119.55"," 226160"," 2527.08"
18-Sep-2018," PIDILITIND"," EQ"," 1111.00"," 1131.60"," 1110.65","        1116.85"," 1114.55"," 395140"," 4431.54"
17-Sep-2018," PIDILITIND"," EQ"," 1126.00"," 1129.80"," 1102.00","        1109.50"," 1109.50"," 427548"," 4760.63"
14-Sep-2018," PIDILITIND"," EQ"," 1109.20"," 1143.25"," 1108.30","        1138.25"," 1136.65"," 484881"," 5470.83"
12-Sep-2018," PIDILITIND"," EQ"," 1116.80"," 1136.95"," 1092.30","        1107.50"," 1100.95"," 758037"," 8410.90"
11-Sep-2018," PIDILITIND"," EQ"," 1144.00"," 1156.00"," 1110.00","        1114.00"," 1113.65"," 559801"," 6317.03"
10-Sep-2018," PIDILITIND"," EQ"," 1154.00"," 1158.95"," 1136.45","        1140.45"," 1143.45"," 544672"," 6233.69"
07-Sep-2018," PIDILITIND"," EQ"," 1154.80"," 1165.00"," 1142.00","        1159.60"," 1159.60"," 380285"," 4402.71"
06-Sep-2018," PIDILITIND"," EQ"," 1136.75"," 1163.80"," 1128.20","        1151.00"," 1151.80"," 487408"," 5610.40"
05-Sep-2018," PIDILITIND"," EQ"," 1110.05"," 1145.00"," 1110.05","        1133.55"," 1134.75"," 927557"," 10487.54"
04-Sep-2018," PIDILITIND"," EQ"," 1167.50"," 1170.35"," 1109.00","        1121.15"," 1121.10"," 472341"," 5372.09"
03-Sep-2018," PIDILITIND"," EQ"," 1176.80"," 1178.80"," 1161.55","        1166.00"," 1165.70"," 403355"," 4719.58"



