Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," RAYMOND"," EQ"," 829.00"," 829.90"," 805.70","         812.50"," 809.50"," 443178"," 3610.19"
29-Nov-2018," RAYMOND"," EQ"," 822.00"," 829.25"," 810.75","         824.00"," 826.20"," 727375"," 5984.31"
28-Nov-2018," RAYMOND"," EQ"," 820.10"," 826.40"," 812.05","         815.40"," 816.45"," 521199"," 4273.91"
27-Nov-2018," RAYMOND"," EQ"," 810.00"," 820.50"," 801.15","         816.00"," 816.35"," 457310"," 3714.88"
26-Nov-2018," RAYMOND"," EQ"," 816.00"," 822.20"," 797.70","         805.95"," 808.15"," 430530"," 3478.35"
22-Nov-2018," RAYMOND"," EQ"," 811.50"," 818.00"," 800.00","         812.00"," 814.85"," 777933"," 6290.77"
21-Nov-2018," RAYMOND"," EQ"," 794.00"," 810.00"," 793.00","         805.55"," 804.50"," 1343050"," 10778.33"
20-Nov-2018," RAYMOND"," EQ"," 778.80"," 792.00"," 772.05","         789.30"," 789.10"," 803600"," 6309.20"
19-Nov-2018," RAYMOND"," EQ"," 783.00"," 804.70"," 776.40","         779.65"," 782.10"," 1769056"," 14054.24"
16-Nov-2018," RAYMOND"," EQ"," 765.30"," 794.00"," 765.30","         771.90"," 774.45"," 1316665"," 10317.06"
15-Nov-2018," RAYMOND"," EQ"," 765.00"," 771.65"," 758.00","         765.30"," 765.30"," 278789"," 2132.71"
14-Nov-2018," RAYMOND"," EQ"," 772.95"," 778.25"," 726.70","         768.75"," 765.05"," 1462798"," 11043.65"
13-Nov-2018," RAYMOND"," EQ"," 767.95"," 775.00"," 751.10","         772.50"," 772.30"," 433179"," 3308.30"
12-Nov-2018," RAYMOND"," EQ"," 769.00"," 786.00"," 753.95","         768.00"," 765.85"," 903905"," 6986.32"
09-Nov-2018," RAYMOND"," EQ"," 755.70"," 776.00"," 742.05","         768.40"," 766.05"," 368569"," 2828.44"
07-Nov-2018," RAYMOND"," EQ"," 753.70"," 760.15"," 752.30","         756.00"," 755.15"," 60715"," 459.10"
06-Nov-2018," RAYMOND"," EQ"," 760.25"," 769.00"," 737.45","         750.85"," 750.80"," 331628"," 2500.27"
05-Nov-2018," RAYMOND"," EQ"," 758.00"," 771.65"," 748.30","         758.10"," 758.05"," 393923"," 2989.19"
02-Nov-2018," RAYMOND"," EQ"," 772.00"," 783.90"," 750.70","         760.00"," 758.65"," 668925"," 5137.84"
01-Nov-2018," RAYMOND"," EQ"," 755.00"," 786.00"," 755.00","         768.00"," 764.60"," 1546425"," 11971.19"
31-Oct-2018," RAYMOND"," EQ"," 748.80"," 760.50"," 733.45","         752.50"," 752.55"," 726847"," 5445.71"
30-Oct-2018," RAYMOND"," EQ"," 745.00"," 764.80"," 723.00","         749.50"," 745.65"," 1353845"," 10053.72"
29-Oct-2018," RAYMOND"," EQ"," 693.00"," 765.00"," 688.25","         744.00"," 745.35"," 2870208"," 21346.80"
26-Oct-2018," RAYMOND"," EQ"," 631.00"," 702.50"," 621.50","         686.20"," 692.20"," 4176782"," 28243.88"
25-Oct-2018," RAYMOND"," EQ"," 639.50"," 640.00"," 614.75","         619.50"," 618.30"," 490539"," 3079.14"
24-Oct-2018," RAYMOND"," EQ"," 621.20"," 657.05"," 621.20","         639.55"," 643.10"," 714900"," 4585.37"
23-Oct-2018," RAYMOND"," EQ"," 625.00"," 633.00"," 604.15","         619.00"," 617.95"," 604636"," 3714.79"
22-Oct-2018," RAYMOND"," EQ"," 647.00"," 647.00"," 623.00","         630.00"," 627.55"," 399810"," 2529.22"
19-Oct-2018," RAYMOND"," EQ"," 625.00"," 650.00"," 613.00","         638.05"," 640.15"," 711526"," 4513.46"
17-Oct-2018," RAYMOND"," EQ"," 680.00"," 683.50"," 634.65","         642.00"," 639.75"," 804438"," 5319.07"
16-Oct-2018," RAYMOND"," EQ"," 677.90"," 687.50"," 666.10","         673.00"," 673.35"," 466891"," 3164.01"
15-Oct-2018," RAYMOND"," EQ"," 667.25"," 677.00"," 659.10","         673.40"," 672.90"," 391879"," 2621.24"
12-Oct-2018," RAYMOND"," EQ"," 638.00"," 669.45"," 638.00","         659.00"," 662.90"," 442420"," 2915.16"
11-Oct-2018," RAYMOND"," EQ"," 630.00"," 647.95"," 614.85","         632.00"," 632.00"," 392480"," 2485.50"
10-Oct-2018," RAYMOND"," EQ"," 606.00"," 656.75"," 604.30","         650.50"," 651.70"," 617188"," 3921.78"
09-Oct-2018," RAYMOND"," EQ"," 635.00"," 643.90"," 593.00","         598.00"," 600.45"," 837123"," 5114.51"
08-Oct-2018," RAYMOND"," EQ"," 642.00"," 647.95"," 618.10","         631.40"," 632.90"," 588247"," 3730.82"
05-Oct-2018," RAYMOND"," EQ"," 650.10"," 671.90"," 633.90","         636.15"," 656.35"," 460723"," 3043.86"
04-Oct-2018," RAYMOND"," EQ"," 652.00"," 677.80"," 646.65","         654.90"," 660.00"," 481212"," 3196.15"
03-Oct-2018," RAYMOND"," EQ"," 676.00"," 689.10"," 662.50","         664.85"," 667.10"," 688085"," 4668.22"
