Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," SBIN"," EQ"," 288.80"," 290.90"," 283.20","         284.05"," 284.65"," 17583510"," 50379.67"
29-Nov-2018," SBIN"," EQ"," 289.30"," 289.65"," 284.25","         288.00"," 286.40"," 27919104"," 80152.09"
28-Nov-2018," SBIN"," EQ"," 289.40"," 292.45"," 283.00","         284.00"," 284.55"," 19837609"," 57279.89"
27-Nov-2018," SBIN"," EQ"," 284.60"," 290.50"," 284.05","         289.00"," 289.40"," 21242956"," 61156.70"
26-Nov-2018," SBIN"," EQ"," 284.10"," 287.25"," 279.60","         286.50"," 286.40"," 16846820"," 47755.80"
22-Nov-2018," SBIN"," EQ"," 285.95"," 287.05"," 281.60","         282.65"," 282.70"," 12066797"," 34309.76"
21-Nov-2018," SBIN"," EQ"," 283.45"," 289.55"," 283.05","         286.50"," 287.05"," 16167419"," 46358.88"
20-Nov-2018," SBIN"," EQ"," 285.90"," 288.55"," 282.50","         282.60"," 283.45"," 12900924"," 36785.79"
19-Nov-2018," SBIN"," EQ"," 293.50"," 293.50"," 286.05","         288.05"," 288.15"," 13799970"," 39857.56"
16-Nov-2018," SBIN"," EQ"," 285.90"," 291.80"," 282.60","         291.55"," 290.90"," 24805910"," 71425.11"
15-Nov-2018," SBIN"," EQ"," 283.85"," 287.05"," 281.15","         285.00"," 285.40"," 18445463"," 52452.58"
14-Nov-2018," SBIN"," EQ"," 280.40"," 287.70"," 278.00","         283.05"," 283.60"," 52674807"," 148804.76"
13-Nov-2018," SBIN"," EQ"," 276.30"," 279.70"," 273.35","         279.40"," 278.05"," 25633628"," 70807.64"
12-Nov-2018," SBIN"," EQ"," 283.70"," 283.70"," 276.85","         277.20"," 277.95"," 24044907"," 67263.49"
09-Nov-2018," SBIN"," EQ"," 287.00"," 287.50"," 282.45","         283.10"," 283.25"," 19201007"," 54642.41"
07-Nov-2018," SBIN"," EQ"," 288.90"," 288.90"," 285.95","         287.00"," 286.55"," 3312160"," 9496.39"
06-Nov-2018," SBIN"," EQ"," 296.10"," 298.30"," 283.90","         285.25"," 286.45"," 40688243"," 117823.90"
05-Nov-2018," SBIN"," EQ"," 286.45"," 300.00"," 283.50","         296.10"," 294.95"," 44619891"," 130291.93"
