Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," SOUTHBANK"," EQ"," 16.05"," 16.25"," 15.95","          16.05"," 16.10"," 13097155"," 2103.35"
29-Nov-2018," SOUTHBANK"," EQ"," 15.55"," 16.05"," 15.40","          15.95"," 15.90"," 24789648"," 3912.03"
28-Nov-2018," SOUTHBANK"," EQ"," 15.55"," 15.95"," 15.25","          15.40"," 15.40"," 28683272"," 4463.96"
27-Nov-2018," SOUTHBANK"," EQ"," 15.00"," 15.60"," 14.95","          15.50"," 15.50"," 27160395"," 4187.86"
26-Nov-2018," SOUTHBANK"," EQ"," 14.45"," 15.00"," 14.45","          14.95"," 14.90"," 19753984"," 2920.98"
22-Nov-2018," SOUTHBANK"," EQ"," 14.65"," 14.70"," 14.45","          14.55"," 14.50"," 6203229"," 901.78"
21-Nov-2018," SOUTHBANK"," EQ"," 14.30"," 14.75"," 14.20","          14.60"," 14.60"," 13469702"," 1951.44"
20-Nov-2018," SOUTHBANK"," EQ"," 14.55"," 14.60"," 14.25","          14.30"," 14.30"," 8089320"," 1166.91"
19-Nov-2018," SOUTHBANK"," EQ"," 14.60"," 14.75"," 14.45","          14.50"," 14.55"," 11053847"," 1612.15"
16-Nov-2018," SOUTHBANK"," EQ"," 14.75"," 14.75"," 14.30","          14.60"," 14.55"," 14561869"," 2112.27"
15-Nov-2018," SOUTHBANK"," EQ"," 14.85"," 14.95"," 14.55","          14.70"," 14.65"," 10063761"," 1476.16"
14-Nov-2018," SOUTHBANK"," EQ"," 15.35"," 15.35"," 14.75","          14.85"," 14.85"," 14973757"," 2239.88"
13-Nov-2018," SOUTHBANK"," EQ"," 15.10"," 15.15"," 14.75","          15.10"," 15.10"," 11917663"," 1787.92"
12-Nov-2018," SOUTHBANK"," EQ"," 15.40"," 15.70"," 15.05","          15.15"," 15.10"," 17277740"," 2642.19"
09-Nov-2018," SOUTHBANK"," EQ"," 15.35"," 15.70"," 15.10","          15.45"," 15.50"," 40375499"," 6247.42"
07-Nov-2018," SOUTHBANK"," EQ"," 14.90"," 15.30"," 14.80","          15.25"," 15.15"," 12991999"," 1954.44"
06-Nov-2018," SOUTHBANK"," EQ"," 14.80"," 14.90"," 14.50","          14.65"," 14.55"," 5320006"," 781.17"
05-Nov-2018," SOUTHBANK"," EQ"," 14.75"," 14.90"," 14.50","          14.75"," 14.70"," 7153109"," 1051.79"
02-Nov-2018," SOUTHBANK"," EQ"," 14.90"," 15.15"," 14.65","          14.70"," 14.70"," 11909285"," 1776.97"
01-Nov-2018," SOUTHBANK"," EQ"," 14.60"," 14.85"," 14.50","          14.80"," 14.75"," 11123059"," 1637.36"
31-Oct-2018," SOUTHBANK"," EQ"," 14.35"," 14.75"," 14.05","          14.60"," 14.65"," 15709299"," 2262.61"
30-Oct-2018," SOUTHBANK"," EQ"," 13.95"," 14.80"," 13.85","          14.40"," 14.30"," 22938461"," 3296.26"
29-Oct-2018," SOUTHBANK"," EQ"," 13.45"," 14.15"," 13.15","          13.90"," 14.00"," 16637004"," 2285.38"
26-Oct-2018," SOUTHBANK"," EQ"," 13.45"," 13.60"," 13.05","          13.20"," 13.30"," 14446457"," 1919.29"
25-Oct-2018," SOUTHBANK"," EQ"," 13.90"," 13.90"," 13.25","          13.35"," 13.30"," 25904312"," 3494.25"
24-Oct-2018," SOUTHBANK"," EQ"," 14.10"," 14.30"," 13.80","          13.95"," 13.95"," 14710541"," 2057.28"
23-Oct-2018," SOUTHBANK"," EQ"," 14.20"," 14.25"," 13.80","          14.05"," 13.95"," 14523136"," 2038.21"
22-Oct-2018," SOUTHBANK"," EQ"," 14.85"," 14.90"," 14.00","          14.30"," 14.20"," 19044680"," 2729.04"
19-Oct-2018," SOUTHBANK"," EQ"," 14.85"," 15.25"," 14.45","          14.65"," 14.70"," 25597551"," 3783.05"
17-Oct-2018," SOUTHBANK"," EQ"," 15.35"," 15.35"," 14.70","          14.90"," 14.85"," 66571287"," 10001.43"
16-Oct-2018," SOUTHBANK"," EQ"," 13.50"," 14.75"," 13.45","          14.70"," 14.60"," 119143195"," 17141.20"
15-Oct-2018," SOUTHBANK"," EQ"," 13.00"," 13.05"," 12.45","          12.60"," 12.60"," 26632788"," 3352.00"
12-Oct-2018," SOUTHBANK"," EQ"," 12.90"," 12.95"," 12.50","          12.70"," 12.70"," 21064389"," 2671.57"
11-Oct-2018," SOUTHBANK"," EQ"," 12.90"," 13.00"," 12.45","          12.70"," 12.65"," 22599042"," 2855.73"
10-Oct-2018," SOUTHBANK"," EQ"," 13.60"," 13.60"," 13.10","          13.20"," 13.25"," 19690925"," 2610.46"
09-Oct-2018," SOUTHBANK"," EQ"," 13.50"," 13.70"," 13.25","          13.55"," 13.45"," 7791243"," 1050.35"
08-Oct-2018," SOUTHBANK"," EQ"," 13.95"," 14.05"," 13.00","          13.45"," 13.35"," 15014189"," 2033.14"
05-Oct-2018," SOUTHBANK"," EQ"," 14.20"," 14.45"," 13.65","          13.75"," 13.90"," 10382681"," 1473.10"
04-Oct-2018," SOUTHBANK"," EQ"," 14.10"," 14.55"," 13.85","          14.15"," 14.25"," 11187906"," 1595.21"
03-Oct-2018," SOUTHBANK"," EQ"," 13.80"," 14.55"," 13.50","          14.20"," 14.15"," 14063286"," 1994.31"
01-Oct-2018," SOUTHBANK"," EQ"," 13.25"," 13.85"," 12.80","          13.70"," 13.75"," 15702406"," 2091.71"
28-Sep-2018," SOUTHBANK"," EQ"," 13.70"," 13.70"," 12.85","          13.20"," 13.15"," 23814213"," 3148.69"
27-Sep-2018," SOUTHBANK"," EQ"," 14.60"," 14.60"," 13.40","          13.45"," 13.55"," 27495768"," 3804.46"
26-Sep-2018," SOUTHBANK"," EQ"," 14.50"," 14.70"," 14.30","          14.55"," 14.55"," 11101572"," 1610.01"
25-Sep-2018," SOUTHBANK"," EQ"," 14.60"," 14.70"," 14.00","          14.30"," 14.35"," 14812399"," 2126.07"
24-Sep-2018," SOUTHBANK"," EQ"," 15.25"," 15.30"," 14.50","          14.60"," 14.60"," 13860908"," 2037.83"
21-Sep-2018," SOUTHBANK"," EQ"," 15.85"," 16.00"," 14.40","          15.05"," 15.05"," 14864852"," 2267.39"
19-Sep-2018," SOUTHBANK"," EQ"," 16.10"," 16.15"," 15.75","          15.85"," 15.85"," 5840671"," 926.99"
18-Sep-2018," SOUTHBANK"," EQ"," 16.50"," 16.65"," 15.75","          15.95"," 15.95"," 12909702"," 2080.13"
17-Sep-2018," SOUTHBANK"," EQ"," 16.40"," 16.50"," 16.05","          16.25"," 16.25"," 8228520"," 1339.05"
14-Sep-2018," SOUTHBANK"," EQ"," 16.25"," 16.50"," 16.20","          16.40"," 16.40"," 5119425"," 834.72"
12-Sep-2018," SOUTHBANK"," EQ"," 16.15"," 16.35"," 15.75","          16.15"," 16.10"," 15021337"," 2397.94"
11-Sep-2018," SOUTHBANK"," EQ"," 16.60"," 16.65"," 16.00","          16.10"," 16.05"," 10887091"," 1777.74"
10-Sep-2018," SOUTHBANK"," EQ"," 16.90"," 16.95"," 16.40","          16.50"," 16.50"," 6906194"," 1146.94"
07-Sep-2018," SOUTHBANK"," EQ"," 16.90"," 17.00"," 16.65","          16.90"," 16.90"," 5195623"," 877.04"
06-Sep-2018," SOUTHBANK"," EQ"," 17.00"," 17.00"," 16.75","          16.90"," 16.85"," 5291704"," 892.47"
05-Sep-2018," SOUTHBANK"," EQ"," 16.90"," 17.10"," 16.40","          16.90"," 16.85"," 14966517"," 2510.19"
04-Sep-2018," SOUTHBANK"," EQ"," 17.65"," 17.65"," 16.55","          16.90"," 16.75"," 18585610"," 3156.42"
03-Sep-2018," SOUTHBANK"," EQ"," 17.50"," 17.70"," 17.50","          17.60"," 17.55"," 9384505"," 1651.78"



