Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," SUNTV"," EQ"," 611.55"," 611.55"," 587.05","         590.75"," 591.55"," 3289607"," 19618.38"
29-Nov-2018," SUNTV"," EQ"," 612.10"," 619.75"," 605.00","         617.65"," 616.25"," 1524447"," 9358.14"
28-Nov-2018," SUNTV"," EQ"," 614.90"," 618.50"," 605.25","         610.00"," 610.65"," 1121991"," 6869.58"
27-Nov-2018," SUNTV"," EQ"," 603.50"," 613.40"," 598.10","         610.90"," 611.80"," 1510252"," 9162.89"
26-Nov-2018," SUNTV"," EQ"," 601.55"," 609.80"," 593.75","         602.45"," 602.40"," 1780157"," 10718.11"
22-Nov-2018," SUNTV"," EQ"," 625.00"," 625.00"," 598.25","         600.00"," 600.05"," 2196166"," 13355.00"
21-Nov-2018," SUNTV"," EQ"," 608.00"," 627.00"," 608.00","         620.00"," 621.35"," 1155435"," 7148.01"
20-Nov-2018," SUNTV"," EQ"," 614.40"," 623.50"," 606.50","         607.10"," 609.05"," 1519601"," 9351.64"
19-Nov-2018," SUNTV"," EQ"," 613.20"," 622.30"," 609.65","         617.85"," 617.05"," 1209850"," 7451.39"
16-Nov-2018," SUNTV"," EQ"," 596.60"," 615.50"," 584.00","         613.10"," 608.15"," 2642885"," 15776.78"
15-Nov-2018," SUNTV"," EQ"," 613.75"," 618.55"," 594.75","         597.00"," 596.60"," 1935051"," 11654.06"
14-Nov-2018," SUNTV"," EQ"," 614.00"," 630.55"," 607.25","         612.05"," 613.75"," 1803487"," 11174.54"
13-Nov-2018," SUNTV"," EQ"," 615.00"," 620.00"," 605.00","         611.00"," 611.30"," 1279624"," 7814.09"
12-Nov-2018," SUNTV"," EQ"," 624.95"," 632.65"," 615.10","         617.75"," 618.05"," 1036722"," 6440.07"
09-Nov-2018," SUNTV"," EQ"," 604.00"," 632.40"," 602.05","         623.00"," 623.80"," 2075753"," 12870.14"
07-Nov-2018," SUNTV"," EQ"," 610.10"," 614.80"," 608.30","         609.00"," 609.80"," 258661"," 1580.51"
06-Nov-2018," SUNTV"," EQ"," 618.00"," 627.40"," 605.00","         607.00"," 607.55"," 2368118"," 14532.02"
05-Nov-2018," SUNTV"," EQ"," 658.00"," 658.00"," 612.10","         617.00"," 618.00"," 4985520"," 31073.20"
02-Nov-2018," SUNTV"," EQ"," 680.00"," 683.70"," 656.00","         665.25"," 663.20"," 2037639"," 13715.75"
01-Nov-2018," SUNTV"," EQ"," 653.50"," 674.70"," 651.65","         671.60"," 672.30"," 1395195"," 9267.18"
31-Oct-2018," SUNTV"," EQ"," 655.40"," 661.60"," 630.00","         651.00"," 650.75"," 1470385"," 9449.83"
30-Oct-2018," SUNTV"," EQ"," 647.55"," 668.70"," 640.30","         655.00"," 651.45"," 1210908"," 7946.77"
29-Oct-2018," SUNTV"," EQ"," 617.00"," 653.85"," 608.10","         649.00"," 649.35"," 1361228"," 8575.34"
26-Oct-2018," SUNTV"," EQ"," 616.65"," 635.45"," 601.50","         619.75"," 620.10"," 1388966"," 8613.82"
25-Oct-2018," SUNTV"," EQ"," 642.00"," 643.95"," 611.00","         614.00"," 615.40"," 2397886"," 14912.27"
24-Oct-2018," SUNTV"," EQ"," 641.00"," 651.55"," 627.20","         648.05"," 648.35"," 1145474"," 7313.43"
23-Oct-2018," SUNTV"," EQ"," 635.75"," 639.90"," 623.10","         639.00"," 632.20"," 1104021"," 6947.53"
22-Oct-2018," SUNTV"," EQ"," 643.40"," 654.05"," 628.60","         640.05"," 641.30"," 1172851"," 7533.08"
19-Oct-2018," SUNTV"," EQ"," 655.00"," 669.60"," 624.15","         641.00"," 640.90"," 1387550"," 8903.58"
17-Oct-2018," SUNTV"," EQ"," 675.00"," 675.40"," 649.35","         657.00"," 654.10"," 1051869"," 6974.20"
16-Oct-2018," SUNTV"," EQ"," 652.90"," 681.00"," 649.05","         665.75"," 670.45"," 1303962"," 8683.12"
15-Oct-2018," SUNTV"," EQ"," 656.80"," 667.00"," 640.00","         653.00"," 649.45"," 1604860"," 10493.70"
12-Oct-2018," SUNTV"," EQ"," 654.00"," 657.00"," 638.75","         654.00"," 653.95"," 895866"," 5838.58"
11-Oct-2018," SUNTV"," EQ"," 632.00"," 659.00"," 610.20","         641.00"," 636.50"," 2237762"," 14271.80"
10-Oct-2018," SUNTV"," EQ"," 613.20"," 648.90"," 612.20","         646.85"," 643.55"," 1317224"," 8313.31"
09-Oct-2018," SUNTV"," EQ"," 624.80"," 628.05"," 599.00","         606.55"," 610.70"," 1459709"," 8951.92"
08-Oct-2018," SUNTV"," EQ"," 606.00"," 627.70"," 587.25","         615.10"," 619.65"," 1606358"," 9812.41"
05-Oct-2018," SUNTV"," EQ"," 635.00"," 639.50"," 602.00","         606.00"," 610.55"," 1817267"," 11164.11"
04-Oct-2018," SUNTV"," EQ"," 611.50"," 645.20"," 611.50","         636.60"," 638.60"," 1636830"," 10355.31"
03-Oct-2018," SUNTV"," EQ"," 649.80"," 662.50"," 622.50","         627.35"," 628.50"," 1678602"," 10808.09"
01-Oct-2018," SUNTV"," EQ"," 610.55"," 660.25"," 594.80","         653.30"," 653.65"," 1674675"," 10553.23"
28-Sep-2018," SUNTV"," EQ"," 623.00"," 627.60"," 597.45","         616.30"," 614.25"," 1835618"," 11229.61"
27-Sep-2018," SUNTV"," EQ"," 642.00"," 646.75"," 616.40","         618.00"," 620.00"," 1805574"," 11443.19"
26-Sep-2018," SUNTV"," EQ"," 649.70"," 655.50"," 632.85","         633.40"," 635.00"," 1198987"," 7739.92"
25-Sep-2018," SUNTV"," EQ"," 631.25"," 644.90"," 622.00","         641.80"," 639.90"," 1293877"," 8220.06"
24-Sep-2018," SUNTV"," EQ"," 668.10"," 668.95"," 625.70","         630.65"," 632.55"," 1279338"," 8201.46"
21-Sep-2018," SUNTV"," EQ"," 660.20"," 670.00"," 557.00","         662.15"," 664.10"," 2013841"," 13003.05"
19-Sep-2018," SUNTV"," EQ"," 683.70"," 683.70"," 649.10","         656.30"," 655.15"," 1840229"," 12133.22"
