Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," TATAGLOBAL"," EQ"," 216.25"," 220.60"," 216.25","         217.65"," 218.65"," 1044674"," 2282.89"
29-Nov-2018," TATAGLOBAL"," EQ"," 217.00"," 220.65"," 213.90","         218.50"," 218.75"," 2173966"," 4728.62"
28-Nov-2018," TATAGLOBAL"," EQ"," 217.40"," 221.45"," 215.20","         215.65"," 216.00"," 977424"," 2130.79"
27-Nov-2018," TATAGLOBAL"," EQ"," 218.95"," 219.95"," 214.00","         217.75"," 217.75"," 1863491"," 4039.51"
26-Nov-2018," TATAGLOBAL"," EQ"," 217.45"," 218.90"," 213.00","         218.10"," 217.65"," 1452206"," 3133.20"
22-Nov-2018," TATAGLOBAL"," EQ"," 219.00"," 219.70"," 214.80","         215.75"," 215.90"," 967411"," 2099.53"
21-Nov-2018," TATAGLOBAL"," EQ"," 215.00"," 220.45"," 215.00","         219.85"," 219.00"," 1168853"," 2552.75"
20-Nov-2018," TATAGLOBAL"," EQ"," 223.00"," 224.85"," 215.00","         215.00"," 215.95"," 913551"," 2003.21"
19-Nov-2018," TATAGLOBAL"," EQ"," 222.00"," 225.50"," 221.50","         224.10"," 224.15"," 904579"," 2022.99"
16-Nov-2018," TATAGLOBAL"," EQ"," 221.50"," 224.25"," 218.55","         222.30"," 221.80"," 817962"," 1811.95"
15-Nov-2018," TATAGLOBAL"," EQ"," 217.95"," 222.50"," 216.70","         221.00"," 221.45"," 1146455"," 2527.51"
14-Nov-2018," TATAGLOBAL"," EQ"," 220.55"," 221.45"," 216.50","         217.45"," 217.40"," 1316163"," 2870.51"
13-Nov-2018," TATAGLOBAL"," EQ"," 214.00"," 221.20"," 211.80","         221.00"," 219.95"," 1773622"," 3832.09"
12-Nov-2018," TATAGLOBAL"," EQ"," 211.00"," 217.00"," 210.20","         214.70"," 214.70"," 2554231"," 5466.23"
09-Nov-2018," TATAGLOBAL"," EQ"," 215.00"," 215.60"," 208.55","         211.50"," 209.50"," 3291284"," 6959.99"
07-Nov-2018," TATAGLOBAL"," EQ"," 215.00"," 216.55"," 214.80","         215.20"," 215.20"," 180558"," 388.74"
06-Nov-2018," TATAGLOBAL"," EQ"," 220.75"," 221.75"," 213.15","         213.50"," 213.80"," 1114288"," 2413.57"
05-Nov-2018," TATAGLOBAL"," EQ"," 217.50"," 221.35"," 217.05","         219.75"," 219.85"," 977010"," 2140.78"
02-Nov-2018," TATAGLOBAL"," EQ"," 220.00"," 223.50"," 216.90","         217.75"," 217.65"," 1701852"," 3762.47"
01-Nov-2018," TATAGLOBAL"," EQ"," 218.00"," 220.50"," 216.40","         217.15"," 217.75"," 2117862"," 4624.44"
31-Oct-2018," TATAGLOBAL"," EQ"," 218.20"," 220.90"," 205.00","         216.80"," 217.85"," 9609975"," 20657.69"
30-Oct-2018," TATAGLOBAL"," EQ"," 220.90"," 228.80"," 219.40","         227.95"," 227.30"," 2230812"," 5011.42"
29-Oct-2018," TATAGLOBAL"," EQ"," 217.00"," 221.45"," 217.00","         220.10"," 220.00"," 966687"," 2123.07"
26-Oct-2018," TATAGLOBAL"," EQ"," 223.00"," 223.00"," 215.75","         216.90"," 217.60"," 1254856"," 2749.98"
25-Oct-2018," TATAGLOBAL"," EQ"," 217.90"," 224.70"," 216.00","         224.40"," 222.10"," 3288126"," 7281.52"
24-Oct-2018," TATAGLOBAL"," EQ"," 220.10"," 221.25"," 217.05","         219.55"," 219.80"," 2171956"," 4771.34"
23-Oct-2018," TATAGLOBAL"," EQ"," 221.10"," 222.20"," 214.75","         219.55"," 218.30"," 1416279"," 3092.15"
22-Oct-2018," TATAGLOBAL"," EQ"," 229.45"," 231.60"," 222.00","         223.05"," 223.25"," 3529711"," 8028.37"
19-Oct-2018," TATAGLOBAL"," EQ"," 230.30"," 232.70"," 225.50","         227.75"," 227.20"," 1527904"," 3490.78"
17-Oct-2018," TATAGLOBAL"," EQ"," 237.70"," 240.80"," 229.45","         231.30"," 231.10"," 2945914"," 6961.65"
16-Oct-2018," TATAGLOBAL"," EQ"," 237.10"," 237.70"," 233.05","         234.40"," 235.45"," 1723113"," 4052.25"
15-Oct-2018," TATAGLOBAL"," EQ"," 229.70"," 237.00"," 226.80","         234.80"," 234.90"," 1224339"," 2845.68"
12-Oct-2018," TATAGLOBAL"," EQ"," 226.25"," 232.35"," 225.50","         228.70"," 229.10"," 1165527"," 2675.91"
11-Oct-2018," TATAGLOBAL"," EQ"," 215.00"," 229.70"," 215.00","         225.60"," 224.60"," 1293881"," 2890.85"
