Date," Symbol"," Series"," Open Price"," High Price"," Low Price"," Last Traded Price "," Close Price"," Total Traded Quantity"," Turnover (in Lakhs)"
30-Nov-2018," ZEEL"," EQ"," 486.05"," 496.70"," 485.00","         487.65"," 488.60"," 5134455"," 25187.78"
29-Nov-2018," ZEEL"," EQ"," 480.40"," 496.30"," 480.05","         484.00"," 482.15"," 5908504"," 28728.02"
28-Nov-2018," ZEEL"," EQ"," 459.80"," 481.90"," 459.20","         477.55"," 477.45"," 8684139"," 41263.00"
27-Nov-2018," ZEEL"," EQ"," 458.00"," 463.00"," 452.85","         458.55"," 459.30"," 1592419"," 7302.04"
26-Nov-2018," ZEEL"," EQ"," 465.00"," 470.00"," 458.70","         461.45"," 461.60"," 4394459"," 20381.84"
22-Nov-2018," ZEEL"," EQ"," 440.10"," 460.35"," 440.10","         457.25"," 458.85"," 7795070"," 35406.36"
21-Nov-2018," ZEEL"," EQ"," 450.80"," 450.80"," 435.60","         440.00"," 438.70"," 4199188"," 18536.87"
20-Nov-2018," ZEEL"," EQ"," 444.80"," 451.95"," 440.75","         449.00"," 448.10"," 1677610"," 7520.45"
19-Nov-2018," ZEEL"," EQ"," 449.95"," 449.95"," 438.25","         447.00"," 446.80"," 1776424"," 7897.51"
16-Nov-2018," ZEEL"," EQ"," 444.00"," 451.50"," 435.50","         444.00"," 443.60"," 2982959"," 13258.39"
15-Nov-2018," ZEEL"," EQ"," 438.20"," 444.60"," 433.20","         440.00"," 441.20"," 2526406"," 11078.26"
14-Nov-2018," ZEEL"," EQ"," 440.00"," 470.00"," 420.70","         438.15"," 435.20"," 17498505"," 77762.25"
13-Nov-2018," ZEEL"," EQ"," 435.00"," 441.80"," 432.35","         437.50"," 438.10"," 1076278"," 4695.93"
12-Nov-2018," ZEEL"," EQ"," 447.10"," 449.90"," 435.05","         436.55"," 437.80"," 1037663"," 4601.13"
09-Nov-2018," ZEEL"," EQ"," 446.90"," 451.30"," 443.00","         449.45"," 450.15"," 1794045"," 8024.74"
07-Nov-2018," ZEEL"," EQ"," 449.30"," 451.25"," 445.00","         446.90"," 446.85"," 277310"," 1241.49"
06-Nov-2018," ZEEL"," EQ"," 440.95"," 450.90"," 438.20","         448.00"," 448.20"," 2155272"," 9623.84"
05-Nov-2018," ZEEL"," EQ"," 440.05"," 447.85"," 432.10","         439.60"," 438.35"," 1102185"," 4816.57"
02-Nov-2018," ZEEL"," EQ"," 450.10"," 454.40"," 439.45","         440.95"," 441.35"," 1313184"," 5868.19"
