Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
28-Jun-2018,"         540.95","         547.05","         529.35","         530.75","         530.75","        4618","       19904.36","     7898400"
27-Jun-2018,"         559.75","         559.75","         540.60","         546.25","         546.25","        2919","       12775.41","     6201600"
26-Jun-2018,"         555.70","         563.45","         548.00","         559.35","         559.35","        3104","       13831.46","     4650400"
25-Jun-2018,"         562.15","         567.65","         553.70","         559.10","         559.10","        2447","       11029.29","     2513600"
22-Jun-2018,"         564.50","         565.10","         557.10","         561.65","         561.65","         571","        2559.63","      781600"
21-Jun-2018,"         564.60","         571.30","         563.85","         566.30","         566.30","         636","        2883.59","      678400"
20-Jun-2018,"         558.60","         567.70","         553.05","         566.05","         566.05","         369","        1656.54","      514400"
19-Jun-2018,"         567.75","         568.90","         556.00","         557.35","         557.35","         196","         881.04","      372000"
18-Jun-2018,"         579.20","         582.90","         569.50","         571.35","         571.35","          76","         349.51","      310400"
15-Jun-2018,"         595.15","         598.50","         580.05","         581.85","         581.85","         122","         574.29","      286400"
14-Jun-2018,"         591.00","         598.55","         589.75","         595.35","         595.35","          28","         132.86","      241600"
13-Jun-2018,"         583.50","         598.00","         583.00","         591.75","         591.75","          52","         246.02","      245600"
12-Jun-2018,"         578.90","         585.00","         577.55","         583.55","         583.55","          24","         111.29","      232000"
11-Jun-2018,"         571.30","         585.55","         570.60","         574.25","         574.25","         194","         896.09","      229600"
08-Jun-2018,"         573.00","         577.05","         573.00","         573.95","         573.95","          65","         298.40","      148000"
07-Jun-2018,"         568.45","         580.75","         567.00","         576.00","         576.00","         188","         865.41","      124000"
06-Jun-2018,"         545.95","         568.20","         545.30","         561.50","         566.40","          53","         234.73","      104800"
05-Jun-2018,"         542.00","         542.30","         526.20","         534.70","         534.70","          55","         234.97","       97600"
04-Jun-2018,"         569.15","         569.20","         543.00","         543.25","         543.25","          48","         213.11","       86400"
01-Jun-2018,"         570.90","         583.45","         566.50","         566.50","         566.50","          36","         164.71","       71200"
31-May-2018,"         553.85","         572.45","         551.70","         571.25","         571.25","          18","          80.83","       52000"
