Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
28-Jun-2018,"         278.95","         278.95","         269.20","         271.40","         271.40","       23165","      173985.99","    92325750"
27-Jun-2018,"         286.80","         287.50","         274.05","         279.50","         279.50","       19397","      149417.13","    66066000"
26-Jun-2018,"         288.40","         289.10","         284.65","         288.35","         288.35","        7487","       59044.86","    37111250"
25-Jun-2018,"         299.95","         301.50","         289.50","         290.30","         290.30","        6496","       52565.36","    27700750"
22-Jun-2018,"         298.05","         303.20","         295.80","         301.55","         301.55","        1816","       14949.10","    16406500"
21-Jun-2018,"         295.20","         300.45","         295.20","         297.75","         297.75","        2636","       21646.62","    14528250"
20-Jun-2018,"         293.90","         294.90","         291.55","         293.85","         293.85","        1532","       12375.79","    11000000"
19-Jun-2018,"         295.45","         295.50","         288.40","         292.55","         292.55","        1727","       13813.60","     8142750"
18-Jun-2018,"         284.35","         293.65","         284.00","         292.65","         292.65","         939","        7479.00","     7216000"
15-Jun-2018,"         286.65","         289.00","         280.75","         283.20","         283.20","        1752","       13674.49","     6919000"
14-Jun-2018,"         290.05","         290.05","         285.00","         285.70","         285.70","         473","        3724.02","     3632750"
13-Jun-2018,"         287.60","         293.00","         287.00","         290.85","         290.85","         365","        2919.77","     2981000"
12-Jun-2018,"         288.00","         289.40","         286.30","         288.35","         288.35","         299","        2367.66","     2598750"
11-Jun-2018,"         286.25","         290.75","         284.45","         287.35","         287.35","         191","        1513.25","     2175250"
08-Jun-2018,"         289.35","         289.80","         286.15","         289.00","         289.00","         212","        1679.39","     2046000"
07-Jun-2018,"         286.45","         293.80","         286.45","         291.90","         291.90","         356","        2847.77","     1815000"
06-Jun-2018,"         286.65","         286.95","         282.30","         284.95","         284.95","         588","        4602.07","     1534500"
05-Jun-2018,"         285.80","         286.65","         283.70","         285.10","         285.10","          73","         572.03","      811250"
04-Jun-2018,"         291.10","         291.10","         284.30","         285.90","         285.90","         140","        1107.35","      772750"
01-Jun-2018,"         296.90","         300.15","         287.75","         288.55","         288.55","         380","        3072.25","      643500"
31-May-2018,"         282.95","         288.00","         280.25","         286.95","         286.95","          97","         755.78","      519750"
