Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
28-Jun-2018,"          40.75","          41.05","          38.75","          39.20","          39.20","        9428","       41555.98","   167442000"
27-Jun-2018,"          41.70","          41.70","          40.35","          40.95","          40.95","        6761","       30302.00","   125301000"
26-Jun-2018,"          41.50","          42.05","          41.15","          41.75","          41.75","        5829","       26768.74","    89210000"
25-Jun-2018,"          41.85","          42.40","          41.30","          41.85","          41.85","        3001","       13896.07","    49324000"
22-Jun-2018,"          41.90","          42.05","          41.30","          41.85","          41.85","         950","        4349.39","    32043000"
21-Jun-2018,"          42.00","          42.45","          41.80","          42.15","          42.15","         658","        3045.67","    28996000"
20-Jun-2018,"          41.00","          42.05","          40.80","          41.85","          41.85","         527","        2398.69","    26147000"
19-Jun-2018,"          41.95","          41.95","          40.70","          40.95","          40.95","         582","        2633.68","    23199000"
18-Jun-2018,"          43.00","          43.35","          41.65","          42.10","          42.10","         503","        2350.66","    19712000"
15-Jun-2018,"          44.10","          44.30","          42.75","          42.95","          42.95","         518","        2481.83","    16379000"
14-Jun-2018,"          43.45","          44.05","          43.20","          43.95","          43.95","         268","        1288.64","    14036000"
13-Jun-2018,"          43.10","          44.10","          42.80","          43.55","          43.55","         393","        1882.96","    12804000"
12-Jun-2018,"          41.85","          43.00","          41.85","          42.80","          42.80","         260","        1214.10","    10978000"
11-Jun-2018,"          41.60","          42.85","          41.45","          42.00","          42.00","         316","        1471.07","     9988000"
08-Jun-2018,"          41.70","          42.25","          41.50","          41.75","          41.75","         117","         537.75","     9405000"
07-Jun-2018,"          41.40","          42.35","          41.40","          42.00","          42.00","         286","        1320.80","     9130000"
06-Jun-2018,"          39.05","          41.55","          39.05","          41.00","          41.00","         264","        1182.20","     8173000"
05-Jun-2018,"          39.25","          39.25","          37.70","          38.35","          38.35","         122","         514.85","     7700000"
04-Jun-2018,"          41.10","          41.15","          39.00","          39.20","          39.20","         285","        1247.36","     7161000"
01-Jun-2018,"          41.60","          42.95","          40.80","          40.90","          40.90","          68","         310.76","     5423000"
31-May-2018,"          40.20","          41.40","          39.30","          41.10","          41.10","          68","         302.91","     4994000"
