Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
28-Jun-2018,"        1647.50","        1666.00","        1622.45","        1651.70","        1651.70","        2305","       18950.55","      707500"
27-Jun-2018,"        1703.25","        1705.20","        1647.05","        1657.70","        1657.70","        1210","       10079.82","      446500"
26-Jun-2018,"        1679.55","        1706.00","        1660.00","        1694.60","        1694.60","         806","        6802.20","      396000"
25-Jun-2018,"        1631.25","        1692.00","        1631.25","        1671.40","        1671.40","         682","        5660.42","      299000"
22-Jun-2018,"        1783.00","        1783.00","        1675.00","        1684.70","        1684.70","         819","        7001.46","      211500"
21-Jun-2018,"        1807.00","        1807.00","        1769.80","        1793.70","        1793.70","         104","         929.23","       49000"
20-Jun-2018,"        1853.40","        1853.40","        1834.00","        1837.10","        1837.10","          76","         698.96","       28000"
19-Jun-2018,"        1865.00","        1865.05","        1855.00","        1855.00","        1855.00","           5","          46.56","       18500"
18-Jun-2018,"        1902.20","        1909.45","        1875.00","        1880.45","        1880.45","          26","         245.76","       17000"
15-Jun-2018,"        1890.50","        1951.00","        1887.95","        1900.40","        1918.95","          27","         259.21","       12500"
14-Jun-2018,"        1842.00","        1893.40","        1842.00","        1888.90","        1888.90","          18","         169.09","       10500"
13-Jun-2018,"        1872.00","        1872.00","        1842.00","        1848.50","        1848.50","           7","          65.12","        7500"
12-Jun-2018,"        1883.55","        1888.05","        1873.30","        1885.00","        1882.65","           8","          75.31","        7500"
11-Jun-2018,"        1899.35","        1899.35","        1876.00","        1879.35","        1879.35","           8","          75.36","        5000"
08-Jun-2018,"           0.00","           0.00","           0.00","        1897.55","        1908.70","           0","           0.00","        2500"
07-Jun-2018,"        1935.00","        1935.00","        1890.00","        1897.55","        1897.55","           5","          47.92","        2500"
06-Jun-2018,"           0.00","           0.00","           0.00","        1816.95","        1913.05","           0","           0.00","        1000"
05-Jun-2018,"           0.00","           0.00","           0.00","        1816.95","        1897.80","           0","           0.00","        1000"
04-Jun-2018,"           0.00","           0.00","           0.00","        1816.95","        1910.20","           0","           0.00","        1000"
01-Jun-2018,"           0.00","           0.00","           0.00","        1816.95","        1891.20","           0","           0.00","        1000"
31-May-2018,"           0.00","           0.00","           0.00","        1816.95","        1954.95","           0","           0.00","        1000"
