Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"        2695.00","        2777.45","        2670.65","        2759.95","        2759.95","        4162","       28494.67","     3001500"
28-Jun-2018,"        2700.85","        2737.00","        2664.40","        2673.10","        2673.10","        5326","       36090.64","     2900250"
27-Jun-2018,"        2765.85","        2765.85","        2716.45","        2723.65","        2723.65","        4499","       30776.18","     2065750"
26-Jun-2018,"        2750.50","        2775.00","        2744.00","        2765.75","        2765.75","        2005","       13847.13","     1186000"
25-Jun-2018,"        2785.00","        2791.50","        2752.00","        2758.60","        2758.60","        1669","       11553.45","      861250"
22-Jun-2018,"        2785.40","        2794.00","        2768.50","        2790.35","        2790.35","         882","        6123.86","      581750"
21-Jun-2018,"        2833.85","        2834.00","        2786.00","        2791.50","        2791.50","        1492","       10514.59","      477500"
20-Jun-2018,"        2833.45","        2839.50","        2818.10","        2833.10","        2833.10","         274","        1939.89","      165750"
19-Jun-2018,"        2836.00","        2848.35","        2800.00","        2809.60","        2809.60","         174","        1227.86","      135500"
18-Jun-2018,"        2837.75","        2873.05","        2835.00","        2855.90","        2855.90","          85","         607.58","      120000"
15-Jun-2018,"        2848.15","        2864.45","        2817.00","        2840.10","        2840.10","          78","         553.75","      115250"
14-Jun-2018,"        2860.00","        2871.45","        2850.00","        2854.90","        2854.90","          44","         314.17","      108250"
13-Jun-2018,"        2862.95","        2890.00","        2859.00","        2870.95","        2870.95","          74","         532.44","      108250"
12-Jun-2018,"        2849.50","        2872.50","        2835.00","        2851.20","        2851.20","          65","         464.03","      103250"
11-Jun-2018,"        2847.10","        2873.20","        2844.00","        2848.25","        2848.25","          53","         378.62","       97250"
08-Jun-2018,"        2891.50","        2891.50","        2833.00","        2836.20","        2836.20","         104","         738.63","       92500"
07-Jun-2018,"        2860.30","        2885.00","        2839.45","        2858.90","        2858.90","          46","         329.07","       77250"
06-Jun-2018,"        2812.95","        2900.60","        2805.10","        2852.30","        2852.30","         230","        1643.88","       76250"
05-Jun-2018,"        2817.00","        2847.50","        2810.00","        2818.20","        2818.20","         158","        1118.65","       36250"
04-Jun-2018,"        2872.00","        2883.80","        2838.00","        2844.60","        2844.60","         132","         944.40","       33500"
01-Jun-2018,"        2770.00","        2884.15","        2755.20","        2860.20","        2860.20","         128","         905.49","       25750"
