Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"         653.95","         659.00","         640.00","         649.45","         649.45","         527","        2385.43","      798700"
28-Jun-2018,"         667.50","         675.00","         627.95","         644.60","         644.60","        1546","        7001.45","      808500"
27-Jun-2018,"         669.00","         672.00","         655.55","         660.65","         660.65","         785","        3639.84","      462700"
26-Jun-2018,"         672.50","         678.80","         666.00","         670.60","         670.60","         348","        1638.06","      285600"
25-Jun-2018,"         670.00","         676.00","         661.25","         673.95","         673.95","         265","        1242.42","      207200"
22-Jun-2018,"         678.20","         688.00","         673.80","         674.65","         674.65","         113","         538.09","      124600"
21-Jun-2018,"         681.25","         686.85","         677.50","         683.05","         683.05","          34","         162.29","       88200"
20-Jun-2018,"         680.10","         680.10","         671.00","         672.45","         672.45","          19","          89.59","       83300"
19-Jun-2018,"         671.00","         679.00","         669.65","         678.10","         678.10","          61","         287.65","       83300"
18-Jun-2018,"         681.40","         681.40","         673.40","         673.40","         673.40","          78","         370.02","       50400"
15-Jun-2018,"         687.00","         687.00","         686.00","         686.00","         693.15","           2","           9.61","       11900"
14-Jun-2018,"         690.05","         690.05","         690.05","         690.05","         694.90","           1","           4.83","       10500"
13-Jun-2018,"         694.10","         697.50","         685.60","         685.60","         685.60","           9","          43.66","        9800"
12-Jun-2018,"         685.95","         689.00","         685.95","         689.00","         690.00","           2","           9.62","        7000"
11-Jun-2018,"         695.50","         695.50","         695.50","         695.50","         687.35","           1","           4.87","        5600"
08-Jun-2018,"         690.95","         691.00","         690.95","         691.00","         697.85","           2","           9.67","        5600"
07-Jun-2018,"           0.00","           0.00","           0.00","         665.75","         686.30","           0","           0.00","        6300"
06-Jun-2018,"         665.75","         665.75","         665.75","         665.75","         686.75","           1","           4.66","        6300"
05-Jun-2018,"         689.50","         689.50","         671.70","         673.95","         683.45","           4","          18.96","        7000"
04-Jun-2018,"         679.70","         679.70","         675.00","         675.00","         675.00","           2","           9.48","        5600"
01-Jun-2018,"         703.05","         707.20","         683.25","         687.05","         687.05","           7","          34.17","        4200"
