Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"         187.45","         191.75","         186.80","         189.60","         189.60","        6228","       29490.49","    32750000"
28-Jun-2018,"         190.60","         190.85","         185.00","         186.30","         186.30","        8770","       41107.24","    32260000"
27-Jun-2018,"         197.45","         198.00","         190.40","         192.55","         192.55","        6690","       32296.09","    22560000"
26-Jun-2018,"         196.40","         200.00","         196.05","         197.20","         197.20","        3988","       19698.78","    14055000"
25-Jun-2018,"         201.00","         204.10","         196.90","         197.60","         197.60","        2627","       13146.98","     6535000"
22-Jun-2018,"         198.90","         202.65","         198.10","         202.15","         202.15","         510","        2553.90","     1900000"
21-Jun-2018,"         201.35","         203.20","         198.50","         199.30","         199.30","         282","        1415.27","     1547500"
20-Jun-2018,"         198.50","         202.50","         197.75","         201.85","         201.85","         286","        1432.69","     1487500"
19-Jun-2018,"         199.95","         201.15","         193.80","         197.05","         197.05","         310","        1525.83","     1247500"
18-Jun-2018,"         200.00","         202.35","         198.35","         201.05","         201.05","         193","         965.87","     1115000"
15-Jun-2018,"         206.60","         207.55","         198.00","         200.75","         200.75","         197","         992.59","     1045000"
14-Jun-2018,"         206.10","         209.70","         205.45","         206.90","         206.90","         121","         627.30","     1055000"
13-Jun-2018,"         206.10","         207.25","         203.50","         205.95","         205.95","         450","        2300.70","     1032500"
12-Jun-2018,"         203.90","         207.10","         201.75","         206.30","         206.30","         114","         582.37","     1060000"
11-Jun-2018,"         207.50","         208.35","         202.55","         203.40","         203.40","         134","         687.73","     1040000"
08-Jun-2018,"         203.85","         208.95","         202.00","         205.20","         205.20","         361","        1850.35","     1040000"
07-Jun-2018,"         204.50","         207.10","         203.80","         204.60","         204.60","          86","         441.85","      342500"
06-Jun-2018,"         199.30","         204.70","         198.45","         202.80","         202.80","         150","         753.56","      287500"
05-Jun-2018,"         198.75","         202.60","         196.50","         201.10","         201.10","          97","         482.65","      225000"
04-Jun-2018,"         209.50","         209.60","         199.55","         200.00","         200.00","         109","         555.17","      187500"
01-Jun-2018,"         210.90","         212.80","         207.00","         208.05","         208.05","          73","         381.98","      190000"
