Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"        1942.75","        1961.00","        1914.50","        1921.55","        1921.55","        8234","       47750.33","     6421800"
28-Jun-2018,"        1953.10","        1961.30","        1915.55","        1936.20","        1936.20","       15424","       89444.07","     6141000"
27-Jun-2018,"        1967.80","        1967.80","        1936.05","        1944.95","        1944.95","        9690","       56615.20","     4431900"
26-Jun-2018,"        1938.25","        1967.80","        1933.30","        1961.70","        1961.70","        4603","       27018.44","     2999400"
25-Jun-2018,"        1937.10","        1950.45","        1927.00","        1943.50","        1943.50","        3792","       22090.84","     2235000"
22-Jun-2018,"        1925.35","        1944.15","        1910.00","        1936.70","        1936.70","        1467","        8466.09","     1584000"
21-Jun-2018,"        1947.15","        1951.35","        1929.00","        1934.05","        1934.05","        1060","        6159.60","     1286100"
20-Jun-2018,"        1921.60","        1952.35","        1912.00","        1947.80","        1947.80","         693","        4025.90","     1048200"
19-Jun-2018,"        1921.00","        1923.95","        1900.00","        1912.80","        1912.80","         759","        4360.68","      931200"
18-Jun-2018,"        1951.15","        1955.00","        1935.00","        1937.80","        1937.80","         704","        4107.95","      772500"
15-Jun-2018,"        1925.85","        1954.45","        1925.85","        1947.95","        1947.95","         168","         977.67","      586200"
14-Jun-2018,"        1915.00","        1941.35","        1912.65","        1936.25","        1936.25","         491","        2842.28","      562200"
13-Jun-2018,"        1928.00","        1935.50","        1915.00","        1918.75","        1918.75","         797","        4609.16","      447000"
12-Jun-2018,"        1895.10","        1929.50","        1893.65","        1928.80","        1928.80","         564","        3236.30","      235200"
11-Jun-2018,"        1881.50","        1907.85","        1881.50","        1888.15","        1888.15","          94","         533.99","      102000"
08-Jun-2018,"        1868.40","        1878.95","        1866.00","        1871.15","        1871.15","          70","         392.92","      100500"
07-Jun-2018,"        1898.80","        1921.60","        1882.00","        1886.55","        1886.55","         108","         616.32","       90600"
06-Jun-2018,"        1870.90","        1904.40","        1865.10","        1901.00","        1901.00","          61","         344.35","       76800"
05-Jun-2018,"        1874.80","        1891.80","        1870.00","        1880.40","        1880.40","         239","        1349.22","       78300"
04-Jun-2018,"        1922.65","        1922.65","        1867.50","        1873.75","        1873.75","          83","         469.27","       41400"
01-Jun-2018,"        1901.30","        1909.90","        1884.80","        1892.00","        1892.00","          76","         432.60","       35700"
