Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"        1343.95","        1357.05","        1331.65","        1340.05","        1340.05","        7503","       80791.73","    10542400"
28-Jun-2018,"        1326.45","        1339.95","        1312.25","        1334.25","        1334.25","       13403","      142307.65","    10043200"
27-Jun-2018,"        1332.55","        1339.65","        1321.50","        1326.30","        1326.30","        7766","       82636.11","     6842400"
26-Jun-2018,"        1328.00","        1341.85","        1325.10","        1332.05","        1332.05","        3711","       39638.77","     4195200"
25-Jun-2018,"        1324.45","        1337.90","        1316.75","        1330.80","        1330.80","        2503","       26645.92","     2529600"
22-Jun-2018,"        1316.25","        1327.80","        1309.90","        1325.50","        1325.50","         633","        6682.30","     1228000"
21-Jun-2018,"        1332.00","        1332.00","        1312.60","        1315.30","        1315.30","         482","        5098.89","     1024800"
20-Jun-2018,"        1310.00","        1331.60","        1302.75","        1329.05","        1329.05","         402","        4240.23","      807200"
19-Jun-2018,"        1308.35","        1321.00","        1305.50","        1308.25","        1308.25","         300","        3151.91","      655200"
18-Jun-2018,"        1328.65","        1330.30","        1315.15","        1318.40","        1318.40","         278","        2937.43","      567200"
15-Jun-2018,"        1329.15","        1343.40","        1324.80","        1339.00","        1339.00","         381","        4073.04","      484000"
14-Jun-2018,"        1323.60","        1338.00","        1321.70","        1334.35","        1334.35","         123","        1310.92","      261600"
13-Jun-2018,"        1326.80","        1328.35","        1321.20","        1327.00","        1327.00","          56","         593.71","      224800"
12-Jun-2018,"        1324.50","        1335.00","        1324.50","        1333.00","        1333.00","          88","         936.78","      198400"
11-Jun-2018,"        1330.00","        1333.00","        1323.85","        1325.90","        1325.90","         184","        1958.34","      148800"
08-Jun-2018,"        1311.50","        1326.45","        1310.00","        1319.75","        1319.75","          30","         316.66","       77600"
07-Jun-2018,"        1325.00","        1340.85","        1315.00","        1317.90","        1317.90","         104","        1107.25","       65600"
06-Jun-2018,"        1314.15","        1327.00","        1314.00","        1325.45","        1325.45","          19","         200.48","       71200"
05-Jun-2018,"        1314.30","        1319.05","        1309.95","        1314.00","        1314.00","          40","         420.95","       68000"
04-Jun-2018,"        1333.90","        1334.90","        1297.70","        1309.05","        1309.05","          57","         599.68","       52800"
01-Jun-2018,"        1314.95","        1335.15","        1314.95","        1323.90","        1323.90","          48","         508.28","       36800"
