Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"         335.20","         336.70","         330.00","         333.25","         333.25","         681","        5892.32","     4677400"
28-Jun-2018,"         332.80","         338.40","         331.55","         334.85","         334.85","        1168","       10181.50","     4461600"
27-Jun-2018,"         342.00","         343.50","         335.40","         337.60","         337.60","         941","        8315.20","     2995200"
26-Jun-2018,"         333.70","         346.50","         333.70","         342.95","         342.95","         787","        6968.13","     1352000"
25-Jun-2018,"         335.30","         335.30","         332.30","         333.65","         333.65","         177","        1537.25","      426400"
22-Jun-2018,"         334.15","         338.55","         334.15","         336.75","         336.75","          27","         236.19","      148200"
21-Jun-2018,"         336.50","         338.40","         331.75","         337.45","         337.45","          29","         253.00","      117000"
20-Jun-2018,"         336.00","         338.45","         335.10","         338.45","         338.45","          25","         218.49","       91000"
19-Jun-2018,"         337.95","         337.95","         333.90","         336.15","         336.15","          11","          95.99","       70200"
18-Jun-2018,"         341.25","         341.50","         340.85","         341.00","         340.70","           4","          35.48","       57200"
15-Jun-2018,"         344.00","         346.60","         340.45","         340.45","         341.50","           3","          26.81","       54600"
14-Jun-2018,"         346.80","         346.80","         345.70","         346.15","         346.15","           3","          27.00","       54600"
13-Jun-2018,"         344.00","         344.00","         340.00","         340.40","         340.40","           8","          71.19","       54600"
12-Jun-2018,"         348.50","         348.50","         344.00","         345.40","         345.40","          11","          98.87","       54600"
11-Jun-2018,"         346.00","         353.35","         345.15","         350.05","         350.05","          22","         200.21","       46800"
08-Jun-2018,"         339.65","         345.00","         339.65","         344.85","         344.85","           7","          62.49","       28600"
07-Jun-2018,"         336.00","         337.00","         336.00","         337.00","         337.45","           3","          26.26","       15600"
06-Jun-2018,"         331.10","         338.00","         331.10","         338.00","         338.00","           6","          52.14","       10400"
05-Jun-2018,"           0.00","           0.00","           0.00","         326.05","         330.00","           0","           0.00","        5200"
04-Jun-2018,"         326.05","         326.05","         326.05","         326.05","         326.20","           1","           8.48","        5200"
01-Jun-2018,"         328.40","         328.40","         328.40","         328.40","         328.20","           1","           8.54","        2600"
