Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"        4143.95","        4149.90","        3976.60","        4004.95","        4004.95","         182","        1102.50","       51450"
28-Jun-2018,"        4040.05","        4140.00","        3986.95","        4091.75","        4091.75","         445","        2698.17","       49350"
27-Jun-2018,"        3896.55","        4082.15","        3896.55","        4026.10","        4026.10","         256","        1543.56","       30600"
26-Jun-2018,"        4015.00","        4050.00","        3991.05","        4000.95","        4000.95","          56","         338.21","        6600"
25-Jun-2018,"        4020.00","        4080.00","        4006.80","        4029.00","        4029.00","          23","         139.78","        4350"
22-Jun-2018,"        4030.00","        4039.20","        4017.90","        4032.70","        4032.70","           8","          48.40","        2100"
21-Jun-2018,"           0.00","           0.00","           0.00","        4017.15","        4076.60","           0","           0.00","        1650"
20-Jun-2018,"        4017.15","        4017.15","        4017.15","        4017.15","        4083.90","           1","           6.03","        1650"
19-Jun-2018,"           0.00","           0.00","           0.00","        3952.50","        4146.45","           1","           5.99","        1500"
18-Jun-2018,"           0.00","           0.00","           0.00","        3952.50","        4184.70","           0","           0.00","        1500"
15-Jun-2018,"        3885.55","        3952.50","        3885.55","        3952.50","        3952.50","           4","          23.55","        1500"
14-Jun-2018,"        3837.15","        3875.05","        3830.00","        3875.05","        3875.05","           6","          34.57","        1350"
13-Jun-2018,"        3874.95","        3874.95","        3874.95","        3874.95","        3874.95","           1","           5.81","         900"
12-Jun-2018,"        3909.50","        3909.50","        3909.50","        3909.50","        4025.35","           1","           5.86","         750"
11-Jun-2018,"           0.00","           0.00","           0.00","        3787.25","        3987.65","           0","           0.00","         750"
08-Jun-2018,"        3750.00","        3787.25","        3740.95","        3787.25","        3787.25","          11","          61.95","         750"
07-Jun-2018,"           0.00","           0.00","           0.00","        3686.00","        3872.30","           0","           0.00","         150"
06-Jun-2018,"        3686.00","        3686.00","        3686.00","        3686.00","        3686.00","           1","           5.53","         150"
05-Jun-2018,"           0.00","           0.00","           0.00","        3882.15","        3762.65","           0","           0.00","         150"
04-Jun-2018,"           0.00","           0.00","           0.00","        3882.15","        3810.75","           0","           0.00","         150"
01-Jun-2018,"           0.00","           0.00","           0.00","        3882.15","        3867.55","           0","           0.00","         150"
