Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
29-Jun-2018,"         154.95","         159.50","         154.00","         158.25","         158.25","        3067","       18149.65","    41190000"
28-Jun-2018,"         155.95","         158.50","         152.80","         154.20","         154.20","        8656","       50812.16","    42060000"
27-Jun-2018,"         158.10","         158.55","         154.55","         156.20","         156.20","        5340","       31217.87","    24352500"
26-Jun-2018,"         157.00","         158.80","         156.00","         158.25","         158.25","        2940","       17339.27","    14985000"
25-Jun-2018,"         160.80","         161.45","         156.35","         156.85","         156.85","        1549","        9136.73","     8711250"
22-Jun-2018,"         161.40","         161.40","         159.25","         159.90","         159.90","         595","        3568.71","     5321250"
21-Jun-2018,"         163.90","         163.90","         159.00","         160.75","         160.75","         630","        3796.19","     4245000"
20-Jun-2018,"         164.50","         164.50","         162.80","         163.45","         163.45","         414","        2538.01","     3281250"
19-Jun-2018,"         165.50","         166.90","         164.55","         165.20","         165.20","         427","        2651.77","     2505000"
18-Jun-2018,"         165.20","         167.50","         164.25","         165.15","         165.15","         210","        1302.17","     1623750"
15-Jun-2018,"         168.40","         169.00","         165.35","         166.40","         166.40","         152","         950.95","     1241250"
14-Jun-2018,"         170.90","         171.45","         168.30","         169.55","         169.55","          78","         495.13","     1038750"
13-Jun-2018,"         172.55","         172.55","         169.80","         171.15","         171.15","          77","         493.82","      915000"
12-Jun-2018,"         173.85","         176.00","         172.20","         172.65","         172.65","          54","         352.29","      742500"
11-Jun-2018,"         173.95","         174.10","         173.40","         173.95","         173.95","          42","         273.58","      723750"
08-Jun-2018,"         174.10","         175.40","         173.25","         174.20","         174.20","          34","         222.18","      648750"
07-Jun-2018,"         173.00","         174.30","         173.00","         174.05","         174.05","          27","         175.89","      588750"
06-Jun-2018,"         172.20","         172.20","         172.20","         172.20","         172.10","           2","          12.92","      581250"
05-Jun-2018,"         171.70","         173.15","         170.00","         173.15","         173.05","          69","         442.98","      581250"
04-Jun-2018,"         173.60","         173.75","         171.65","         172.20","         172.20","          66","         429.37","      408750"
01-Jun-2018,"         172.00","         174.25","         172.00","         174.20","         174.20","          35","         227.27","      195000"
